gene_id,gene_name
ENSG00000202198.1,7SK
ENSG00000127837.10,AAMP
ENSG00000157426.14,AASDH
ENSG00000275700.6,AATF
ENSG00000281376.1,ABALON
ENSG00000165029.17,ABCA1
ENSG00000251595.7,ABCA11P
ENSG00000179869.15,ABCA13
ENSG00000189149.12,ABCA15P
ENSG00000197150.13,ABCB8
ENSG00000114770.17,ABCC5
ENSG00000117528.14,ABCD3
ENSG00000033050.9,ABCF2
ENSG00000285292.1,ABCF2-H2BK1
ENSG00000106077.19,ABHD11
ENSG00000100997.20,ABHD12
ENSG00000168792.5,ABHD15
ENSG00000107362.14,ABHD17B
ENSG00000154175.18,ABI3BP
ENSG00000166016.6,ABTB2
ENSG00000060971.19,ACAA1
ENSG00000278540.5,ACACA
ENSG00000072778.20,ACADVL
ENSG00000075239.14,ACAT1
ENSG00000120437.9,ACAT2
ENSG00000177076.6,ACER2
ENSG00000144648.16,ACKR2
ENSG00000112304.11,ACOT13
ENSG00000101473.17,ACOT8
ENSG00000204581.3,ACOXL-AS1
ENSG00000162836.12,ACP6
ENSG00000107796.13,ACTA2
ENSG00000136518.17,ACTL6A
ENSG00000138107.13,ACTR1A
ENSG00000115073.8,ACTR1B
ENSG00000115091.12,ACTR3
ENSG00000123612.16,ACVR1C
ENSG00000243989.9,ACY1
ENSG00000137845.15,ADAM10
ENSG00000008277.15,ADAM22
ENSG00000166106.4,ADAMTS15
ENSG00000158859.10,ADAMTS4
ENSG00000203804.5,ADAMTSL4-AS1
ENSG00000237781.3,ADAMTSL4-AS2
ENSG00000152990.14,ADGRA3
ENSG00000267169.2,ADGRL1-AS1
ENSG00000156110.15,ADK
ENSG00000148926.10,ADM
ENSG00000254554.1,ADM-DT
ENSG00000259456.4,ADNP-AS1
ENSG00000170425.4,ADORA2B
ENSG00000169252.6,ADRB2
ENSG00000035687.10,ADSS2
ENSG00000196526.11,AFAP1
ENSG00000141385.12,AFG3L2
ENSG00000119844.17,AFTPH
ENSG00000260101.2,AFTPH-DT
ENSG00000235529.2,AGAP1-IT1
ENSG00000231636.1,AGBL5-AS1
ENSG00000106351.13,AGFG2
ENSG00000123908.12,AGO2
ENSG00000204310.13,AGPAT1
ENSG00000158467.17,AHCYL2
ENSG00000124942.14,AHNAK
ENSG00000145192.13,AHSG
ENSG00000129474.16,AJUBA
ENSG00000147853.17,AK3
ENSG00000155085.16,AK9
ENSG00000170776.22,AKAP13
ENSG00000011243.19,AKAP8L
ENSG00000174574.16,AKIRIN1
ENSG00000122787.15,AKR1D1
ENSG00000105221.18,AKT2
ENSG00000148218.16,ALAD
ENSG00000170017.12,ALCAM
ENSG00000159423.17,ALDH4A1
ENSG00000119711.13,ALDH6A1
ENSG00000214160.10,ALG3
ENSG00000171094.18,ALK
ENSG00000179148.10,ALOXE3
ENSG00000126016.17,AMOT
ENSG00000133805.16,AMPD3
ENSG00000214174.11,AMZ2P1
ENSG00000291140.1,AMZ2P1
ENSG00000214274.10,ANG
ENSG00000167772.12,ANGPTL4
ENSG00000151687.15,ANKAR
ENSG00000185722.18,ANKFY1
ENSG00000131503.21,ANKHD1
ENSG00000249637.4,ANKHD1-DT
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000001629.10,ANKIB1
ENSG00000145700.10,ANKRD31
ENSG00000186106.11,ANKRD46
