"seqnames","start","end","width","strand","name","score","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",1013301,1015798,2498,"*","consensus_peak_10_overlaps3,consensus_peak_11_overlaps2,consensus_peak_9_overlaps2",2.333333333,"Promoter (<=1kb)",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",0
"chr1",1304593,1305999,1407,"*","consensus_peak_18_overlaps2",2,"Promoter (<=1kb)",1,1292390,1305929,13540,2,"116983","ENST00000492936.5",0
"chr1",1344158,1348584,4427,"*","consensus_peak_21_overlaps2,consensus_peak_22_overlaps3,consensus_peak_23_overlaps2",2.333333333,"Promoter (<=1kb)",1,1341770,1348955,7186,2,"1855","ENST00000472445.1",371
"chr1",1359175,1361043,1869,"*","consensus_peak_27_overlaps2",2,"Promoter (<=1kb)",1,1352689,1358794,6106,2,"54587","ENST00000342753.8",-381
"chr1",1371060,1373312,2253,"*","consensus_peak_30_overlaps2,consensus_peak_31_overlaps3,consensus_peak_32_overlaps2",2.333333333,"Promoter (1-2kb)",1,1374244,1375144,901,2,"54998","ENST00000489799.1",1832
"chr1",1554639,1555741,1103,"*","consensus_peak_37_overlaps2",2,"Intron (ENST00000291386.4/29101, intron 2 of 4)",1,1541674,1546487,4814,2,"29101","ENST00000378726.1",-8152
"chr1",1593907,1595025,1119,"*","consensus_peak_41_overlaps2",2,"Distal Intergenic",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",5110
"chr1",1596674,1597996,1323,"*","consensus_peak_44_overlaps2",2,"Promoter (2-3kb)",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",2139
"chr1",1614345,1615550,1206,"*","consensus_peak_47_overlaps2",2,"Promoter (<=1kb)",1,1615454,1630604,15151,1,"142678","ENST00000479659.5",0
"chr1",1778888,1781908,3021,"*","consensus_peak_50_overlaps2,consensus_peak_51_overlaps3,consensus_peak_52_overlaps2",2.333333333,"Promoter (<=1kb)",1,1751232,1780069,28838,2,"65220","ENST00000378625.5",0
"chr1",1906162,1907198,1037,"*","consensus_peak_56_overlaps2",2,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-7910
"chr1",1963701,1970130,6430,"*","consensus_peak_62_overlaps2,consensus_peak_63_overlaps3,consensus_peak_64_overlaps2",2.333333333,"Exon (ENST00000493964.5/85452, exon 11 of 38)",1,1955711,1960108,4398,2,"85452","ENST00000461752.3",-3593
"chr1",2132322,2133791,1470,"*","consensus_peak_72_overlaps2,consensus_peak_73_overlaps3,consensus_peak_74_overlaps2",2.333333333,"Promoter (<=1kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",0
"chr1",2135152,2138614,3463,"*","consensus_peak_76_overlaps2",2,"Promoter (<=1kb)",1,2135262,2150865,15604,1,"5590","ENST00000419838.6",0
"chr1",2139859,2140487,629,"*","consensus_peak_78_overlaps2",2,"Intron (ENST00000378567.8/5590, intron 5 of 17)",1,2144451,2185395,40945,1,"5590","ENST00000479263.5",-3964
"chr1",2288635,2293132,4498,"*","consensus_peak_84_overlaps2,consensus_peak_85_overlaps3,consensus_peak_86_overlaps2",2.333333333,"Intron (ENST00000378536.5/6497, intron 1 of 6)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-10514
"chr1",3060222,3062312,2091,"*","consensus_peak_102_overlaps2",2,"Promoter (<=1kb)",1,3059617,3061751,2135,2,"440556","ENST00000413472.5",0
"chr1",3170184,3175879,5696,"*","consensus_peak_105_overlaps2,consensus_peak_106_overlaps3,consensus_peak_107_overlaps2",2.333333333,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",42209
"chr1",3214004,3221929,7926,"*","consensus_peak_110_overlaps2,consensus_peak_111_overlaps3,consensus_peak_112_overlaps2",2.333333333,"Intron (ENST00000511072.5/63976, intron 2 of 15)",1,3237931,3433925,195995,1,"63976","ENST00000512462.5",-16002
"chr1",3312319,3314606,2288,"*","consensus_peak_116_overlaps2",2,"Exon (ENST00000669140.1/105378604, exon 2 of 2)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",8543
"chr1",3319938,3321222,1285,"*","consensus_peak_119_overlaps2,consensus_peak_120_overlaps3,consensus_peak_121_overlaps2",2.333333333,"Promoter (1-2kb)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",1927
"chr1",3418841,3419931,1091,"*","consensus_peak_126_overlaps2",2,"Intron (ENST00000511072.5/63976, intron 12 of 15)",1,3424919,3434095,9177,1,"63976","ENST00000378389.5",-4988
"chr1",3450729,3455566,4838,"*","consensus_peak_129_overlaps2,consensus_peak_130_overlaps3,consensus_peak_131_overlaps2",2.333333333,"Promoter (<=1kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",0
"chr1",3457836,3458868,1033,"*","consensus_peak_133_overlaps2",2,"Intron (ENST00000378378.9/27237, intron 1 of 14)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",3171
"chr1",3459936,3461175,1240,"*","consensus_peak_135_overlaps2",2,"Intron (ENST00000378378.9/27237, intron 1 of 14)",1,3466005,3481113,15109,1,"27237","ENST00000378373.5",-4830
"chr1",3464781,3467117,2337,"*","consensus_peak_137_overlaps2",2,"Promoter (<=1kb)",1,3466005,3481113,15109,1,"27237","ENST00000378373.5",0
"chr1",3470361,3474226,3866,"*","consensus_peak_139_overlaps2",2,"Promoter (<=1kb)",1,3471607,3474457,2851,1,"27237","ENST00000464620.1",0
"chr1",3475910,3485419,9510,"*","consensus_peak_142_overlaps2,consensus_peak_143_overlaps3,consensus_peak_144_overlaps2,consensus_peak_145_overlaps3,consensus_peak_146_overlaps2",2.4,"3' UTR",1,3472769,3481113,8345,1,"27237","ENST00000485984.1",3141
"chr1",3515372,3517678,2307,"*","consensus_peak_150_overlaps2",2,"Exon (ENST00000356575.9/1953, exon 6 of 37)",1,3487961,3531423,43463,2,"1953","ENST00000697102.1",13745
"chr1",3518958,3520525,1568,"*","consensus_peak_152_overlaps2",2,"Intron (ENST00000356575.9/1953, intron 5 of 36)",1,3487961,3531423,43463,2,"1953","ENST00000697102.1",10898
"chr1",3538968,3540687,1720,"*","consensus_peak_156_overlaps2",2,"Intron (ENST00000356575.9/1953, intron 4 of 36)",1,3489920,3531448,41529,2,"1953","ENST00000294599.8",-7520
"chr1",3573445,3574449,1005,"*","consensus_peak_164_overlaps2",2,"Intron (ENST00000356575.9/1953, intron 4 of 36)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",-12655
"chr1",3577396,3579882,2487,"*","consensus_peak_166_overlaps2",2,"Exon (ENST00000356575.9/1953, exon 4 of 37)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",-16606
"chr1",3857037,3859995,2959,"*","consensus_peak_177_overlaps2,consensus_peak_178_overlaps3,consensus_peak_179_overlaps2",2.333333333,"Promoter (<=1kb)",1,3857267,3860490,3224,1,"1677","ENST00000625756.2",0
"chr1",3956597,3957110,514,"*","consensus_peak_186_overlaps2",2,"Distal Intergenic",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-7573
"chr1",4602587,4603931,1345,"*","consensus_peak_191_overlaps2",2,"Distal Intergenic",1,4571548,4583421,11874,1,"105376679","ENST00000420522.1",31039
"chr1",5422554,5425861,3308,"*","consensus_peak_202_overlaps2",2,"Distal Intergenic",1,5490829,5492804,1976,2,"105376686","ENST00000649109.1",66943
"chr1",6037219,6037797,579,"*","consensus_peak_216_overlaps2",2,"Promoter (1-2kb)",1,6035917,6041762,5846,1,"8514","ENST00000459822.1",1302
