gene_symbol,ensembl_id,log2FoldChange,padj
PRDM16,ENSG00000142611.17,-1.27213093514883,1.95562161795604e-12
RERE,ENSG00000142599.20,-0.695747181227674,0.001633827470999
CLCN6,ENSG00000011021.23,-0.602798671524373,0.0019414595182641
VPS13D,ENSG00000048707.15,-0.579173887411561,0.000590058166834
DHRS3,ENSG00000162496.9,-1.9516130600691,5.21991579120738e-28
IFFO2,ENSG00000169991.11,-1.47179802687408,2.72818634059693e-17
ZBTB40,ENSG00000184677.18,-0.749589091588873,1.47250427225818e-05
ID3,ENSG00000117318.9,-1.87983208489053,8.45274132585404e-23
PDIK1L,ENSG00000175087.10,-0.765061213106886,5.36718402253719e-05
ARID1A,ENSG00000117713.21,-0.819439466596003,0.0004268957265479
SESN2,ENSG00000130766.5,-0.670983663123763,0.0005672242899201
KIAA0319L,ENSG00000142687.19,-0.571917425042096,0.000146111369009
RNF220,ENSG00000187147.18,-0.583129701594668,0.0003142990540964
DAB1,ENSG00000173406.16,-2.193792682086,9.38417804725505e-07
JUN,ENSG00000177606.8,-0.76299813783625,3.80186141445244e-08
DOCK7,ENSG00000116641.18,-1.04493452677916,2.4115648949412403e-09
DNAJC6,ENSG00000116675.16,-1.37346940544096,1.6126679772872501e-15
LEPR,ENSG00000116678.20,-0.768945450993554,0.0002728026312467
PDE4B,ENSG00000184588.18,-2.68487717637977,6.77561354622331e-47
GNG12,ENSG00000172380.6,-0.95467932411542,2.91619403680662e-08
CTH,ENSG00000116761.12,-0.959483643743622,0.0008371610804044
TTLL7,ENSG00000137941.17,-0.727703459512969,0.0001065653896699
DDAH1,ENSG00000153904.21,-1.28016316981937,1.61606375603936e-10
CNN3,ENSG00000117519.16,-0.838751896320575,2.4106315408829e-09
DPYD,ENSG00000188641.14,-0.759483175974178,2.0755171589143e-05
SNX7,ENSG00000162627.17,-0.630044067572663,0.001494070804588
SORT1,ENSG00000134243.12,-0.468190999477437,0.0097093016638175
MAGI3,ENSG00000081026.19,-1.55394739486324,1.2039753260694601e-23
ATP1A1,ENSG00000163399.16,-1.28948792709695,2.27718330249103e-19
SPAG17,ENSG00000155761.14,-4.09988467555153,2.2269202478853298e-119
PHGDH,ENSG00000092621.13,-1.24918630749341,1.02050750741641e-07
BCL9,ENSG00000116128.12,-1.13737626987091,2.85080854739332e-05
ACP6,ENSG00000162836.12,-1.77574587975789,4.08315263326051e-24
MLLT11,ENSG00000213190.4,-1.97524031722435,5.0282275172805e-37
NES,ENSG00000132688.11,-1.68097840291217,1.6122775163347998e-23
PBX1,ENSG00000185630.20,-2.12651093364178,1.29555327549196e-19
POGK,ENSG00000143157.12,-0.714852115877084,0.0004934885028199
SLC19A2,ENSG00000117479.15,-0.802424976879354,0.0021225755590358
DNM3,ENSG00000197959.15,-1.2073034542394,1.53575953712153e-12
XPR1,ENSG00000143324.14,-0.722720384081663,2.36611824214273e-05
RNASEL,ENSG00000135828.11,-0.731888956601785,0.0034377437490715
COLGALT2,ENSG00000198756.12,-1.53765996065825,3.79780570288573e-17
HMCN1,ENSG00000143341.12,-2.55637294677949,1.36596846313265e-45
ZNF281,ENSG00000162702.8,-0.954041710312579,8.99918838683976e-06
SOX13,ENSG00000143842.15,-1.59069942054093,3.04903690941786e-22
ATF3,ENSG00000162772.17,-1.22965156814023,2.67731150513274e-07
ESRRG,ENSG00000196482.18,-0.912334800016142,0.0047580758083274
DUSP10,ENSG00000143507.18,-1.42862082005883,7.01855763733275e-12
ITPKB,ENSG00000143772.11,-0.483897300107852,0.0030635070071034
GPR137B,ENSG00000077585.14,-0.737742115987647,0.0004500499725835
FMN2,ENSG00000155816.21,-1.42049217908538,2.7929368686545403e-15
