Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	493/2206	1.680094e-04	3.351075e-01	0	0	1.221069e+00	1.061291e+01	ATF2;EHF;MAML2;MAML1;ZNF292;BACH1;SOX21;ZXDA;ZXDB;NAMPT;CREB3L2;BBX;SUPT20H;HOXA5;RNF111;MEF2A;ZNF18;MED1;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;HCFC2;ZNF14;DKK1;AR;RFX7;RFX4;ZSCAN21;PRKD1;ATF6;ATF3;CGGBP1;ATF4;ZNF397;ZNF155;ZNF396;CTBP2;SHOX2;MYNN;NEDD4L;ZNF22;BAZ2B;GATA3;ZNF24;ZNF25;PRDM16;MYO6;ZSCAN12;CGA;ZNF148;ZSCAN16;PPARGC1A;ZNF268;ZNF267;ZNF146;JUN;JAG1;ZNF383;ZNF382;ZNF260;NR2F1;POU6F2;NR1D2;NR1D1;INO80;PBX1;FOSL2;SOX30;TADA2B;AGO3;AGO4;AGO1;SNAI2;ZNF136;ZNF256;HOXD8;ZNF134;ZNF254;PHF2;GTF2H2C;ZNF251;ZNF490;BHLHE41;ZNF44;EFCAB7;NIPBL;MED13;HEY1;ZNF41;ELOA;TEAD1;ZIK1;ZNF484;BRD2;ZNF362;RIPK2;TCF12;TET2;TET1;BAZ1A;SIRT1;PHF20L1;NCOR2;KAT2B;PLSCR1;ZEB2;NCOR1;MTF2;PAX9;TET3;RARB;ZNF234;RNASEL;ZNF518B;ZNF518A;BCLAF1;ZNF229;PLAGL2;ZNF107;ZNF227;ZNF225;ZNF343;ZNF222;ZNF462;ZNF461;USP9X;STAT2;NR1H4;ELP3;GTF2H5;HIPK2;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;GZF1;ZNF211;ZNF451;CCNT2;ZNF570;RIF1;CCNT1;UBE2D3;ZBTB26;UBE2D1;ZBTB20;RORB;FGF2;DACH1;ZFP30;SALL3;ZNF569;ZNF205;ZNF689;KMT5A;PITX2;ZNF322;ZNF442;ZNF441;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;FOXP1;KAT6A;ZNF319;ZNF439;ERF;ZNF436;PHIP;ZNF677;TOX;ZNF433;ZNF674;DLX1;DLX2;ZNF670;DLX5;TNKS;DLX6;GLIS3;NPAS3;ATXN1;TTC21B;ZKSCAN8;ZKSCAN3;ZNF669;ABL1;ZKSCAN2;ZNF426;ZNF425;ZNF304;ZNF546;ZKSCAN4;SKIL;MAP2K5;AKIRIN2;ZBTB17;ZBTB14;ZBTB10;ESRRG;NFKB1;BCL9;DAB2;BCL6;ZNF419;CDK4;CNOT2;ZFP64;ZNF416;ZNF658;ZNF536;ZNF777;ZNF776;ZNF655;SP140L;ZNF654;OGT;SP9;ZNF773;ZNF772;NFE2L2;RNF10;BMPR2;AKAP8L;PTEN;ZFP82;ZNF408;ZNF649;NCK2;ZNF644;ZNF641;ACTR3;PPP1R12A;CHUK;DNMT3A;VEZF1;ZNF75D;TFDP3;DMRTA1;TRAF6;LCOR;ZNF513;LCORL;ZNF510;ZNF630;HDAC5;CEBPD;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;HDAC8;HDAC9;ZBTB41;LRP6;ZBTB40;IFI16;ZNF629;ZNF627;ZNF746;ZNF625;RBBP8;ZNF623;E2F5;ZNF620;FNIP2;IRX1;SMARCE1;PRRX1;FOXJ2;CDC5L;KLF3;TBX3;KLF7;KLF6;KLF5;ZNF616;ZNF615;KLF9;ZNF614;ZNF613;TRIM37;ZNF853;ZNF610;TNRC6A;TNRC6B;APP;CCNH;JMJD1C;RPS6KA5;EDNRB;ZNF608;ZNF606;SAP130;ZNF724;DPF2;EPC1;ZNF844;TRIM27;SOX9;CCNL1;SOX6;SOX4;SOX5;ACVR1;RUNX1;THAP3;THAP5;ZFPM2;BEX1;TSHZ3;TXK;FOXG1;TWIST1;PIK3R1;ZBTB2;PGBD1;BRIP1;ZNF827;MIER3;PCBP1;DHX36;MIER1;ZBED1;ZNF821;TP53BP1;PATZ1;ZBED3;STAT5B;WWTR1;BCL11A;SMARCA5;PARP15;MED13L;ZBTB6;ZNF816;ID2;ZNF813;ID1;ID4;CREBRF;ID3;RBAK;RCOR3;CSRNP2;TENM2;CSRNP3;CITED1;CITED2;OTUD7B;RSF1;WASL;ZMYM5;AASS;NCOA1;NCOA2;EDN1;ATMIN;IL18;PROX1;PARP9;ZHX1;ZFX;RGMA;TOX3;NFX1;ZNF780A;TLR4;TLR3;RHOQ;YAP1;FOXC1;ZNF3;ZNF8;TRAK1;ARNTL2;PURB;RXRB;HSF2;HDX;ZNF585A;PURG;RTRAF;ARNT2;IFNB1;NFYC;PER2;PER1;NEUROG2;ZFP28;ZNF354B;FOXA1;CRTC3;PRDM4;KDM1B;ZSCAN9;WWC2;ARID4A;ARID4B;NUCKS1;PRDM1;NR3C1;CARF;NR3C2;ZNF81;POGZ;ARID5B;KCTD1;POU3F2;POU3F4;ZNF91;ZNF93;FIZ1;HDGFL3;UBC;TFAP2B;SMAD1;TFAP2C;SMAD4;ECD;HMGA2;ZFHX4;ESR1;SMAD5;BMP5;JMY;PHF14;TCF4;BMPR1B;ZSCAN2;BMPR1A;THRB;LDB1;THRA;HMGB3;NR2E1;CHD2;CHD1;TRPS1;DACT1;TGIF1;KDM6B;KLF10;KLF12;ARID1A;ARID1B;ETV6;KLF17;ELF1;SFPQ;RBL1;CREB1;ELF4;CRY2;IRF2;KDM7A;IRF9;CREB5;KDM3A;CAMK2D;ZNF197;HLF;TAF9;DDX20;MOSPD1;RNF2;ATAD2B;NRIP1;HES1;ZNF286A;ZNF189;IGBP1;TCF7L2;ZNF184;TBX19;ACVR2B;ACVR2A;REST;MEIS1;TEF;LPIN2;RBMX
GO_Biological_Process_2021	neuron projection morphogenesis (GO:0048812)	45/140	2.360678e-04	3.351075e-01	0	0	1.974876e+00	1.649296e+01	APP;NCKAP1;BRSK1;GPM6A;CNTNAP2;NLGN1;TRIO;ROCK1;CTNND2;ATL1;PLPPR4;DOCK7;PTEN;LRP4;WASL;NYAP2;ACTB;ALCAM;SLITRK2;FLRT3;MAP2;BTBD3;EPB41L3;SLITRK6;NRCAM;CTNNA2;DRD2;PAK3;ZNF365;MAP4K4;MEF2A;ANK3;EIF2AK4;S100B;MYO16;SHTN1;KLF7;TAOK3;MAP1B;PARD3;TAOK1;TNIK;SGK1;DBN1;GAS7
GO_Biological_Process_2021	ventricular septum morphogenesis (GO:0060412)	14/28	2.699851e-04	3.351075e-01	0	0	4.156726e+00	3.415642e+01	ROBO2;ACVR1;SMAD4;BMPR2;CITED2;SOX11;PROX1;ROBO1;HEY1;HES1;SLIT2;ZFPM2;SOX4;BMPR1A
GO_Biological_Process_2021	regulation of mesenchymal stem cell differentiation (GO:2000739)	6/7	3.134795e-04	3.351075e-01	0	0	2.490904e+01	2.009606e+02	PDGFRA;REST;LTBP3;SOX9;SOX6;SOX5
GO_Biological_Process_2021	synapse organization (GO:0050808)	41/126	3.276374e-04	3.351075e-01	0	0	2.010180e+00	1.612889e+01	APP;GPM6A;NLGN1;CTNND2;ZC4H2;PTEN;LRP4;ARHGAP39;CDH2;SLITRK2;FLRT3;DNER;SLITRK6;NRCAM;APBB2;GPC4;DRD2;LRRC4C;PAK3;GPC6;PPFIA2;CAST;KIRREL3;UNC13B;NLGN4X;RAB39B;PCDHB14;PCDHB13;ANK3;PCDHB11;DKK1;PCDHB10;DNM3;SDK1;PPFIBP1;REST;PCDHB2;NEDD4;PCDHB16;PCDHB9;PDZRN3
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	496/2244	4.519041e-04	3.851730e-01	0	0	1.202038e+00	9.258143e+00	ATF2;EHF;ZNF292;BACH1;SOX21;ZXDA;ZXDB;CREB3L2;BBX;SUPT20H;SAMD13;HOXA5;RNF111;MEF2A;ZNF18;MED1;MEF2C;ZNF285;RBFOX2;ZNF281;DAPK3;SOX13;RFX3;SOX11;HCFC2;ZNF14;AR;RFX7;RFX4;ZSCAN21;ATF6;ATF3;ATF4;ZNF397;ZNF155;ZNF396;ZNF273;CTBP2;SHOX2;MYNN;ZNF22;BAZ2B;GATA3;BCL10;ZNF24;ZNF25;PRDM16;ZSCAN12;CGA;ZNF148;ZSCAN16;PPARGC1A;ZNF268;ZNF267;ZNF146;CDK17;JUN;PHC1;ZNF383;ZNF382;ZNF260;IL31RA;NR2F1;POU6F2;TRIP4;NR1D2;NR1D1;PHC3;PBX1;FOSL2;SOX30;MLLT11;TADA2B;TNFSF4;SNAI2;CDK14;ZNF136;ZNF256;HOXD8;ZNF134;ZNF254;LIN54;PHF2;ZNF253;GTF2H2C;BTG1;CDKN1B;ZNF251;ZNF490;TGFB1I1;BHLHE41;ZNF44;NIPBL;MED13;HEY1;ZNF41;ZNF280C;SPIN1;ELOA;JARID2;TEAD1;ZIK1;ZNF484;BRD2;ZNF362;RING1;TCF12;BAZ1A;SIRT1;PHF20L1;NCOR2;GCFC2;ZEB2;NCOR1;MTF2;PAX9;PLCB1;CRYAB;ZNF234;CIPC;ZNF518B;ZNF518A;BCLAF1;SPP1;ZNF229;PLAGL2;ZNF107;ZNF227;ZNF225;ZNF343;ZNF222;ZNF100;ZNF461;ZNF460;STAT2;NR1H4;WWP1;ELP3;WTIP;HIPK2;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;GZF1;LIMS1;ZNF211;CCNT2;ZNF570;CCNT1;ZBTB26;ZBTB20;RORB;FGF2;EFEMP1;HMGN5;DACH1;ZFP30;SALL3;ZNF569;ZNF205;ZNF689;KMT5A;PITX2;ZNF322;MAP3K5;ZNF442;ZNF441;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;FOXP1;KAT6A;ZNF319;ZNF439;ERF;ZNF436;PHIP;ZNF678;ZNF677;TOX;ZNF433;ZNF674;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;CREBL2;NPAS3;ATXN1;TTC21B;ZKSCAN8;ZKSCAN3;ZNF669;ABL1;ZKSCAN2;ZNF426;ZNF425;ZNF304;ZNF546;ZKSCAN4;NDP;ZBTB17;ZBTB14;ZBTB10;ESRRG;FOXN3;FOXN2;NFKB1;BCL6;ZNF419;CNOT2;ZNF416;ZNF658;ZNF536;ZNF777;ZNF776;ZNF655;SP140L;ZNF654;OGT;SP9;ZNF773;ZNF772;NFE2L2;RNF10;BNC2;SUMO4;ZFP82;ZNF408;ZNF649;ZNF646;HMG20A;ZNF644;YAF2;ZNF641;CHUK;DTX3L;MSL3;NRG1;VEZF1;ACTR8;ZNF75D;TFDP3;DMRTA1;TRAF6;ZNF516;LCOR;LCORL;L3MBTL4;ZNF510;ZNF630;HDAC5;CEBPD;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;HDAC9;ZBTB41;LRP6;ZBTB40;IFI16;ZNF629;ZNF627;ZNF506;ZNF746;ZNF625;RBBP8;ZNF623;E2F5;ZNF620;TRIM44;TRIM45;IRX1;SMARCE1;PRRX1;FOXJ2;CDC5L;KLF3;TBX3;KLF7;KLF6;KLF5;POLR3C;ZNF616;ZNF615;KLF9;POLR3F;ZNF614;ZNF613;ZNF853;ZNF610;ZNF730;CCNH;JMJD1C;CCAR1;RPS6KA5;ZNF608;ZNF606;ZNF724;DPF2;EPC1;ZNF844;SOX9;CCNL1;SOX6;TRIM22;SOX4;SOX5;ACVR1;RUNX1;ZNF713;ZFPM2;L3MBTL3;TSHZ3;FOXG1;TWIST1;NLK;ZBTB2;SEC14L2;PGBD1;BRIP1;DHX36;ZBED1;ZNF821;TP53BP1;PATZ1;SNX5;STAT5B;WWTR1;BCL11A;SETDB2;SMARCA5;MED13L;ZBTB6;ZNF816;ID2;ZNF813;ID1;ID4;CREBRF;ID3;RBAK;RCOR3;TENM1;CSRNP2;CSRNP3;CITED1;CITED2;RSF1;PTPRK;CD38;NCOA1;NCOA2;ATMIN;PROX1;PARP9;RGMB;ZHX1;COMMD7;ZFX;TOX3;MDFIC;NFX1;DEPDC1;WAC;ZNF780A;VGLL4;YAP1;FOXC1;SPINDOC;PRICKLE1;ZNF3;TYMS;ZNF8;TRAK1;ARNTL2;PURB;RXRB;RBM15B;HSF2;APBB2;GPBP1L1;HDX;ZNF585A;PURG;ARNT2;NFYC;PER2;PER1;NEUROG2;ZFP28;ZNF354B;FOXA1;ZSCAN9;WWC2;ARID4A;ARID4B;NUCKS1;PRDM1;NR3C1;CARF;NR3C2;ZNF81;ZNF85;PCID2;ARID5B;KCTD1;POU3F2;POU3F4;ZNF91;ZNF92;ZNF93;HDGFL3;TASP1;TFAP2B;SMAD1;TFAP2C;SMAD4;HMGA2;ZFHX4;ESR1;SMAD5;BAMBI;JMY;PHF14;TCF4;ZSCAN2;PICALM;KDM5A;LDB1;THRA;HMGB3;NR2E1;CHD2;CHD1;ELAVL2;SFR1;YWHAQ;TRPS1;TGIF1;ARHGEF11;KLF10;USP47;KLF12;ARID1A;ARID1B;ETV6;KLF17;ELF1;SFPQ;CREB1;ELF4;CRY2;IRF2;TERF2IP;ZMYND11;KDM7A;IRF9;CREB5;KDM3A;CAMK2D;ZNF197;HLF;ZNF195;TGFBRAP1;RNF6;CIART;ERBB4;HES1;ZNF286A;ZNF189;ATF7IP;TCF7L2;ZNF184;EGF;TBX19;YY1AP1;ACVR2B;REST;MEIS1;TCIM;TEF;NAA16
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	119/464	5.591303e-04	4.084846e-01	0	0	1.443423e+00	1.080998e+01	EIF4A2;ARID4A;RORB;NR3C1;DACH1;RPS6KA5;DPF2;EPC1;KMT5A;SOX9;SAMD13;RBFOX2;ZNF281;ZBTB38;SOX13;RFX3;ARID5B;KCTD1;ZBTB33;FOXP1;ZNF91;ZNF93;KAT6A;ZFPM2;L3MBTL3;CTBP2;TSHZ3;FOXG1;TWIST1;GATA3;ZNF24;ATXN1;PRDM16;ZKSCAN3;ZNF425;ZNF148;PATZ1;TFAP2B;JUN;SMAD4;PHC1;ZBTB14;SETDB2;HMGA2;NR1D2;NR1D1;FOXN3;PHC3;BCL6;TNFSF4;COPS2;ID2;ID1;ZNF658;ID4;ID3;RBAK;RCOR3;ZNF256;ZNF253;CDKN1B;CITED1;LDB1;THRA;CITED2;BHLHE41;SUMO4;RSF1;PTPRK;NIPBL;HEY1;YWHAQ;CD38;JARID2;YAF2;KLF10;USP47;RING1;NRG1;PROX1;SIRT1;COMMD7;ZHX1;NCOR2;GCFC2;SFPQ;NCOR1;MDFIC;TRAF6;PAX9;CRY2;DEPDC1;PLCB1;ZMYND11;CRYAB;L3MBTL4;VGLL4;HDAC5;SPINDOC;CIPC;PRICKLE1;HDAC9;CIART;BCLAF1;RBM15B;IFI16;ZNF746;HES1;SMARCE1;ATF7IP;TCF7L2;WWP1;TBX3;PER2;PER1;REST;ZNF217;GZF1;LIMS1
GO_Biological_Process_2021	protein poly-ADP-ribosylation (GO:0070212)	7/10	7.174076e-04	4.274974e-01	0	0	9.688144e+00	7.014087e+01	TNKS2;PARP2;TNKS;ZC3HAV1;PARP14;PARP9;PARP15
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	20/51	8.460372e-04	4.274974e-01	0	0	2.683083e+00	1.898267e+01	ROBO2;EPHA4;BRSK1;NTRK2;GDI1;MCF2;PTEN;LRP4;ARHGAP35;ROBO1;TIAM2;SIPA1L1;CDH2;RUFY3;CHN1;KIF13B;SLIT2;LRRC4C;PAK3;PAK2
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	125/496	8.522160e-04	4.274974e-01	0	0	1.409864e+00	9.964454e+00	APP;GMFB;CCNT1;TP53RK;MAML1;CCNH;IGF1R;PPP4R1;EFEMP1;SLK;RPS6KA5;RPS6KA2;AKT3;CHEK1;PIM1;KDR;NEK1;STK32A;PRKACB;ROS1;MAP3K5;ACVR1;CSNK1G3;EPHA4;PDGFRA;MORC3;CDKL5;DAPK3;PRKCA;NRBP1;SIK3;ULK2;PRKD1;TNIK;SIK2;EPHA3;BRSK1;PXK;TNKS;TXK;NLK;TTBK2;STK3;ABL1;ABL2;STK38L;MAP2K6;MARK1;CDK17;PLK4;SRPK2;CDK19;PLK2;NEK7;EIF2AK2;BRAF;EIF2AK4;TBCK;FER;CDK6;CDK4;COPS2;STK26;BMPR1B;CDK14;BMPR1A;ALK;DDR1;DYRK4;BMPR2;DYRK2;MAST4;MAST2;TLK2;TLK1;RIOK2;PRKG1;BRD2;CHUK;STRADB;OXSR1;MASTL;LATS1;CREB1;SGK1;TLR4;TLR3;DDR2;NIM1K;RNASEL;PRKAA1;CAMK2D;ROCK1;MAPK9;MAPK8;ERBB4;CCL2;MAPK1;RICTOR;FYN;MAP4K5;PAK3;MAPK6;FNIP2;PAK2;MAP4K3;MAP4K4;NTRK2;MAP3K1;CSNK1A1;HIPK1;CDC42BPA;ACVR2B;GTF2H5;ACVR2A;HIPK2;MAPK10;TAOK3;RPS6KB1;STK17A;TAOK1;ABI1;RPS6KB2;NEK10;PKN2
