ensembl_id,gene_symbol,log2FoldChange,padj
ENSG00000157168,NRG1,-3.4206026561045,3.49063244014382e-132
ENSG00000151320,AKAP6,-4.08867342869176,6.12740828564701e-123
ENSG00000155761,SPAG17,-4.09988467555153,2.2269202478853298e-119
ENSG00000164434,FABP7,-3.88539407351492,6.58188003159e-119
ENSG00000111913,RIPOR2,-3.70684951617612,2.0603900107731903e-117
ENSG00000272841,AL139393.2,-3.93571128002067,2.4325930975670002e-114
ENSG00000118785,SPP1,-3.26116290169136,8.08529686244184e-109
ENSG00000178776,C5orf46,-6.38323703436526,1.3075446499064798e-103
ENSG00000151012,SLC7A11,-3.06725742579964,9.88885897041202e-100
ENSG00000127863,TNFRSF19,-3.22805163445155,5.13748193800904e-99
ENSG00000165434,PGM2L1,-2.92421687705057,1.34742352086137e-97
ENSG00000206432,TMEM200C,-3.10827689808964,5.72722409394733e-96
ENSG00000176907,TCIM,-4.59540350745276,2.6815881303992104e-91
ENSG00000111859,NEDD9,-3.73854846814772,4.77469502230009e-90
ENSG00000150625,GPM6A,-3.09986369283636,7.9002255455034e-90
ENSG00000107984,DKK1,-3.68138598645537,1.29717898422987e-88
ENSG00000231131,LINC01468,-3.91405432833015,4.07585065509049e-84
ENSG00000109846,CRYAB,-2.70752790616832,1.33459825005356e-75
ENSG00000125285,SOX21,-4.55563874005913,1.1458567854553e-72
ENSG00000110852,CLEC2B,-3.07253009516651,6.45958381719547e-66
ENSG00000164265,SCGB3A2,-4.45176972720212,1.35582610004799e-65
ENSG00000118523,CTGF,-3.28153506387259,2.6541706013460803e-65
ENSG00000204381,LAYN,-2.41198054299608,4.3647524825498706e-65
ENSG00000164683,HEY1,-2.67493855324561,1.89496161514199e-64
ENSG00000126785,RHOJ,-2.75178479847325,3.77144040824896e-64
ENSG00000135046,ANXA1,-2.72436028155636,3.65175190130754e-63
ENSG00000165078,CPA6,-3.02397163276977,1.08369966157877e-62
ENSG00000109654,TRIM2,-2.69527261718178,1.87504724921048e-62
ENSG00000153714,LURAP1L,-2.54753474748371,2.14009225222155e-60
ENSG00000147145,LPAR4,-4.74750705724466,9.165602478036981e-60
ENSG00000120833,SOCS2,-2.65746051442388,1.22160315521785e-59
ENSG00000146250,PRSS35,-3.85952690543954,1.8361618956422102e-58
ENSG00000088386,SLC15A1,-3.42196230434779,4.3448648334967995e-58
ENSG00000276644,DACH1,-3.1059028821652,1.5513516112329799e-55
ENSG00000242759,LINC00882,-3.28190263965269,9.982193111011701e-55
ENSG00000120278,PLEKHG1,-2.39720296335002,4.8377869021956e-54
ENSG00000048052,HDAC9,-3.22563118382858,7.408499937293351e-54
ENSG00000077092,RARB,-2.68173843181187,2.2236305594195802e-53
ENSG00000127329,PTPRB,-2.27157553999554,2.60948322814002e-53
ENSG00000165071,TMEM71,-4.52252877253319,3.86636678770594e-53
ENSG00000166106,ADAMTS15,-2.46966264688602,1.74066501744229e-52
ENSG00000277443,MARCKS,-2.31380455495265,2.40373352381928e-52
ENSG00000164125,FAM198B,-3.97876047159006,4.45103156751546e-52
