ensembl_id,gene_symbol
ENSG00000142619,PADI3
ENSG00000198910,L1CAM
ENSG00000117115,PADI2
ENSG00000125730,C3
ENSG00000121904,CSMD2
ENSG00000128510,CPA4
ENSG00000001617,SEMA3F
ENSG00000106484,MEST
ENSG00000172061,LRRC15
ENSG00000173432,SAA1
ENSG00000157168,NRG1
ENSG00000240583,AQP1
ENSG00000182492,BGN
ENSG00000163395,IGFN1
ENSG00000151320,AKAP6
ENSG00000133048,CHI3L1
ENSG00000155761,SPAG17
ENSG00000164434,FABP7
ENSG00000111913,RIPOR2
ENSG00000141750,STAC2
ENSG00000272841,AL139393.2
ENSG00000118785,SPP1
ENSG00000189120,SP6
ENSG00000064300,NGFR
ENSG00000104415,WISP1
ENSG00000095303,PTGS1
ENSG00000198074,AKR1B10
ENSG00000156510,HKDC1
ENSG00000178776,C5orf46
ENSG00000155066,PROM2
ENSG00000011347,SYT7
ENSG00000151012,SLC7A11
ENSG00000127863,TNFRSF19
ENSG00000131094,C1QL1
ENSG00000165434,PGM2L1
ENSG00000206432,TMEM200C
ENSG00000141524,TMC6
ENSG00000168528,SERINC2
ENSG00000135636,DYSF
ENSG00000176907,TCIM
ENSG00000100302,RASD2
ENSG00000133067,LGR6
ENSG00000188064,WNT7B
ENSG00000111859,NEDD9
ENSG00000150625,GPM6A
ENSG00000107984,DKK1
ENSG00000231131,LINC01468
ENSG00000157087,ATP2B2
ENSG00000138944,SHISAL1
ENSG00000170421,KRT8
ENSG00000095383,TBC1D2
ENSG00000142910,TINAGL1
ENSG00000166592,RRAD
ENSG00000157570,TSPAN18
ENSG00000109846,CRYAB
ENSG00000116396,KCNC4
ENSG00000188613,NANOS1
ENSG00000106789,CORO2A
ENSG00000166448,TMEM130
ENSG00000125285,SOX21
ENSG00000163520,FBLN2
ENSG00000146700,SSC4D
ENSG00000141753,IGFBP4
ENSG00000101187,SLCO4A1
ENSG00000100985,MMP9
ENSG00000100234,TIMP3
ENSG00000137699,TRIM29
ENSG00000130707,ASS1
ENSG00000146072,TNFRSF21
ENSG00000137809,ITGA11
ENSG00000130762,ARHGEF16
ENSG00000141540,TTYH2
ENSG00000151651,ADAM8
ENSG00000137486,ARRB1
ENSG00000221955,SLC12A8
ENSG00000110852,CLEC2B
ENSG00000167680,SEMA6B
ENSG00000164265,SCGB3A2
ENSG00000118523,CTGF
ENSG00000204381,LAYN
ENSG00000164683,HEY1
ENSG00000126785,RHOJ
ENSG00000123689,G0S2
ENSG00000161381,PLXDC1
ENSG00000085117,CD82
ENSG00000135046,ANXA1
ENSG00000162591,MEGF6
ENSG00000165078,CPA6
ENSG00000265190,ANXA8
ENSG00000109654,TRIM2
ENSG00000197249,SERPINA1
ENSG00000079308,TNS1
ENSG00000186832,KRT16
ENSG00000171631,P2RY6
ENSG00000107954,NEURL1
ENSG00000075275,CELSR1
ENSG00000158270,COLEC12
ENSG00000086570,FAT2
ENSG00000171303,KCNK3
