Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
GFP_1_flagstat	100.0	100.0	100.0	55.178512257629464	100.0	100.0	100.0	0.0	0.0	0.0
GFP_1_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
GFP_1_prefilter_flagstat	100.0	100.0	85.90617349162024	0.0	100.0	85.90617349162024	85.90617349162024	0.0	0.0	0.0
GFP_2_flagstat	100.0	100.0	100.0	78.62392887039019	100.0	100.0	100.0	0.0	0.0	0.0
GFP_2_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
GFP_2_prefilter_flagstat	100.0	100.0	90.05436999995366	0.0	100.0	90.05436999995366	90.05436999995366	0.0	0.0	0.0
GFP_3_flagstat	100.0	100.0	100.0	48.385707895850864	100.0	100.0	100.0	0.0	0.0	0.0
GFP_3_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
GFP_3_prefilter_flagstat	100.0	100.0	79.56549480832913	0.0	100.0	79.56549480832913	79.56549480832913	0.0	0.0	0.0
YAF_1_flagstat	100.0	100.0	100.0	82.43061262731482	100.0	100.0	100.0	0.0	0.0	0.0
YAF_1_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
YAF_1_prefilter_flagstat	100.0	100.0	77.07760822913805	0.0	100.0	77.07760822913805	77.07760822913805	0.0	0.0	0.0
YAF_2_flagstat	100.0	100.0	100.0	34.31420697517227	100.0	100.0	100.0	0.0	0.0	0.0
YAF_2_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
YAF_2_prefilter_flagstat	100.0	100.0	75.38036471709432	0.0	100.0	75.38036471709432	75.38036471709432	0.0	0.0	0.0
YAF_3_flagstat	100.0	100.0	100.0	46.67033264238211	100.0	100.0	100.0	0.0	0.0	0.0
YAF_3_prededup_flagstat	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0
YAF_3_prefilter_flagstat	100.0	100.0	83.4833588692986	0.0	100.0	83.4833588692986	83.4833588692986	0.0	0.0	0.0
