## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/3_alignment/YAF_2.dedup.bam] OUTPUT=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/6_bigwig/YAF_2_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 16:23:24 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	73089639	0	0	0	23082957	905514	0.315817	91924979

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	35281193
2	9531909
3	3276642
4	1197928
5	442076
6	163836
7	61976
8	25185
9	11104
10	5418
11	3043
12	1733
13	1104
14	734
15	561
16	396
17	311
18	237
19	165
20	134
21	137
22	108
23	88
24	70
25	64
26	44
27	47
28	48
29	31
30	33
31	18
32	32
33	25
34	15
35	14
36	12
37	20
38	14
39	11
40	14
41	9
42	8
43	7
44	6
45	10
46	5
47	5
48	7
49	6
50	5
51	4
52	1
53	6
54	4
55	2
56	4
57	2
58	2
59	8
60	6
61	2
62	2
65	3
66	3
67	4
68	3
69	1
70	2
71	3
72	3
73	2
74	2
76	3
78	1
79	1
81	3
82	2
83	3
85	1
86	1
88	2
91	1
92	1
93	1
95	1
101	1
102	1
103	1
104	1
105	1
106	1
108	1
111	2
113	1
116	1
117	1
123	1
124	1
125	1
136	1
145	1
171	1
178	1
180	1
196	2
198	1
226	1
229	1
242	1
287	1
296	1
323	1
333	1
353	1
379	1
437	1
445	1
496	1
524	1

