## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/3_alignment/YAF_3.dedup.bam] OUTPUT=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/6_bigwig/YAF_3_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 07 10:37:05 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	64681377	0	0	0	28707391	927598	0.443828	49847891

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	20764706
2	7938187
3	3838404
4	1863196
5	875541
6	395723
7	171845
8	72531
9	30373
10	12616
11	5347
12	2388
13	1140
14	584
15	382
16	251
17	164
18	113
19	87
20	69
21	45
22	44
23	30
24	26
25	27
26	18
27	20
28	18
29	13
30	10
31	16
32	7
33	8
34	10
35	9
36	4
37	5
38	6
39	3
40	1
41	1
42	2
43	2
46	2
47	3
48	4
49	1
52	1
54	1
55	1
57	1
59	1
61	1
62	1
65	1
67	3
69	2
71	1
78	1
81	1
85	2
100	1
127	1
130	1
151	1
180	1
191	1
382	1

