## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/3_alignment/YAF_1.dedup.bam] OUTPUT=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/6_bigwig/YAF_1_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 16:19:56 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	59957481	0	0	0	47898868	927426	0.798881	12153067

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	4923313
2	1459294
3	905272
4	678263
5	550348
6	463196
7	400579
8	347746
9	305020
10	266486
11	234495
12	203502
13	178052
14	155008
15	135355
16	117581
17	102039
18	87515
19	76524
20	66078
21	57289
22	49463
23	42773
24	37433
25	32067
26	28004
27	23967
28	20997
29	18024
30	15675
31	13220
32	11131
33	9520
34	8086
35	6890
36	5534
37	4600
38	3727
39	3025
40	2489
41	1929
42	1603
43	1281
44	1019
45	766
46	582
47	472
48	337
49	255
50	198
51	134
52	116
53	80
54	64
55	48
56	32
57	25
58	20
59	14
60	10
61	9
62	11
63	6
64	7
65	2
66	7
67	2
69	1
70	2
71	2
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
87	1
90	1
92	1
93	1
122	1
131	1

