## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/alignment/SRR18590303.sorted.bam] OUTPUT=results/alignment/SRR18590303.dedup.bam METRICS_FILE=results/alignment/SRR18590303.dedup.metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 22 06:38:55 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1220800	22542256	0	0	234698	1650355	0	0.07635	146343190

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	19361053	19361053
2.0	1.85724	1420499	1420499
3.0	2.592101	102032	102032
4.0	3.222054	7591	7591
5.0	3.762075	634	634
6.0	4.225002	73	73
7.0	4.621842	16	16
8.0	4.96203	2	2
9.0	5.253652	1	1
10.0	5.503643	0	0
11.0	5.717945	0	0
12.0	5.901653	0	0
13.0	6.059135	0	0
14.0	6.194135	0	0
15.0	6.309863	0	0
16.0	6.409069	0	0
17.0	6.494113	0	0
18.0	6.567015	0	0
19.0	6.629511	0	0
20.0	6.683084	0	0
21.0	6.729009	0	0
22.0	6.768378	0	0
23.0	6.802127	0	0
24.0	6.831058	0	0
25.0	6.855859	0	0
26.0	6.877119	0	0
27.0	6.895344	0	0
28.0	6.910967	0	0
29.0	6.92436	0	0
30.0	6.935841	0	0
31.0	6.945683	0	0
32.0	6.954119	0	0
33.0	6.961352	0	0
34.0	6.967552	0	0
35.0	6.972867	0	0
36.0	6.977423	0	0
37.0	6.981328	0	0
38.0	6.984676	0	0
39.0	6.987547	0	0
40.0	6.990007	0	0
41.0	6.992116	0	0
42.0	6.993924	0	0
43.0	6.995474	0	0
44.0	6.996803	0	0
45.0	6.997942	0	0
46.0	6.998918	0	0
47.0	6.999755	0	0
48.0	7.000473	0	0
49.0	7.001088	0	0
50.0	7.001615	0	0
51.0	7.002067	0	0
52.0	7.002454	0	0
53.0	7.002786	0	0
54.0	7.003071	0	0
55.0	7.003315	0	0
56.0	7.003525	0	0
57.0	7.003704	0	0
58.0	7.003858	0	0
59.0	7.003989	0	0
60.0	7.004102	0	0
61.0	7.004199	0	0
62.0	7.004282	0	0
63.0	7.004354	0	0
64.0	7.004415	0	0
65.0	7.004467	0	0
66.0	7.004512	0	0
67.0	7.00455	0	0
68.0	7.004583	0	0
69.0	7.004611	0	0
70.0	7.004636	0	0
71.0	7.004656	0	0
72.0	7.004674	0	0
73.0	7.004689	0	0
74.0	7.004702	0	0
75.0	7.004714	0	0
76.0	7.004723	0	0
77.0	7.004731	0	0
78.0	7.004739	0	0
79.0	7.004745	0	0
80.0	7.00475	0	0
81.0	7.004754	0	0
82.0	7.004758	0	0
83.0	7.004761	0	0
84.0	7.004764	0	0
85.0	7.004767	0	0
86.0	7.004769	0	0
87.0	7.00477	0	0
88.0	7.004772	0	0
89.0	7.004773	0	0
90.0	7.004774	0	0
91.0	7.004775	0	0
92.0	7.004776	0	0
93.0	7.004777	0	0
94.0	7.004777	0	0
95.0	7.004778	0	0
96.0	7.004778	0	0
97.0	7.004779	0	0
98.0	7.004779	0	0
99.0	7.004779	0	0
100.0	7.00478	0	0

