## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/alignment/SRR18590297.sorted.bam] OUTPUT=results/alignment/SRR18590297.dedup.bam METRICS_FILE=results/alignment/SRR18590297.dedup.metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 22 09:33:05 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1989635	27017046	0	0	305043	1980938	0	0.076163	175115888

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	23201611	23201611
2.0	1.857031	1699067	1699067
3.0	2.591534	125272	125272
4.0	3.221025	9390	9390
5.0	3.760519	692	692
6.0	4.222882	67	67
7.0	4.619142	9	9
8.0	4.958749	0	0
9.0	5.249802	0	0
10.0	5.499244	0	0
11.0	5.713024	0	0
12.0	5.89624	0	0
13.0	6.053262	0	0
14.0	6.187834	0	0
15.0	6.303167	0	0
16.0	6.402011	0	0
17.0	6.486723	0	0
18.0	6.559324	0	0
19.0	6.621545	0	0
20.0	6.674871	0	0
21.0	6.720573	0	0
22.0	6.75974	0	0
23.0	6.793308	0	0
24.0	6.822077	0	0
25.0	6.846733	0	0
26.0	6.867864	0	0
27.0	6.885974	0	0
28.0	6.901494	0	0
29.0	6.914796	0	0
30.0	6.926196	0	0
31.0	6.935966	0	0
32.0	6.944339	0	0
33.0	6.951515	0	0
34.0	6.957666	0	0
35.0	6.962937	0	0
36.0	6.967454	0	0
37.0	6.971325	0	0
38.0	6.974643	0	0
39.0	6.977487	0	0
40.0	6.979924	0	0
41.0	6.982013	0	0
42.0	6.983803	0	0
43.0	6.985337	0	0
44.0	6.986652	0	0
45.0	6.987778	0	0
46.0	6.988744	0	0
47.0	6.989572	0	0
48.0	6.990281	0	0
49.0	6.990889	0	0
50.0	6.99141	0	0
51.0	6.991857	0	0
52.0	6.992239	0	0
53.0	6.992567	0	0
54.0	6.992848	0	0
55.0	6.993089	0	0
56.0	6.993296	0	0
57.0	6.993473	0	0
58.0	6.993624	0	0
59.0	6.993754	0	0
60.0	6.993866	0	0
61.0	6.993961	0	0
62.0	6.994043	0	0
63.0	6.994113	0	0
64.0	6.994173	0	0
65.0	6.994224	0	0
66.0	6.994269	0	0
67.0	6.994306	0	0
68.0	6.994339	0	0
69.0	6.994367	0	0
70.0	6.99439	0	0
71.0	6.994411	0	0
72.0	6.994428	0	0
73.0	6.994443	0	0
74.0	6.994456	0	0
75.0	6.994467	0	0
76.0	6.994477	0	0
77.0	6.994485	0	0
78.0	6.994492	0	0
79.0	6.994498	0	0
80.0	6.994503	0	0
81.0	6.994507	0	0
82.0	6.994511	0	0
83.0	6.994514	0	0
84.0	6.994517	0	0
85.0	6.994519	0	0
86.0	6.994521	0	0
87.0	6.994523	0	0
88.0	6.994524	0	0
89.0	6.994526	0	0
90.0	6.994527	0	0
91.0	6.994528	0	0
92.0	6.994528	0	0
93.0	6.994529	0	0
94.0	6.99453	0	0
95.0	6.99453	0	0
96.0	6.994531	0	0
97.0	6.994531	0	0
98.0	6.994531	0	0
99.0	6.994532	0	0
100.0	6.994532	0	0

