## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/alignment/SRR18590296.sorted.bam] OUTPUT=results/alignment/SRR18590296.dedup.bam METRICS_FILE=results/alignment/SRR18590296.dedup.metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 22 08:09:19 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1720140	25500272	0	0	261901	1820932	0	0.074046	169947186

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	21993687	21993687
2.0	1.860666	1560958	1560958
3.0	2.601413	115026	115026
4.0	3.238949	8866	8866
5.0	3.787655	709	709
6.0	4.259908	81	81
7.0	4.66636	9	9
8.0	5.016179	3	3
9.0	5.317257	1	1
10.0	5.576385	0	0
11.0	5.799408	0	0
12.0	5.991356	0	0
13.0	6.156559	0	0
14.0	6.298744	0	0
15.0	6.421118	0	0
16.0	6.526441	0	0
17.0	6.617089	0	0
18.0	6.695107	0	0
19.0	6.762254	0	0
20.0	6.820045	0	0
21.0	6.869784	0	0
22.0	6.912593	0	0
23.0	6.949437	0	0
24.0	6.981148	0	0
25.0	7.00844	0	0
26.0	7.031929	0	0
27.0	7.052146	0	0
28.0	7.069545	0	0
29.0	7.084521	0	0
30.0	7.097409	0	0
31.0	7.108502	0	0
32.0	7.11805	0	0
33.0	7.126267	0	0
34.0	7.133339	0	0
35.0	7.139426	0	0
36.0	7.144664	0	0
37.0	7.149173	0	0
38.0	7.153054	0	0
39.0	7.156393	0	0
40.0	7.159268	0	0
41.0	7.161742	0	0
42.0	7.163871	0	0
43.0	7.165704	0	0
44.0	7.167281	0	0
45.0	7.168639	0	0
46.0	7.169807	0	0
47.0	7.170812	0	0
48.0	7.171678	0	0
49.0	7.172423	0	0
50.0	7.173064	0	0
51.0	7.173616	0	0
52.0	7.17409	0	0
53.0	7.174499	0	0
54.0	7.174851	0	0
55.0	7.175154	0	0
56.0	7.175414	0	0
57.0	7.175639	0	0
58.0	7.175832	0	0
59.0	7.175998	0	0
60.0	7.176141	0	0
61.0	7.176264	0	0
62.0	7.17637	0	0
63.0	7.176461	0	0
64.0	7.176539	0	0
65.0	7.176607	0	0
66.0	7.176665	0	0
67.0	7.176715	0	0
68.0	7.176758	0	0
69.0	7.176795	0	0
70.0	7.176827	0	0
71.0	7.176854	0	0
72.0	7.176878	0	0
73.0	7.176898	0	0
74.0	7.176916	0	0
75.0	7.176931	0	0
76.0	7.176944	0	0
77.0	7.176955	0	0
78.0	7.176964	0	0
79.0	7.176973	0	0
80.0	7.17698	0	0
81.0	7.176986	0	0
82.0	7.176991	0	0
83.0	7.176996	0	0
84.0	7.177	0	0
85.0	7.177003	0	0
86.0	7.177006	0	0
87.0	7.177008	0	0
88.0	7.177011	0	0
89.0	7.177012	0	0
90.0	7.177014	0	0
91.0	7.177015	0	0
92.0	7.177017	0	0
93.0	7.177018	0	0
94.0	7.177018	0	0
95.0	7.177019	0	0
96.0	7.17702	0	0
97.0	7.17702	0	0
98.0	7.177021	0	0
99.0	7.177021	0	0
100.0	7.177022	0	0

