"seqnames","start","end","width","strand","name","score","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",897291,908476,11186,"*","consensus_peak_2_overlaps2,consensus_peak_3_overlaps3,consensus_peak_4_overlaps2",2.333333333,"Promoter (2-3kb)",1,911435,914948,3514,1,"284600","ENST00000448179.1",-2959
"chr1",910384,934083,23700,"*","consensus_peak_7_overlaps2,consensus_peak_8_overlaps3,consensus_peak_9_overlaps2",2.333333333,"Promoter (<=1kb)",1,916870,919692,2823,2,"100130417","ENST00000417705.1",0
"chr1",935053,957782,22730,"*","consensus_peak_12_overlaps2,consensus_peak_13_overlaps3,consensus_peak_14_overlaps2",2.333333333,"Promoter (<=1kb)",1,939275,944259,4985,1,"148398","ENST00000455979.1",0
"chr1",959348,976630,17283,"*","consensus_peak_17_overlaps2,consensus_peak_18_overlaps3,consensus_peak_19_overlaps2,consensus_peak_20_overlaps3,consensus_peak_21_overlaps2",2.4,"Promoter (<=1kb)",1,960584,965719,5136,1,"339451","ENST00000338591.8",0
"chr1",978147,986640,8494,"*","consensus_peak_24_overlaps2,consensus_peak_25_overlaps3,consensus_peak_26_overlaps2",2.333333333,"Promoter (<=1kb)",1,975198,982093,6896,2,"84808","ENST00000433179.4",0
"chr1",993418,1000954,7537,"*","consensus_peak_29_overlaps2,consensus_peak_30_overlaps3,consensus_peak_31_overlaps2",2.333333333,"Promoter (<=1kb)",1,998962,1000172,1211,2,"57801","ENST00000428771.6",0
"chr1",1001866,1007144,5279,"*","consensus_peak_33_overlaps2",2,"Promoter (<=1kb)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",721
"chr1",1013366,1015774,2409,"*","consensus_peak_36_overlaps2",2,"Promoter (<=1kb)",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",0
"chr1",1017074,1029334,12261,"*","consensus_peak_38_overlaps2,consensus_peak_39_overlaps3,consensus_peak_40_overlaps2",2.333333333,"Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",0
"chr1",1049314,1075786,26473,"*","consensus_peak_43_overlaps2,consensus_peak_44_overlaps3,consensus_peak_45_overlaps2,consensus_peak_46_overlaps3,consensus_peak_47_overlaps2",2.4,"Promoter (<=1kb)",1,1059687,1066449,6763,1,"100288175","ENST00000688131.1",0
"chr1",1079406,1093760,14355,"*","consensus_peak_50_overlaps2,consensus_peak_51_overlaps3,consensus_peak_52_overlaps2",2.333333333,"Promoter (<=1kb)",1,1081823,1092077,10255,2,"54991","ENST00000465822.5",0
"chr1",1116059,1138919,22861,"*","consensus_peak_55_overlaps2,consensus_peak_56_overlaps3,consensus_peak_57_overlaps2,consensus_peak_58_overlaps3,consensus_peak_59_overlaps2",2.4,"Promoter (<=1kb)",1,1137017,1144056,7040,1,"254099","ENST00000416774.1",0
"chr1",1140721,1151841,11121,"*","consensus_peak_62_overlaps2,consensus_peak_63_overlaps3,consensus_peak_64_overlaps2",2.333333333,"Exon (ENST00000416774.1/254099, exon 2 of 3)",1,1137017,1144056,7040,1,"254099","ENST00000416774.1",3704
"chr1",1155546,1185981,30436,"*","consensus_peak_67_overlaps2",2,"Promoter (<=1kb)",1,1173056,1179555,6500,2,"100506376","ENST00000379317.1",0
"chr1",1196427,1201910,5484,"*","consensus_peak_70_overlaps2",2,"3' UTR",1,1203844,1205680,1837,2,"8784","ENST00000486728.5",3770
"chr1",1202815,1216820,14006,"*","consensus_peak_72_overlaps2,consensus_peak_73_overlaps3,consensus_peak_74_overlaps2",2.333333333,"Promoter (<=1kb)",1,1211326,1214153,2828,2,"7293","ENST00000699969.1",0
"chr1",1230005,1248148,18144,"*","consensus_peak_77_overlaps2",2,"Promoter (<=1kb)",1,1232237,1235041,2805,1,"126792","ENST00000379198.5",0
"chr1",1280570,1288231,7662,"*","consensus_peak_80_overlaps2",2,"Promoter (<=1kb)",1,1280588,1292024,11437,1,"6339","ENST00000338555.6",0
"chr1",1290102,1315067,24966,"*","consensus_peak_83_overlaps2,consensus_peak_84_overlaps3,consensus_peak_85_overlaps2,consensus_peak_86_overlaps3,consensus_peak_87_overlaps2,consensus_peak_88_overlaps3,consensus_peak_89_overlaps2",2.428571429,"Promoter (<=1kb)",1,1296110,1296170,61,2,"102465434","ENST00000613751.1",0
"chr1",1324660,1349901,25242,"*","consensus_peak_92_overlaps2,consensus_peak_93_overlaps3,consensus_peak_94_overlaps2,consensus_peak_95_overlaps3,consensus_peak_96_overlaps2",2.4,"Promoter (<=1kb)",1,1339650,1339708,59,2,"102466740","ENST00000616525.1",0
"chr1",1351576,1362272,10697,"*","consensus_peak_100_overlaps3,consensus_peak_101_overlaps2,consensus_peak_102_overlaps3,consensus_peak_103_overlaps2,consensus_peak_99_overlaps2",2.4,"Promoter (<=1kb)",1,1352689,1354264,1576,2,"54587","ENST00000474033.5",0
"chr1",1370866,1373352,2487,"*","consensus_peak_106_overlaps2,consensus_peak_107_overlaps3,consensus_peak_108_overlaps2",2.333333333,"Promoter (1-2kb)",1,1374244,1375144,901,2,"54998","ENST00000489799.1",1792
"chr1",1424206,1445312,21107,"*","consensus_peak_111_overlaps2,consensus_peak_112_overlaps3,consensus_peak_113_overlaps2,consensus_peak_114_overlaps3,consensus_peak_115_overlaps2,consensus_peak_116_overlaps3,consensus_peak_117_overlaps2",2.428571429,"Promoter (<=1kb)",1,1430539,1434573,4035,2,"102724312","ENST00000430109.1",0
"chr1",1593258,1595049,1792,"*","consensus_peak_122_overlaps2,consensus_peak_123_overlaps3,consensus_peak_124_overlaps2",2.333333333,"Distal Intergenic",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",5086
"chr1",1596258,1605528,9271,"*","consensus_peak_127_overlaps2,consensus_peak_128_overlaps3,consensus_peak_129_overlaps2",2.333333333,"Promoter (<=1kb)",1,1600314,1602703,2390,1,"105378586","ENST00000658591.1",0
"chr1",1779051,1781341,2291,"*","consensus_peak_133_overlaps2",2,"Promoter (<=1kb)",1,1751232,1780069,28838,2,"65220","ENST00000378625.5",0
"chr1",1906131,1909516,3386,"*","consensus_peak_138_overlaps2,consensus_peak_139_overlaps3,consensus_peak_140_overlaps2",2.333333333,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-5592
"chr1",1910614,1912047,1434,"*","consensus_peak_143_overlaps2",2,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-3061
"chr1",1913617,1930603,16987,"*","consensus_peak_146_overlaps2,consensus_peak_147_overlaps3,consensus_peak_148_overlaps2",2.333333333,"Promoter (<=1kb)",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",0
"chr1",1937001,1950203,13203,"*","consensus_peak_151_overlaps2,consensus_peak_152_overlaps3,consensus_peak_153_overlaps2",2.333333333,"Exon (ENST00000493964.5/85452, exon 19 of 38)",1,1921957,1927929,5973,2,"85452","ENST00000464311.5",-9072
"chr1",1954245,1971953,17709,"*","consensus_peak_156_overlaps2,consensus_peak_157_overlaps3,consensus_peak_158_overlaps2,consensus_peak_159_overlaps3,consensus_peak_160_overlaps2",2.4,"Promoter (<=1kb)",1,1946348,1960106,13759,2,"85452","ENST00000493316.5",0
"chr1",1972936,1978967,6032,"*","consensus_peak_162_overlaps2,consensus_peak_163_overlaps3,consensus_peak_164_overlaps2",2.333333333,"Exon (ENST00000493964.5/85452, exon 7 of 38)",1,1987962,1990929,2968,2,"85452","ENST00000378590.4",11962
"chr1",1982465,1987474,5010,"*","consensus_peak_167_overlaps2",2,"Exon (ENST00000493964.5/85452, exon 5 of 38)",1,1987962,1990929,2968,2,"85452","ENST00000378590.4",3455
"chr1",2007795,2018904,11110,"*","consensus_peak_170_overlaps2,consensus_peak_171_overlaps3,consensus_peak_172_overlaps2",2.333333333,"Promoter (<=1kb)",1,2013213,2015530,2318,2,"105378589","ENST00000443930.1",0
