"seqnames","start","end","width","strand","Conc","Conc_GFP","Conc_YAF","Fold","p.value","FDR"
"7",151000405,151000805,401,"*",6.19946037130543,6.89845576577332,4.79066495284644,1.87421975912561,2.27064029458447e-14,1.28575134544621e-09
"1",12478413,12478813,401,"*",5.76437802276731,4.27351402869189,6.48176434292912,-1.90550555242777,6.36730213954139e-14,1.28575134544621e-09
"17",61444813,61445213,401,"*",5.59013832987885,6.33074350647597,3.98683890239863,1.99466812419474,6.62963465734871e-14,1.28575134544621e-09
"10",77163951,77164351,401,"*",4.89243323323869,2.7078636020754,5.72432840218489,-2.394991654013,1.38429426588403e-12,1.71996769061292e-08
"17",43456917,43457317,401,"*",5.96970648530593,4.75269757784947,6.62031145760159,-1.64752301955755,1.82697297734233e-12,1.71996769061292e-08
"10",123202511,123202911,401,"*",6.08618676077796,6.74644856926286,4.83337858448568,1.62875113012303,1.99110389051843e-12,1.71996769061292e-08
"8",143945181,143945581,401,"*",5.85990788322292,6.53736867593049,4.54042165262451,1.73009120005301,2.06932966111348e-12,1.71996769061292e-08
"8",139863755,139864155,401,"*",5.44612157652074,6.16820049417895,3.93337193805693,1.82872885586693,1.10958443967488e-11,8.06973023364551e-08
"20",62828204,62828604,401,"*",5.80282287024242,6.49000650089299,4.44386125732505,1.76247529918,1.30526437201027e-11,8.43809907692239e-08
"3",190003549,190003949,401,"*",4.9643258019614,3.1305520477738,5.74628986460475,-2.06520722312993,1.779767795798e-11,9.72006349704247e-08
"19",9940847,9941247,401,"*",6.24871012916039,5.18864921500119,6.85314985412194,-1.46551727188166,1.83769376211659e-11,9.72006349704247e-08
"10",94299449,94299849,401,"*",4.84147223846712,2.84006196555007,5.64902851559433,-2.12747142724883,3.18814930674204e-11,1.47426861693293e-07
"8",143423406,143423806,401,"*",5.58493033010416,6.29636737803681,4.12124456322547,1.83016718277616,3.29405864702625e-11,1.47426861693293e-07
"20",64082088,64082488,401,"*",5.97988637893068,6.64204719669882,4.71990383214228,1.57024776376656,4.45803478735584e-11,1.76273653892846e-07
"6",45327859,45328259,401,"*",4.69069472667882,2.51627553455946,5.52133051597142,-2.25413812201343,4.5445409377345e-11,1.76273653892846e-07
"1",2926792,2927192,401,"*",6.5334248291144,7.17988419195526,5.33144417185158,1.57571047362103,5.85310515717242e-11,2.10796643735619e-07
"17",17379534,17379934,401,"*",5.84984643540018,6.50665010461517,4.60998805533274,1.56573684741845,6.15919518666516e-11,2.10796643735619e-07
"6",154605132,154605532,401,"*",5.85920722631049,6.50027000880018,4.67649468088254,1.63890424473432,7.92373490327359e-11,2.36405192844951e-07
"7",150997157,150997557,401,"*",5.95415193076051,6.56813006559528,4.86343019375028,1.55778632928863,8.00497443262128e-11,2.36405192844951e-07
"5",3527041,3527441,401,"*",4.77658525286833,5.60010951615062,2.65802211344785,2.11571571636457,8.32603640204317e-11,2.36405192844951e-07
"15",60374639,60375039,401,"*",5.25682861580131,3.84578157707885,5.95634588885602,-1.77469592046401,8.91871011984186e-11,2.36405192844951e-07
