Term,P-value,Regulation,Category,Genes,Combined_score,Overlap
regulation of transcription by RNA polymerase II (GO:0006357),0.3351075,Down,GO_Biological_Process_2021,ATF2;EHF;MAML2;MAML1;ZNF292;BACH1;SOX21;ZXDA;ZXDB;NAMPT;CREB3L2;BBX;SUPT20H;HOXA5;RNF111;MEF2A;ZNF18;MED1;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;HCFC2;ZNF14;DKK1;AR;RFX7;RFX4;ZSCAN21;PRKD1;ATF6;ATF3;CGGBP1;ATF4;ZNF397;ZNF155;ZNF396;CTBP2;SHOX2;MYNN;NEDD4L;ZNF22;BAZ2B;GATA3;ZNF24;ZNF25;PRDM16;MYO6;ZSCAN12;CGA;ZNF148;ZSCAN16;PPARGC1A;ZNF268;ZNF267;ZNF146;JUN;JAG1;ZNF383;ZNF382;ZNF260;NR2F1;POU6F2;NR1D2;NR1D1;INO80;PBX1;FOSL2;SOX30;TADA2B;AGO3;AGO4;AGO1;SNAI2;ZNF136;ZNF256;HOXD8;ZNF134;ZNF254;PHF2;GTF2H2C;ZNF251;ZNF490;BHLHE41;ZNF44;EFCAB7;NIPBL;MED13;HEY1;ZNF41;ELOA;TEAD1;ZIK1;ZNF484;BRD2;ZNF362;RIPK2;TCF12;TET2;TET1;BAZ1A;SIRT1;PHF20L1;NCOR2;KAT2B;PLSCR1;ZEB2;NCOR1;MTF2;PAX9;TET3;RARB;ZNF234;RNASEL;ZNF518B;ZNF518A;BCLAF1;ZNF229;PLAGL2;ZNF107;ZNF227;ZNF225;ZNF343;ZNF222;ZNF462;ZNF461;USP9X;STAT2;NR1H4;ELP3;GTF2H5;HIPK2;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;GZF1;ZNF211;ZNF451;CCNT2;ZNF570;RIF1;CCNT1;UBE2D3;ZBTB26;UBE2D1;ZBTB20;RORB;FGF2;DACH1;ZFP30;SALL3;ZNF569;ZNF205;ZNF689;KMT5A;PITX2;ZNF322;ZNF442;ZNF441;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;FOXP1;KAT6A;ZNF319;ZNF439;ERF;ZNF436;PHIP;ZNF677;TOX;ZNF433;ZNF674;DLX1;DLX2;ZNF670;DLX5;TNKS;DLX6;GLIS3;NPAS3;ATXN1;TTC21B;ZKSCAN8;ZKSCAN3;ZNF669;ABL1;ZKSCAN2;ZNF426;ZNF425;ZNF304;ZNF546;ZKSCAN4;SKIL;MAP2K5;AKIRIN2;ZBTB17;ZBTB14;ZBTB10;ESRRG;NFKB1;BCL9;DAB2;BCL6;ZNF419;CDK4;CNOT2;ZFP64;ZNF416;ZNF658;ZNF536;ZNF777;ZNF776;ZNF655;SP140L;ZNF654;OGT;SP9;ZNF773;ZNF772;NFE2L2;RNF10;BMPR2;AKAP8L;PTEN;ZFP82;ZNF408;ZNF649;NCK2;ZNF644;ZNF641;ACTR3;PPP1R12A;CHUK;DNMT3A;VEZF1;ZNF75D;TFDP3;DMRTA1;TRAF6;LCOR;ZNF513;LCORL;ZNF510;ZNF630;HDAC5;CEBPD;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;HDAC8;HDAC9;ZBTB41;LRP6;ZBTB40;IFI16;ZNF629;ZNF627;ZNF746;ZNF625;RBBP8;ZNF623;E2F5;ZNF620;FNIP2;IRX1;SMARCE1;PRRX1;FOXJ2;CDC5L;KLF3;TBX3;KLF7;KLF6;KLF5;ZNF616;ZNF615;KLF9;ZNF614;ZNF613;TRIM37;ZNF853;ZNF610;TNRC6A;TNRC6B;APP;CCNH;JMJD1C;RPS6KA5;EDNRB;ZNF608;ZNF606;SAP130;ZNF724;DPF2;EPC1;ZNF844;TRIM27;SOX9;CCNL1;SOX6;SOX4;SOX5;ACVR1;RUNX1;THAP3;THAP5;ZFPM2;BEX1;TSHZ3;TXK;FOXG1;TWIST1;PIK3R1;ZBTB2;PGBD1;BRIP1;ZNF827;MIER3;PCBP1;DHX36;MIER1;ZBED1;ZNF821;TP53BP1;PATZ1;ZBED3;STAT5B;WWTR1;BCL11A;SMARCA5;PARP15;MED13L;ZBTB6;ZNF816;ID2;ZNF813;ID1;ID4;CREBRF;ID3;RBAK;RCOR3;CSRNP2;TENM2;CSRNP3;CITED1;CITED2;OTUD7B;RSF1;WASL;ZMYM5;AASS;NCOA1;NCOA2;EDN1;ATMIN;IL18;PROX1;PARP9;ZHX1;ZFX;RGMA;TOX3;NFX1;ZNF780A;TLR4;TLR3;RHOQ;YAP1;FOXC1;ZNF3;ZNF8;TRAK1;ARNTL2;PURB;RXRB;HSF2;HDX;ZNF585A;PURG;RTRAF;ARNT2;IFNB1;NFYC;PER2;PER1;NEUROG2;ZFP28;ZNF354B;FOXA1;CRTC3;PRDM4;KDM1B;ZSCAN9;WWC2;ARID4A;ARID4B;NUCKS1;PRDM1;NR3C1;CARF;NR3C2;ZNF81;POGZ;ARID5B;KCTD1;POU3F2;POU3F4;ZNF91;ZNF93;FIZ1;HDGFL3;UBC;TFAP2B;SMAD1;TFAP2C;SMAD4;ECD;HMGA2;ZFHX4;ESR1;SMAD5;BMP5;JMY;PHF14;TCF4;BMPR1B;ZSCAN2;BMPR1A;THRB;LDB1;THRA;HMGB3;NR2E1;CHD2;CHD1;TRPS1;DACT1;TGIF1;KDM6B;KLF10;KLF12;ARID1A;ARID1B;ETV6;KLF17;ELF1;SFPQ;RBL1;CREB1;ELF4;CRY2;IRF2;KDM7A;IRF9;CREB5;KDM3A;CAMK2D;ZNF197;HLF;TAF9;DDX20;MOSPD1;RNF2;ATAD2B;NRIP1;HES1;ZNF286A;ZNF189;IGBP1;TCF7L2;ZNF184;TBX19;ACVR2B;ACVR2A;REST;MEIS1;TEF;LPIN2;RBMX,10.61291,493/2206
ventricular septum morphogenesis (GO:0060412),0.3351075,Down,GO_Biological_Process_2021,ROBO2;ACVR1;SMAD4;BMPR2;CITED2;SOX11;PROX1;ROBO1;HEY1;HES1;SLIT2;ZFPM2;SOX4;BMPR1A,34.15642,14/28
neuron projection morphogenesis (GO:0048812),0.3351075,Down,GO_Biological_Process_2021,APP;NCKAP1;BRSK1;GPM6A;CNTNAP2;NLGN1;TRIO;ROCK1;CTNND2;ATL1;PLPPR4;DOCK7;PTEN;LRP4;WASL;NYAP2;ACTB;ALCAM;SLITRK2;FLRT3;MAP2;BTBD3;EPB41L3;SLITRK6;NRCAM;CTNNA2;DRD2;PAK3;ZNF365;MAP4K4;MEF2A;ANK3;EIF2AK4;S100B;MYO16;SHTN1;KLF7;TAOK3;MAP1B;PARD3;TAOK1;TNIK;SGK1;DBN1;GAS7,16.49296,45/140
regulation of mesenchymal stem cell differentiation (GO:2000739),0.3351075,Down,GO_Biological_Process_2021,PDGFRA;REST;LTBP3;SOX9;SOX6;SOX5,200.9606,6/7
synapse organization (GO:0050808),0.3351075,Down,GO_Biological_Process_2021,APP;GPM6A;NLGN1;CTNND2;ZC4H2;PTEN;LRP4;ARHGAP39;CDH2;SLITRK2;FLRT3;DNER;SLITRK6;NRCAM;APBB2;GPC4;DRD2;LRRC4C;PAK3;GPC6;PPFIA2;CAST;KIRREL3;UNC13B;NLGN4X;RAB39B;PCDHB14;PCDHB13;ANK3;PCDHB11;DKK1;PCDHB10;DNM3;SDK1;PPFIBP1;REST;PCDHB2;NEDD4;PCDHB16;PCDHB9;PDZRN3,16.12889,41/126
extracellular matrix organization (GO:0030198),4.316804e-09,Up,GO_Biological_Process_2021,COL16A1;ITGA2B;ICAM2;SCX;LOXL4;ICAM5;LOXL1;ICAM1;LOXL2;COMP;CAPNS2;CDH1;CREB3L1;CYP1B1;SLC39A8;COL27A1;COL23A1;SERPINF2;P3H2;P3H1;HSPG2;ADAM15;COL4A2;LOX;COL4A4;ADAM12;COL8A2;ADAM8;COL13A1;KLK5;PDGFB;HTRA1;PDGFA;ADAMTS12;NID2;ADAMTS10;KLK7;FBLN5;ADAMTS14;ADAMTS13;SCUBE1;ADAMTS17;SERPINH1;ELANE;COL5A1;P4HA1;P4HA2;COL5A3;ITGA11;COL20A1;COL9A3;COL9A2;TGFBI;ITGB1;COL18A1;ITGAM;ITGB5;LAMC3;ELN;ITGB2;LAMC2;CTSV;ITGAL;MMP25;ADAMTS2;MMP24;SH3PXD2A;ADAMTSL4;CTSK;ADAMTSL2;MMP28;ITGAX;QSOX1;ITGB7;MADCAM1;TIMP1;TPSAB1;ADAMTS9;COL25A1;ITGA3;MMP1;MMP2;MMP3;BGN;MMP9;MMP11;KIF9;MMP14;MMP13;ITGAD;MMP15;COL6A2;COL6A1;MATN1;PECAM1;MMP19;COL6A3;ITGA7;CD47;ITGA5;GAS6;MATN3;PLEC;LAMA5;COL15A1;TMPRSS6;LAMA1;PAPLN;LAMA3;CAPG;THSD4;ACAN;HAS1;SPOCK2;COL26A1;LAMB3;COL3A1;COL7A1;AGRN,67.33998,119/300
external encapsulating structure organization (GO:0045229),2.029025e-07,Up,GO_Biological_Process_2021,ITGB1;COL18A1;COL16A1;ITGAM;ITGB5;LAMC3;ELN;ITGA2B;ITGB2;ICAM2;LAMC2;ICAM5;ITGAL;LOXL1;ICAM1;COMP;TGM1;MMP25;ADAMTS2;MMP24;SH3PXD2A;ADAMTSL4;CDH1;ADAMTSL2;MMP28;ITGAX;SLC39A8;ITGB7;MADCAM1;ADAMTS9;COL27A1;ITGA3;MMP1;MMP2;COL23A1;MMP3;BGN;HSPG2;MMP9;MMP11;MMP14;MMP13;ADAM15;COL4A2;LOX;ITGAD;MMP15;COL4A4;COL6A2;ADAM12;COL6A1;COL8A2;MATN1;PECAM1;MMP19;COL6A3;ITGA7;CD47;ITGA5;MATN3;LAMA5;COL15A1;COL13A1;LAMA1;PAPLN;LAMA3;PDGFB;PDGFA;ADAMTS12;NID2;ADAMTS10;FBLN5;THSD4;ACAN;ADAMTS14;ADAMTS13;SPOCK2;ADAMTS17;LAMB3;HRNR;COL3A1;COL5A1;COL5A3;COL7A1;ITGA11;COL9A3;COL9A2;TGFBI;AGRN,59.3603,89/217
extracellular structure organization (GO:0043062),6.608438e-07,Up,GO_Biological_Process_2021,ITGB1;COL18A1;COL16A1;ITGAM;ITGB5;LAMC3;ELN;ITGA2B;ITGB2;ICAM2;LAMC2;ICAM5;ITGAL;LOXL1;ICAM1;COMP;MMP25;ADAMTS2;MMP24;SH3PXD2A;ADAMTSL4;CDH1;ADAMTSL2;MMP28;ITGAX;SLC39A8;ITGB7;MADCAM1;ADAMTS9;COL27A1;ITGA3;MMP1;MMP2;COL23A1;MMP3;BGN;HSPG2;MMP9;MMP11;MMP14;MMP13;ADAM15;COL4A2;LOX;ITGAD;MMP15;COL4A4;COL6A2;ADAM12;COL6A1;COL8A2;MATN1;PECAM1;MMP19;COL6A3;ITGA7;CD47;ITGA5;MATN3;LAMA5;COL15A1;COL13A1;LAMA1;PAPLN;LAMA3;PDGFB;PDGFA;ADAMTS12;NID2;ADAMTS10;FBLN5;THSD4;ACAN;ADAMTS14;ADAMTS13;SPOCK2;ADAMTS17;LAMB3;COL3A1;COL5A1;COL5A3;COL7A1;ITGA11;COL9A3;COL9A2;TGFBI;AGRN,53.62138,87/216
collagen fibril organization (GO:0030199),0.002881305,Up,GO_Biological_Process_2021,COL18A1;COL15A1;COL16A1;COL13A1;LAMA3;LOXL4;SCX;LAMC2;LOXL1;LOXL2;ADAMTS2;ADAMTS14;SERPINH1;CYP1B1;COL26A1;COL27A1;LAMB3;COL25A1;COL23A1;SERPINF2;P3H2;P3H1;COL3A1;COL4A2;LOX;COL5A1;P4HA1;P4HA2;COL4A4;COL6A2;COL5A3;COL7A1;COL6A1;COL8A2;COL20A1;COL6A3;COL9A3;COL9A2;PLEC,36.98523,39/89
enzyme linked receptor protein signaling pathway (GO:0007167),0.03969289,Up,GO_Biological_Process_2021,EPHB6;RET;PTPRU;FLT1;CSF1;FLT4;SLA;PTPRF;NPPB;BDKRB2;EPHB2;SH2D6;EPHB1;JAK3;EPHB4;PDGFRB;INSRR;NGF;GFRA2;FGR;ZAP70;LCK;TYRO3;LCP2;ROR2;EPHA1;EPHA2;BLK;CSF1R;LTK;GUCY2D;EPHA10;NPR1;SHC1;NPR2;MST1R;NTF4;ERBB3;PTK2B;NTRK1;SRMS;NTRK3;TIE1;TNK1;PILRB;GP6;CD4;AXL;FGFR4;FGFR2;FGFR1,21.04649,51/140
