"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",104557,105107,"YAF_1_peak_2",24,".",3.45139,5.65672,2.4547
"chr1",281061,281601,"YAF_1_peak_3",24,".",3.46158,5.66866,2.45882
"chr1",432793,433470,"YAF_1_peak_4",95,".",5.5782,13.3423,9.50666
"chr1",1651528,1652160,"YAF_1_peak_5",17,".",3.84985,4.71895,1.76382
"chr1",1779991,1780492,"YAF_1_peak_6",44,".",4.94618,8.02628,4.43885
"chr1",2014921,2015453,"YAF_1_peak_7",15,".",3.49723,4.47256,1.58553
"chr1",2653829,2655140,"YAF_1_peak_8",26,".",4.30054,5.9555,2.6905
"chr1",6392007,6392596,"YAF_1_peak_9",20,".",3.92781,5.07896,2.01457
"chr1",8004555,8005442,"YAF_1_peak_10",34,".",4.51941,6.93342,3.47565
"chr1",8026935,8028319,"YAF_1_peak_11",34,".",4.26346,6.80378,3.40888
"chr1",8121438,8122778,"YAF_1_peak_12",21,".",4.05072,5.25051,2.1557
"chr1",8889256,8890640,"YAF_1_peak_13",21,".",4.03019,5.31458,2.19684
"chr1",11158198,11159197,"YAF_1_peak_14",19,".",3.84734,4.9222,1.90424
"chr1",12435571,12436091,"YAF_1_peak_15",17,".",3.33927,4.73184,1.77303
"chr1",12448327,12449292,"YAF_1_peak_16",16,".",3.44699,4.63865,1.676
"chr1",12454204,12454784,"YAF_1_peak_17",17,".",3.42273,4.71529,1.75351
"chr1",12604553,12605369,"YAF_1_peak_18",17,".",3.48757,4.81716,1.78897
"chr1",13246860,13247394,"YAF_1_peak_19",17,".",3.70931,4.72908,1.7256
"chr1",14390842,14392101,"YAF_1_peak_20",14,".",3.6108,4.28285,1.45595
"chr1",14486561,14487188,"YAF_1_peak_21",43,".",4.67099,7.97036,4.37971
"chr1",14671895,14672493,"YAF_1_peak_22",17,".",3.73708,4.70306,1.74063
"chr1",14968441,14969221,"YAF_1_peak_23",18,".",3.76381,4.77151,1.80829
"chr1",15323486,15323993,"YAF_1_peak_24",37,".",4.8558,7.26842,3.7598
"chr1",15703334,15703994,"YAF_1_peak_25",14,".",3.63431,4.31117,1.48032
"chr1",15886168,15886732,"YAF_1_peak_26",14,".",3.62315,4.26823,1.45819
"chr1",16386633,16387402,"YAF_1_peak_27",15,".",3.43833,4.40552,1.52608
"chr1",16613675,16614536,"YAF_1_peak_28",27,".",3.4147,6.14148,2.79683
"chr1",16643201,16644056,"YAF_1_peak_29",41,".",4.40473,7.76906,4.17157
"chr1",17286487,17287688,"YAF_1_peak_30",22,".",3.73116,5.34831,2.22973
"chr1",17715215,17716109,"YAF_1_peak_31",16,".",3.63523,4.56686,1.62802
"chr1",18769698,18770250,"YAF_1_peak_32",16,".",3.64473,4.52501,1.61892
"chr1",19045410,19046307,"YAF_1_peak_33",21,".",3.79043,5.23731,2.11604
"chr1",19430112,19430619,"YAF_1_peak_34",15,".",3.67872,4.38238,1.53039
"chr1",20494565,20495239,"YAF_1_peak_35",16,".",3.18943,4.5005,1.61804
"chr1",20847097,20847817,"YAF_1_peak_36",15,".",3.70251,4.41414,1.55495
"chr1",21324560,21325207,"YAF_1_peak_37",21,".",3.60527,5.21239,2.11344
"chr1",23393508,23394276,"YAF_1_peak_38",20,".",3.81341,5.0709,2.00656
"chr1",23451874,23452478,"YAF_1_peak_39",20,".",3.39866,5.11777,2.04307
"chr1",24364555,24365303,"YAF_1_peak_40",16,".",3.30477,4.64165,1.67706
"chr1",25098388,25099550,"YAF_1_peak_41",19,".",3.57282,4.94427,1.94642
"chr1",25167207,25168051,"YAF_1_peak_42",21,".",3.73678,5.19564,2.10538
"chr1",26350968,26351926,"YAF_1_peak_43",15,".",3.31455,4.39517,1.52136
"chr1",29256664,29257401,"YAF_1_peak_44",18,".",3.60305,4.89307,1.89393
"chr1",29549379,29550393,"YAF_1_peak_45",13,".",3.45744,4.16042,1.3818
"chr1",30492409,30493201,"YAF_1_peak_46",16,".",3.76741,4.49192,1.6162
