"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",146292,146912,"GFP_3_peak_5",25,".",3.31701,4.84405,2.50067
"chr1",171959,172907,"GFP_3_peak_7",35,".",3.28844,6.14324,3.51209
"chr1",206467,207239,"GFP_3_peak_10",39,".",3.17654,6.66083,3.92507
"chr1",356139,358166,"GFP_3_peak_13",24,".",3.04344,4.79293,2.45816
"chr1",413961,414825,"GFP_3_peak_16",19,".",3.41775,4.10777,1.95027
"chr1",432746,434941,"GFP_3_peak_17",376,".",5.5416,41.7614,37.6253
"chr1",451082,451582,"GFP_3_peak_18",21,".",3.45244,4.41676,2.16612
"chr1",458573,459204,"GFP_3_peak_19",16,".",3.19436,3.72178,1.68711
"chr1",487196,488465,"GFP_3_peak_20",49,".",3.46036,7.83329,4.96814
"chr1",529045,531481,"GFP_3_peak_21",48,".",3.44831,7.72781,4.81005
"chr1",587700,588540,"GFP_3_peak_22",32,".",3.2778,5.86808,3.27224
"chr1",611638,612423,"GFP_3_peak_26",56,".",3.40626,8.74722,5.60769
"chr1",668416,670004,"GFP_3_peak_28",112,".",4.65656,14.8383,11.2258
"chr1",674794,675493,"GFP_3_peak_29",32,".",3.61811,5.92032,3.29996
"chr1",736853,737572,"GFP_3_peak_30",22,".",3.06407,4.55606,2.24792
"chr1",828823,830311,"GFP_3_peak_34",20,".",3.14217,4.1894,2.00165
"chr1",1371358,1372437,"GFP_3_peak_67",76,".",3.99494,10.6564,7.60464
"chr1",1381888,1382703,"GFP_3_peak_68",30,".",3.39422,5.6233,3.0545
"chr1",1691138,1691773,"GFP_3_peak_85",23,".",3.04764,4.66754,2.34312
"chr1",1696882,1697716,"GFP_3_peak_86",46,".",3.32671,7.6333,4.67877
"chr1",1717775,1718503,"GFP_3_peak_87",15,".",3.10485,3.56155,1.58225
"chr1",2224392,2225136,"GFP_3_peak_114",34,".",3.23022,6.21216,3.48977
"chr1",2652199,2656010,"GFP_3_peak_131",195,".",3.08309,23.0219,19.5469
"chr1",2697424,2697954,"GFP_3_peak_138",161,".",4.02582,20.1222,16.1447
"chr1",2746576,2749043,"GFP_3_peak_139",59,".",3.0946,8.86393,5.95061
"chr1",2849101,2849667,"GFP_3_peak_143",69,".",3.24009,10.092,6.9461
"chr1",2926529,2927305,"GFP_3_peak_145",109,".",3.23046,14.6868,10.984
"chr1",3162898,3163637,"GFP_3_peak_158",58,".",3.00373,8.83038,5.82059
"chr1",3180942,3181909,"GFP_3_peak_161",69,".",3.29767,10.1895,6.90534
"chr1",3250980,3251530,"GFP_3_peak_166",33,".",3.03554,5.96116,3.34227
"chr1",3892010,3892602,"GFP_3_peak_200",20,".",3.27983,4.31555,2.09348
"chr1",4033312,4034125,"GFP_3_peak_207",22,".",3.58143,4.54235,2.2437
"chr1",4077880,4078411,"GFP_3_peak_208",39,".",3.39883,6.60555,3.93359
"chr1",4408379,4409023,"GFP_3_peak_213",17,".",3.09064,3.75976,1.70335
"chr1",4454229,4455165,"GFP_3_peak_214",15,".",3.0331,3.58627,1.59502
"chr1",4632542,4633341,"GFP_3_peak_217",68,".",3.51432,10.0786,6.8846
"chr1",4851620,4852192,"GFP_3_peak_221",17,".",3.15226,3.82604,1.73947
"chr1",5108313,5109102,"GFP_3_peak_224",16,".",3.1924,3.75912,1.68621
"chr1",5194417,5195464,"GFP_3_peak_225",17,".",3.11262,3.7749,1.71037
"chr1",5196475,5197222,"GFP_3_peak_226",26,".",3.69342,5.04951,2.60916
"chr1",5285202,5286133,"GFP_3_peak_229",21,".",3.29239,4.40372,2.16065
"chr1",5318476,5319070,"GFP_3_peak_231",16,".",3.1797,3.70433,1.66705
"chr1",5443536,5444072,"GFP_3_peak_236",34,".",3.38502,6.05916,3.40616
"chr1",5927122,5927829,"GFP_3_peak_250",19,".",3.43911,4.07382,1.90548
"chr1",6108814,6109568,"GFP_3_peak_258",54,".",3.06109,8.44639,5.40548
"chr1",6348799,6349612,"GFP_3_peak_272",55,".",3.3529,8.67445,5.57446
"chr1",6385053,6386133,"GFP_3_peak_273",24,".",3.19475,4.72705,2.41066
"chr1",6519066,6520426,"GFP_3_peak_281",28,".",3.1328,5.39754,2.8906
"chr1",6716163,6717053,"GFP_3_peak_286",23,".",3.02587,4.71223,2.36927
"chr1",6737484,6738718,"GFP_3_peak_287",25,".",3.27495,4.90732,2.5147
"chr1",6802165,6803377,"GFP_3_peak_289",18,".",3.36345,4.04578,1.89565
