"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",123702,124726,"GFP_2_peak_4",18,".",3.35792,4.79008,1.82731
"chr1",432768,434923,"GFP_2_peak_6",249,".",5.45785,29.1356,24.9639
"chr1",439945,440478,"GFP_2_peak_7",15,".",3.30093,4.31533,1.54783
"chr1",458686,459211,"GFP_2_peak_8",36,".",4.48074,7.1037,3.65837
"chr1",487464,488165,"GFP_2_peak_9",17,".",3.13332,4.62758,1.72452
"chr1",586227,587420,"GFP_2_peak_10",20,".",3.39831,5.15482,2.09962
"chr1",668618,669860,"GFP_2_peak_11",37,".",3.7755,7.15264,3.71485
"chr1",693646,694157,"GFP_2_peak_12",19,".",3.38474,5.008,1.98824
"chr1",714675,715711,"GFP_2_peak_13",17,".",3.39416,4.66456,1.74012
"chr1",1030377,1030952,"GFP_2_peak_14",16,".",3.01897,4.52987,1.67212
"chr1",1135414,1136189,"GFP_2_peak_15",19,".",3.1632,5.02307,1.99417
"chr1",1289639,1290394,"GFP_2_peak_16",49,".",3.45579,8.50294,4.99268
"chr1",1780046,1780826,"GFP_2_peak_17",16,".",3.1003,4.5424,1.65375
"chr1",1906307,1907264,"GFP_2_peak_18",15,".",3.01967,4.33711,1.53873
"chr1",2652225,2655447,"GFP_2_peak_20",100,".",3.68653,13.9093,10.0469
"chr1",2747561,2748649,"GFP_2_peak_21",30,".",3.58933,6.28505,3.00337
"chr1",2756498,2757034,"GFP_2_peak_22",45,".",3.38865,8.13984,4.55359
"chr1",2926679,2927193,"GFP_2_peak_24",25,".",3.0332,5.74491,2.5644
"chr1",3181196,3181739,"GFP_2_peak_25",27,".",3.47247,6.04036,2.78163
"chr1",3347904,3348491,"GFP_2_peak_28",23,".",3.13366,5.42924,2.32589
"chr1",5115506,5116322,"GFP_2_peak_29",35,".",4.28841,7.00566,3.52091
"chr1",6518704,6520415,"GFP_2_peak_30",19,".",3.39417,4.92135,1.95789
"chr1",6707569,6708191,"GFP_2_peak_31",24,".",3.80493,5.53977,2.43278
"chr1",6770877,6771736,"GFP_2_peak_32",19,".",3.72292,4.98545,1.98274
"chr1",7136114,7136732,"GFP_2_peak_33",16,".",3.59436,4.59907,1.69132
"chr1",7388987,7390368,"GFP_2_peak_34",16,".",3.15325,4.5127,1.67196
"chr1",7702650,7703196,"GFP_2_peak_35",16,".",3.03181,4.47947,1.64967
"chr1",8182455,8183041,"GFP_2_peak_36",14,".",3.31106,4.14027,1.43755
"chr1",8211800,8212420,"GFP_2_peak_37",23,".",3.77841,5.48258,2.31071
"chr1",8848902,8849461,"GFP_2_peak_38",16,".",3.02837,4.46244,1.63507
"chr1",9127517,9128394,"GFP_2_peak_39",14,".",3.22703,4.18945,1.46791
"chr1",9495191,9495831,"GFP_2_peak_40",28,".",3.85482,6.20694,2.86452
"chr1",9890320,9891195,"GFP_2_peak_42",20,".",3.15551,5.15464,2.09152
"chr1",10889977,10891044,"GFP_2_peak_43",16,".",3.16771,4.50832,1.64242
"chr1",11134376,11134896,"GFP_2_peak_44",16,".",3.47238,4.55496,1.6608
"chr1",11663367,11664009,"GFP_2_peak_45",17,".",3.05531,4.58413,1.72319
"chr1",12040453,12041671,"GFP_2_peak_47",39,".",3.64602,7.39773,3.9517
"chr1",13281998,13282875,"GFP_2_peak_48",18,".",3.18623,4.83583,1.86791
"chr1",13369376,13370051,"GFP_2_peak_49",17,".",3.51266,4.61908,1.70683
"chr1",13505660,13506202,"GFP_2_peak_50",13,".",3.03903,4.06617,1.38386
"chr1",14168452,14169549,"GFP_2_peak_51",17,".",3.26349,4.61246,1.72011
"chr1",14486493,14488136,"GFP_2_peak_52",17,".",3.13392,4.57109,1.70389
"chr1",14672096,14672931,"GFP_2_peak_53",22,".",3.43139,5.28416,2.23222
"chr1",14737458,14738530,"GFP_2_peak_54",15,".",3.05604,4.42005,1.59532
"chr1",14968442,14969237,"GFP_2_peak_55",18,".",3.58114,4.86264,1.88153
"chr1",14996084,14996688,"GFP_2_peak_56",17,".",3.43948,4.71219,1.79101
"chr1",15261162,15261814,"GFP_2_peak_58",21,".",3.55228,5.29808,2.18921
"chr1",15323508,15324145,"GFP_2_peak_59",49,".",4.4054,8.48741,4.95015
"chr1",16392683,16393596,"GFP_2_peak_63",13,".",3.1576,4.04872,1.37785
"chr1",16565269,16567291,"GFP_2_peak_64",33,".",3.41203,6.69268,3.31157
"chr1",16612800,16614602,"GFP_2_peak_65",26,".",3.03367,5.86937,2.65156
"chr1",16686829,16687340,"GFP_2_peak_68",27,".",3.30534,6.05495,2.77971
"chr1",16796334,16798198,"GFP_2_peak_70",79,".",4.36957,11.8217,7.94036
"chr1",17287129,17287634,"GFP_2_peak_72",44,".",4.23774,8.02218,4.47642
"chr1",18420044,18421135,"GFP_2_peak_74",14,".",3.50095,4.22642,1.4748
"chr1",21398653,21399293,"GFP_2_peak_77",16,".",3.54519,4.4879,1.61296
"chr1",21414885,21415908,"GFP_2_peak_78",14,".",3.0984,4.15413,1.44625
"chr1",22275798,22277018,"GFP_2_peak_79",18,".",3.13174,4.73353,1.80766
"chr1",22452342,22453006,"GFP_2_peak_82",15,".",3.65269,4.35107,1.57244
