"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",37543,38089,"GFP_1_peak_4",87,".",3.02136,12.1002,8.71773
"chr1",46519,47851,"GFP_1_peak_6",26,".",3.13737,5.07924,2.67345
"chr1",69135,69840,"GFP_1_peak_7",27,".",3.41968,5.09272,2.72351
"chr1",122915,123802,"GFP_1_peak_12",25,".",3.60971,4.87889,2.55284
"chr1",159923,161031,"GFP_1_peak_15",16,".",3.04368,3.66489,1.67983
"chr1",349949,350493,"GFP_1_peak_27",18,".",3.03,3.94349,1.85482
"chr1",356049,356567,"GFP_1_peak_28",42,".",3.3272,7.0419,4.22363
"chr1",406313,406976,"GFP_1_peak_31",25,".",3.02508,4.8385,2.50781
"chr1",432758,434933,"GFP_1_peak_32",431,".",5.28934,47.2933,43.1939
"chr1",439909,440478,"GFP_1_peak_33",21,".",3.09688,4.33689,2.13633
"chr1",441466,442071,"GFP_1_peak_34",20,".",3.01142,4.17661,2.02243
"chr1",458573,459216,"GFP_1_peak_35",19,".",3.19791,4.06714,1.94401
"chr1",611570,612157,"GFP_1_peak_44",102,".",4.16256,13.8224,10.2566
"chr1",668438,669862,"GFP_1_peak_46",115,".",4.67343,15.2059,11.5784
"chr1",674707,675567,"GFP_1_peak_47",28,".",3.13184,5.29763,2.8805
"chr1",705829,706759,"GFP_1_peak_49",16,".",3.01871,3.67164,1.66481
"chr1",772050,773314,"GFP_1_peak_52",34,".",3.40263,6.09577,3.47482
"chr1",778775,779418,"GFP_1_peak_53",20,".",3.41368,4.25433,2.07816
"chr1",1371652,1372447,"GFP_1_peak_81",63,".",3.88339,9.35749,6.3437
"chr1",1381673,1382781,"GFP_1_peak_82",45,".",3.71645,7.43823,4.51635
"chr1",1496647,1497462,"GFP_1_peak_87",30,".",3.1182,5.45582,3.01771
"chr1",1658062,1658589,"GFP_1_peak_96",18,".",3.2254,3.96322,1.88304
"chr1",1683220,1684078,"GFP_1_peak_98",21,".",3.0696,4.30448,2.11059
"chr1",1717944,1718444,"GFP_1_peak_100",28,".",3.93378,5.37625,2.89664
"chr1",2697383,2698808,"GFP_1_peak_144",193,".",3.95164,23.2784,19.3383
"chr1",2926539,2927299,"GFP_1_peak_151",134,".",3.32874,17.1339,13.4627
"chr1",3162907,3163683,"GFP_1_peak_163",97,".",3.54294,13.0378,9.70053
"chr1",3181024,3181871,"GFP_1_peak_166",70,".",3.22795,10.3631,7.0118
"chr1",3320111,3321043,"GFP_1_peak_176",50,".",3.12397,7.96885,5.06477
"chr1",3811199,3811713,"GFP_1_peak_197",25,".",3.14407,4.8991,2.56135
"chr1",4033416,4034805,"GFP_1_peak_201",19,".",3.27138,4.07995,1.97635
"chr1",4077275,4078431,"GFP_1_peak_204",42,".",3.22706,6.8625,4.25665
"chr1",4254541,4255331,"GFP_1_peak_207",14,".",3.08962,3.36066,1.4866
"chr1",4395225,4396081,"GFP_1_peak_212",30,".",3.66323,5.52709,3.01493
"chr1",4408555,4409184,"GFP_1_peak_213",16,".",3.01277,3.65445,1.65429
"chr1",4585385,4586477,"GFP_1_peak_217",45,".",3.84602,7.31842,4.51087
"chr1",4632579,4633586,"GFP_1_peak_221",89,".",3.57221,12.3295,8.97059
"chr1",4769453,4770331,"GFP_1_peak_223",26,".",3.10714,5.0296,2.62534
"chr1",4879378,4879880,"GFP_1_peak_227",17,".",3.12825,3.76144,1.75514
"chr1",5008835,5010588,"GFP_1_peak_229",20,".",3.03115,4.12214,2.00494
"chr1",5027392,5027976,"GFP_1_peak_231",19,".",3.46829,4.11355,1.9722
"chr1",5115469,5116481,"GFP_1_peak_233",31,".",3.45077,5.6451,3.13082
"chr1",5164630,5165791,"GFP_1_peak_234",20,".",3.30698,4.19742,2.05547
"chr1",5254294,5255396,"GFP_1_peak_235",23,".",3.37796,4.67256,2.39701
"chr1",5502826,5503617,"GFP_1_peak_245",45,".",3.20046,7.29145,4.51759
"chr1",6199042,6199647,"GFP_1_peak_269",22,".",3.34494,4.48883,2.24224
"chr1",6343399,6343912,"GFP_1_peak_275",52,".",3.6017,8.30498,5.25704
"chr1",6385053,6385811,"GFP_1_peak_276",21,".",3.08337,4.29041,2.10582
"chr1",6682666,6683402,"GFP_1_peak_293",17,".",3.17318,3.72184,1.71779
"chr1",6688806,6689497,"GFP_1_peak_294",17,".",3.24071,3.76891,1.75558
"chr1",6802471,6803858,"GFP_1_peak_296",20,".",3.33282,4.15795,2.02082
"chr1",6810024,6810815,"GFP_1_peak_297",20,".",3.4697,4.27233,2.0909
"chr1",6864100,6864854,"GFP_1_peak_298",17,".",3.29088,3.84731,1.79988
"chr1",7197761,7198644,"GFP_1_peak_310",26,".",3.0829,4.99825,2.67334
"chr1",7207952,7208920,"GFP_1_peak_311",24,".",3.67474,4.72096,2.4111
"chr1",7265783,7267539,"GFP_1_peak_313",31,".",3.56991,5.62294,3.13728
"chr1",7806254,7807258,"GFP_1_peak_329",18,".",3.3809,3.92236,1.84161
"chr1",7829867,7830708,"GFP_1_peak_330",14,".",3.04649,3.32342,1.45655
"chr1",7893476,7894016,"GFP_1_peak_331",20,".",3.14596,4.12724,2.00226
"chr1",7901753,7902912,"GFP_1_peak_332",19,".",3.23705,4.00634,1.90943
"chr1",8004750,8005503,"GFP_1_peak_334",74,".",4.50914,10.7558,7.42849
"chr1",8026805,8027365,"GFP_1_peak_335",168,".",6.49382,20.6043,16.8303
"chr1",8089782,8090590,"GFP_1_peak_336",18,".",3.16276,3.91248,1.84304
"chr1",8463690,8464478,"GFP_1_peak_350",29,".",3.95196,5.41021,2.91145
"chr1",8660422,8661448,"GFP_1_peak_352",17,".",3.02895,3.76144,1.74433
"chr1",8720463,8721160,"GFP_1_peak_353",15,".",3.09614,3.47241,1.53218
"chr1",8726479,8727013,"GFP_1_peak_354",15,".",3.02659,3.43821,1.52981
"chr1",8811176,8812002,"GFP_1_peak_355",31,".",4.11247,5.6584,3.14664
"chr1",9084820,9086173,"GFP_1_peak_364",25,".",3.19508,4.87553,2.55092
"chr1",9120350,9120979,"GFP_1_peak_368",27,".",3.14771,5.21782,2.79715
"chr1",9127615,9128823,"GFP_1_peak_369",53,".",3.88221,8.30518,5.30501
"chr1",9520059,9520919,"GFP_1_peak_394",33,".",3.05135,5.91647,3.32167
"chr1",9539100,9540398,"GFP_1_peak_395",21,".",3.07641,4.32398,2.12547
"chr1",9676483,9677132,"GFP_1_peak_400",29,".",3.00217,5.40424,2.92297
"chr1",9786144,9786999,"GFP_1_peak_403",24,".",3.62116,4.79691,2.48069
"chr1",9792337,9792839,"GFP_1_peak_404",22,".",3.30736,4.4351,2.20222
"chr1",9824514,9825940,"GFP_1_peak_405",31,".",3.17688,5.72583,3.19864
"chr1",9881793,9882334,"GFP_1_peak_411",106,".",3.2863,14.274,10.6891
"chr1",9894128,9894684,"GFP_1_peak_413",39,".",3.06903,6.69419,3.96649
"chr1",10023351,10024310,"GFP_1_peak_415",18,".",3.15792,3.95177,1.86376
"chr1",10074288,10075781,"GFP_1_peak_418",27,".",3.72697,5.14251,2.72948
"chr1",10117849,10118557,"GFP_1_peak_419",23,".",3.58405,4.62997,2.35021
"chr1",10216564,10218176,"GFP_1_peak_420",20,".",3.45295,4.24256,2.06149
"chr1",10337401,10338237,"GFP_1_peak_421",24,".",3.64856,4.73417,2.41115
"chr1",10398287,10400300,"GFP_1_peak_422",28,".",3.07304,5.3371,2.89093
"chr1",10527933,10528852,"GFP_1_peak_424",30,".",3.6859,5.55973,3.08036
"chr1",10585713,10586539,"GFP_1_peak_425",18,".",3.46594,3.99208,1.87884
"chr1",10597548,10598257,"GFP_1_peak_426",20,".",3.08851,4.21279,2.06844
"chr1",10788595,10789127,"GFP_1_peak_434",70,".",3.23722,10.1311,7.09047
"chr1",11037847,11039176,"GFP_1_peak_448",33,".",3.13813,6.0206,3.38922
"chr1",11062011,11063507,"GFP_1_peak_450",35,".",3.07869,6.21935,3.58127
"chr1",11134077,11135065,"GFP_1_peak_451",31,".",3.37719,5.71499,3.19928
"chr1",11272649,11273900,"GFP_1_peak_454",19,".",3.04065,4.05704,1.9466
"chr1",11645845,11646682,"GFP_1_peak_470",129,".",3.59617,16.443,12.9341
"chr1",12250719,12251475,"GFP_1_peak_498",17,".",3.08988,3.68978,1.70404
"chr1",12358587,12359569,"GFP_1_peak_499",14,".",3.00035,3.23865,1.40461
"chr1",12380861,12381783,"GFP_1_peak_500",25,".",3.93011,4.91884,2.58071
"chr1",12454123,12454796,"GFP_1_peak_501",31,".",3.85092,5.73304,3.17064
"chr1",12519317,12519887,"GFP_1_peak_505",39,".",4.13437,6.76473,3.98869
"chr1",12540504,12541685,"GFP_1_peak_506",36,".",3.46693,6.27554,3.62187
"chr1",12692360,12693499,"GFP_1_peak_513",24,".",3.39127,4.76681,2.451
"chr1",12809840,12811320,"GFP_1_peak_518",22,".",3.09934,4.4943,2.25512
"chr1",12953250,12953940,"GFP_1_peak_524",27,".",3.81765,5.16893,2.75447
"chr1",13004614,13005360,"GFP_1_peak_525",31,".",3.71163,5.60131,3.1007
"chr1",13123731,13124352,"GFP_1_peak_528",29,".",3.36565,5.35672,2.90954
"chr1",13194893,13195448,"GFP_1_peak_530",35,".",4.22054,6.2227,3.578
"chr1",13224768,13225318,"GFP_1_peak_531",27,".",3.04418,5.1407,2.72182
"chr1",13327521,13328491,"GFP_1_peak_538",63,".",4.44924,9.51584,6.34394
"chr1",13528291,13530175,"GFP_1_peak_542",23,".",3.13994,4.61709,2.3507
"chr1",13665550,13666437,"GFP_1_peak_544",27,".",3.10124,5.14174,2.71628
"chr1",13718361,13719497,"GFP_1_peak_546",25,".",3.09676,4.9784,2.59197
"chr1",13742290,13743200,"GFP_1_peak_548",23,".",3.0656,4.64896,2.35279
"chr1",13883815,13884402,"GFP_1_peak_552",21,".",3.22584,4.30447,2.12768
"chr1",14032231,14033013,"GFP_1_peak_554",16,".",3.00646,3.56533,1.61549
"chr1",14168449,14169747,"GFP_1_peak_560",29,".",3.01135,5.47178,2.99677
"chr1",14227422,14227928,"GFP_1_peak_562",23,".",3.5045,4.65787,2.39843
"chr1",14270198,14271010,"GFP_1_peak_563",22,".",3.47393,4.46957,2.23272
"chr1",14360942,14361451,"GFP_1_peak_567",44,".",4.52534,7.21753,4.43154
"chr1",14366499,14367362,"GFP_1_peak_568",26,".",3.18758,4.9863,2.61538
"chr1",14448134,14448691,"GFP_1_peak_570",36,".",3.68651,6.3354,3.66484
"chr1",14492105,14492887,"GFP_1_peak_572",25,".",3.13669,4.91354,2.57454
"chr1",14542069,14543008,"GFP_1_peak_574",16,".",3.08494,3.68042,1.69488
"chr1",14560819,14561375,"GFP_1_peak_575",20,".",3.29484,4.22553,2.06789
"chr1",14572013,14572737,"GFP_1_peak_576",24,".",3.24417,4.8316,2.49223
"chr1",14599429,14600569,"GFP_1_peak_578",52,".",3.37781,8.18102,5.25182
"chr1",14627274,14627843,"GFP_1_peak_580",42,".",3.71792,7.08596,4.29359
"chr1",14672028,14672865,"GFP_1_peak_584",57,".",3.76895,8.84062,5.71899
"chr1",14968383,14969198,"GFP_1_peak_596",39,".",3.78879,6.73552,3.95411
"chr1",15139867,15140518,"GFP_1_peak_606",37,".",3.31499,6.37146,3.70425
"chr1",15206418,15207661,"GFP_1_peak_611",53,".",3.70136,8.35702,5.3611
"chr1",15323479,15324102,"GFP_1_peak_616",45,".",3.32925,7.20357,4.50382
"chr1",15337358,15338080,"GFP_1_peak_618",31,".",3.23722,5.69423,3.13592
"chr1",15703171,15703954,"GFP_1_peak_627",38,".",3.60459,6.46985,3.81546
"chr1",16236187,16236793,"GFP_1_peak_645",48,".",3.49435,7.71779,4.80149
"chr1",16250997,16251642,"GFP_1_peak_647",19,".",3.08026,4.08825,1.96167
"chr1",16386128,16387496,"GFP_1_peak_648",28,".",3.362,5.2947,2.85318
"chr1",16500883,16501593,"GFP_1_peak_653",62,".",3.94529,9.39315,6.27521
"chr1",16564959,16567351,"GFP_1_peak_658",65,".",3.5113,9.67385,6.5351
"chr1",16666210,16667343,"GFP_1_peak_668",38,".",3.0935,6.56963,3.89676
"chr1",16671538,16673581,"GFP_1_peak_669",76,".",3.23328,10.7764,7.61318
"chr1",16680569,16681097,"GFP_1_peak_670",40,".",3.54394,6.84962,4.08053
"chr1",16727421,16728757,"GFP_1_peak_679",97,".",3.19494,13.0893,9.77267
"chr1",16733884,16734907,"GFP_1_peak_680",72,".",3.1119,10.3394,7.22978
"chr1",16796256,16798256,"GFP_1_peak_687",77,".",3.36365,10.8953,7.74082
"chr1",16895738,16897519,"GFP_1_peak_691",56,".",3.9643,8.57279,5.68299
"chr1",16945498,16946313,"GFP_1_peak_695",74,".",3.3446,10.7652,7.46472
"chr1",17047299,17048075,"GFP_1_peak_700",22,".",3.72086,4.56701,2.28503
"chr1",17059576,17060094,"GFP_1_peak_701",46,".",3.44264,7.52404,4.69339
"chr1",17287069,17287750,"GFP_1_peak_713",59,".",3.31821,8.99008,5.95278
"chr1",17439853,17440469,"GFP_1_peak_721",27,".",3.23456,5.11369,2.71149
"chr1",17460165,17460843,"GFP_1_peak_722",35,".",3.2085,6.22056,3.55092
"chr1",17502231,17502734,"GFP_1_peak_723",55,".",3.72653,8.70436,5.57757
"chr1",17531602,17532217,"GFP_1_peak_726",36,".",3.04473,6.30003,3.63983
"chr1",17749745,17750906,"GFP_1_peak_736",27,".",3.04118,5.13784,2.72427
"chr1",17991808,17992635,"GFP_1_peak_746",22,".",3.06093,4.4757,2.2406
"chr1",18499247,18499960,"GFP_1_peak_760",18,".",3.06592,3.95042,1.88159
"chr1",18505389,18505899,"GFP_1_peak_761",17,".",3.16257,3.82297,1.79313
"chr1",18819699,18821211,"GFP_1_peak_777",66,".",3.11316,9.91498,6.62963
"chr1",18997236,18998450,"GFP_1_peak_783",36,".",3.66533,6.27777,3.67603
"chr1",19140813,19141432,"GFP_1_peak_788",24,".",3.74472,4.809,2.48343
"chr1",19210254,19211314,"GFP_1_peak_789",16,".",3.22897,3.58757,1.60473
"chr1",19407514,19408257,"GFP_1_peak_792",25,".",3.36162,4.88773,2.5352
"chr1",19468672,19469820,"GFP_1_peak_794",22,".",3.14834,4.47404,2.25073
"chr1",19533670,19534241,"GFP_1_peak_795",23,".",3.30885,4.64226,2.35506
"chr1",19704276,19704967,"GFP_1_peak_802",31,".",3.00136,5.59218,3.13423
"chr1",19800962,19801695,"GFP_1_peak_808",34,".",3.10924,6.05375,3.4487
"chr1",19860465,19861344,"GFP_1_peak_809",15,".",3.0362,3.4204,1.52468
"chr1",19877936,19878934,"GFP_1_peak_810",33,".",3.46413,5.96175,3.3423
"chr1",20132686,20133385,"GFP_1_peak_817",18,".",3.31015,3.8694,1.80415
"chr1",20589399,20589973,"GFP_1_peak_844",44,".",3.07821,7.35103,4.44181
"chr1",20618814,20620257,"GFP_1_peak_845",28,".",3.0734,5.31418,2.84418
"chr1",20758778,20760226,"GFP_1_peak_850",15,".",3.06489,3.49629,1.56912
"chr1",20820034,20820828,"GFP_1_peak_851",24,".",3.66906,4.78817,2.46653
"chr1",20990545,20991450,"GFP_1_peak_852",20,".",3.54221,4.20433,2.06083
"chr1",21035458,21036339,"GFP_1_peak_853",16,".",3.18568,3.65679,1.68093
"chr1",21177223,21177780,"GFP_1_peak_854",21,".",3.08305,4.31932,2.12895
"chr1",21349718,21350749,"GFP_1_peak_865",29,".",3.0446,5.40341,2.94541
"chr1",21355835,21356451,"GFP_1_peak_866",29,".",3.37865,5.41235,2.92595
"chr1",21398191,21399241,"GFP_1_peak_869",31,".",3.39893,5.71311,3.19949
"chr1",22024995,22026167,"GFP_1_peak_897",34,".",3.61657,5.95985,3.41918
"chr1",22197060,22198370,"GFP_1_peak_902",23,".",3.09868,4.71068,2.39961
"chr1",22500589,22501452,"GFP_1_peak_916",23,".",3.15737,4.55995,2.32377
"chr1",22942417,22942937,"GFP_1_peak_934",27,".",3.54225,5.23894,2.78946
"chr1",22971384,22972773,"GFP_1_peak_937",35,".",3.20579,6.14884,3.51032
"chr1",23475156,23475747,"GFP_1_peak_952",38,".",3.18541,6.55517,3.82048
"chr1",23618656,23620716,"GFP_1_peak_957",42,".",3.25612,6.90065,4.20707
"chr1",23650563,23651579,"GFP_1_peak_959",38,".",3.15632,6.64348,3.86819
"chr1",23709843,23711336,"GFP_1_peak_962",21,".",3.07275,4.25956,2.10597
"chr1",23837520,23838619,"GFP_1_peak_964",35,".",3.37681,6.1444,3.5404
"chr1",23874516,23875566,"GFP_1_peak_967",24,".",3.1277,4.7005,2.40254
"chr1",23994484,23995329,"GFP_1_peak_971",19,".",3.08387,4.11851,1.98172
"chr1",24022082,24023217,"GFP_1_peak_973",19,".",3.15177,4.07165,1.96037
"chr1",24046588,24047269,"GFP_1_peak_974",24,".",3.61497,4.73313,2.42574
"chr1",24149796,24150877,"GFP_1_peak_979",54,".",3.23322,8.27273,5.42458
"chr1",24236414,24237125,"GFP_1_peak_984",54,".",4.18243,8.42422,5.4174
"chr1",24274729,24275639,"GFP_1_peak_987",29,".",3.28617,5.38988,2.90642
"chr1",24309747,24310397,"GFP_1_peak_988",44,".",3.40592,7.25059,4.41482
"chr1",24501498,24502347,"GFP_1_peak_990",20,".",3.04374,4.21242,2.05915
"chr1",24559195,24559695,"GFP_1_peak_991",52,".",3.56722,8.29866,5.25229
