"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",48242,49281,"YAF_2_peak_5",35,".",3.91415,6.0211,3.51414
"chr1",79071,79606,"YAF_2_peak_7",24,".",3.48745,4.64796,2.45663
"chr1",95826,97000,"YAF_2_peak_9",36,".",3.07969,6.1172,3.6199
"chr1",172148,172907,"YAF_2_peak_12",25,".",3.13029,4.82234,2.58562
"chr1",280115,281775,"YAF_2_peak_17",29,".",3.11482,5.25161,2.92808
"chr1",406354,407012,"YAF_2_peak_19",21,".",3.14683,4.23997,2.15621
"chr1",432758,434928,"YAF_2_peak_20",197,".",5.22964,23.2456,19.7635
"chr1",451022,451582,"YAF_2_peak_21",23,".",3.44457,4.55643,2.38659
"chr1",611519,612390,"YAF_2_peak_28",86,".",4.4927,11.7645,8.61837
"chr1",623283,624586,"YAF_2_peak_29",24,".",3.15151,4.60041,2.43518
"chr1",659279,660248,"YAF_2_peak_30",38,".",4.54132,6.42554,3.8493
"chr1",668542,669994,"YAF_2_peak_31",96,".",4.8009,12.9947,9.65292
"chr1",810965,811739,"YAF_2_peak_35",22,".",3.26172,4.38295,2.27026
"chr1",1030206,1030895,"YAF_2_peak_50",76,".",4.37134,10.6828,7.6271
"chr1",1371797,1372418,"YAF_2_peak_65",32,".",3.18477,5.57827,3.22789
"chr1",1381802,1382750,"YAF_2_peak_66",26,".",3.0681,4.88239,2.65529
"chr1",1594793,1595468,"YAF_2_peak_68",53,".",3.11694,8.26656,5.36172
"chr1",1651381,1651975,"YAF_2_peak_71",29,".",3.55391,5.35006,2.98805
"chr1",1664660,1665198,"YAF_2_peak_72",19,".",3.04193,3.95494,1.9393
"chr1",1697156,1697943,"YAF_2_peak_74",24,".",3.05556,4.66416,2.45556
"chr1",2231017,2232245,"YAF_2_peak_88",35,".",3.1332,5.98171,3.52141
"chr1",2653348,2655442,"YAF_2_peak_100",43,".",3.31281,6.872,4.30218
"chr1",2746562,2748561,"YAF_2_peak_101",31,".",3.94239,5.58445,3.19994
"chr1",2758596,2759667,"YAF_2_peak_102",26,".",3.2219,4.86044,2.60587
"chr1",2851960,2852697,"YAF_2_peak_103",43,".",3.34507,7.10692,4.38565
"chr1",3060216,3061182,"YAF_2_peak_107",36,".",3.28532,6.23389,3.68578
"chr1",3180984,3181923,"YAF_2_peak_109",49,".",3.53456,7.77665,4.94066
"chr1",3811184,3811777,"YAF_2_peak_124",33,".",3.62902,5.77617,3.30709
"chr1",3886329,3887020,"YAF_2_peak_127",22,".",3.32582,4.36914,2.24053
"chr1",4217531,4218101,"YAF_2_peak_133",24,".",3.20059,4.67855,2.46465
"chr1",4262827,4263946,"YAF_2_peak_134",17,".",3.09315,3.6866,1.7624
"chr1",4395356,4396228,"YAF_2_peak_136",28,".",3.45447,5.04861,2.82202
"chr1",4406295,4406904,"YAF_2_peak_137",18,".",3.09,3.77477,1.82106
"chr1",4408379,4409023,"YAF_2_peak_138",19,".",3.15607,3.91633,1.92689
"chr1",4585207,4586319,"YAF_2_peak_139",29,".",3.47243,5.29762,2.95055
"chr1",4602574,4603905,"YAF_2_peak_140",32,".",3.26274,5.75412,3.28955
"chr1",4632649,4633203,"YAF_2_peak_142",35,".",3.15462,6.02098,3.52809
"chr1",4649370,4650842,"YAF_2_peak_143",25,".",3.03714,4.78293,2.57503
"chr1",5267933,5268896,"YAF_2_peak_150",28,".",3.52575,5.21006,2.89801
"chr1",5502917,5504357,"YAF_2_peak_158",35,".",3.32502,6.03759,3.58415
"chr1",5729812,5730615,"YAF_2_peak_162",23,".",3.06536,4.45191,2.30305
"chr1",5811055,5811791,"YAF_2_peak_165",20,".",3.11329,4.07494,2.02868
"chr1",5927035,5928256,"YAF_2_peak_166",16,".",3.00732,3.55351,1.67482
"chr1",5975371,5976148,"YAF_2_peak_168",24,".",3.04028,4.67257,2.4705
"chr1",5993179,5993873,"YAF_2_peak_169",36,".",3.36933,6.26656,3.67189
"chr1",6273021,6273919,"YAF_2_peak_178",51,".",3.23517,7.9966,5.19098
"chr1",6367560,6368193,"YAF_2_peak_181",21,".",3.01378,4.19807,2.1217
"chr1",6378130,6379510,"YAF_2_peak_182",18,".",3.05913,3.84036,1.87171
"chr1",6392202,6392799,"YAF_2_peak_184",38,".",3.34739,6.41834,3.83054
