"chr","start","end","name","score","strand","signalValue","pValue","qValue"
"chr1",79202,79770,"YAF_3_peak_5",23,".",3.27033,4.52147,2.38128
"chr1",122893,123859,"YAF_3_peak_8",46,".",4.00334,7.24756,4.65871
"chr1",371730,372231,"YAF_3_peak_16",26,".",3.10979,4.8846,2.6679
"chr1",402404,402932,"YAF_3_peak_18",55,".",4.04703,8.40744,5.5929
"chr1",432755,434928,"YAF_3_peak_19",206,".",5.20218,24.1484,20.6167
"chr1",439909,440820,"YAF_3_peak_20",28,".",3.47985,5.0975,2.82302
"chr1",450801,451523,"YAF_3_peak_21",25,".",3.36954,4.6734,2.50351
"chr1",502189,502862,"YAF_3_peak_22",37,".",3.18292,6.28574,3.75008
"chr1",611565,612224,"YAF_3_peak_28",54,".",3.85403,8.32818,5.4765
"chr1",668572,670044,"YAF_3_peak_30",49,".",3.67682,7.67211,4.94278
"chr1",674771,675723,"YAF_3_peak_31",35,".",3.53215,6.05103,3.59637
"chr1",685827,686446,"YAF_3_peak_32",22,".",3.00395,4.28359,2.20148
"chr1",1030237,1031148,"YAF_3_peak_43",40,".",3.68359,6.64132,4.06953
"chr1",1381883,1382781,"YAF_3_peak_53",61,".",4.7029,9.07484,6.17402
"chr1",1397938,1398598,"YAF_3_peak_54",18,".",3.00659,3.82682,1.87505
"chr1",1504903,1505587,"YAF_3_peak_55",25,".",3.25669,4.76624,2.55145
"chr1",1594645,1595572,"YAF_3_peak_57",55,".",3.26919,8.41536,5.5413
"chr1",1651383,1652130,"YAF_3_peak_59",57,".",4.45602,8.64414,5.75129
"chr1",1717726,1719107,"YAF_3_peak_61",23,".",3.23517,4.4595,2.33313
"chr1",2014921,2015577,"YAF_3_peak_69",41,".",3.22512,6.63756,4.10384
"chr1",2653674,2655928,"YAF_3_peak_80",58,".",3.67698,8.47101,5.83131
"chr1",2926584,2927322,"YAF_3_peak_85",37,".",3.22439,6.33434,3.79483
"chr1",3181138,3181935,"YAF_3_peak_91",48,".",3.72381,7.60303,4.83613
"chr1",3320110,3321074,"YAF_3_peak_96",55,".",3.79471,8.41118,5.56322
"chr1",3418460,3419873,"YAF_3_peak_100",38,".",3.03203,6.32187,3.8833
"chr1",4231034,4231882,"YAF_3_peak_110",18,".",3.22261,3.73824,1.80258
"chr1",4264923,4265953,"YAF_3_peak_111",17,".",3.05433,3.72853,1.79585
"chr1",4395124,4396870,"YAF_3_peak_113",23,".",3.08906,4.43859,2.30897
"chr1",4649235,4650871,"YAF_3_peak_115",37,".",3.44451,6.1403,3.70464
"chr1",4816415,4817093,"YAF_3_peak_119",16,".",3.13283,3.52704,1.65708
"chr1",4971946,4972573,"YAF_3_peak_121",18,".",3.10821,3.8571,1.88992
"chr1",5027369,5027882,"YAF_3_peak_122",19,".",3.27258,3.8925,1.91659
"chr1",5076722,5077713,"YAF_3_peak_123",21,".",3.42045,4.16954,2.10226
"chr1",5267546,5268145,"YAF_3_peak_125",34,".",3.79906,5.88865,3.42957
"chr1",5312567,5313108,"YAF_3_peak_126",26,".",3.2269,4.92876,2.6906
"chr1",5442983,5444146,"YAF_3_peak_129",28,".",3.30932,5.03513,2.82366
"chr1",5502118,5503240,"YAF_3_peak_130",43,".",3.57493,6.93784,4.35861
"chr1",5757043,5758067,"YAF_3_peak_136",23,".",3.13018,4.51992,2.36189
"chr1",6021641,6022506,"YAF_3_peak_137",37,".",3.27483,6.19156,3.73862
"chr1",6157365,6158333,"YAF_3_peak_139",43,".",3.1392,6.84319,4.31534
"chr1",6343421,6343922,"YAF_3_peak_147",37,".",3.40953,6.2967,3.78489
"chr1",6384894,6386525,"YAF_3_peak_149",23,".",3.10187,4.5229,2.37942
"chr1",6392130,6392778,"YAF_3_peak_150",30,".",3.18505,5.43704,3.08353
"chr1",6491554,6492777,"YAF_3_peak_152",47,".",3.12396,7.47941,4.78158
"chr1",6518714,6520593,"YAF_3_peak_153",37,".",3.01037,6.18655,3.73273
"chr1",6545470,6546181,"YAF_3_peak_154",30,".",3.3623,5.42476,3.08105
"chr1",6702019,6703226,"YAF_3_peak_156",23,".",3.11649,4.52018,2.36599
"chr1",6707670,6708403,"YAF_3_peak_157",21,".",3.00981,4.24978,2.16745
"chr1",6770692,6771413,"YAF_3_peak_158",28,".",3.23387,5.065,2.8228
"chr1",6802493,6803193,"YAF_3_peak_159",31,".",3.60645,5.49585,3.13733
"chr1",6809367,6811080,"YAF_3_peak_160",21,".",3.10852,4.26516,2.18377
"chr1",7135959,7136867,"YAF_3_peak_167",24,".",3.3338,4.58498,2.43304
"chr1",7207875,7208889,"YAF_3_peak_170",24,".",3.30948,4.63855,2.48225
