"seqnames","start","end","width","strand","Conc","Conc_GFP","Conc_YAF","Fold","p.value","FDR"
"11",27916042,27917217,1176,"*",6.46823769473171,4.1606540309736,7.31463193587555,-2.81993494072194,2.60851654010814e-18,5.36493596804041e-14
"9",112028267,112030547,2281,"*",6.53710526436147,4.2415717357663,7.38213940923224,-2.77813785686069,1.12342713133886e-17,1.09751985249347e-13
"8",128075639,128078089,2451,"*",7.52436102005227,6.0668724134969,8.23442226679129,-2.04542957890658,1.82346247171089e-17,1.09751985249347e-13
"2",68971403,68972199,797,"*",6.57442814639905,4.59043400421731,7.37948195214944,-2.53847089440538,2.63230502284157e-17,1.09751985249347e-13
"3",171191602,171192800,1199,"*",6.7094616754101,4.84940508806306,7.4956686878743,-2.42132925345474,2.66815736979985e-17,1.09751985249347e-13
"5",72141058,72142148,1091,"*",6.83050542332275,5.01724389387984,7.60909508974255,-2.39282106408659,3.82005177760376e-17,1.30945008183294e-13
"6",113119818,113122344,2527,"*",6.58595250432629,4.63559295202458,7.38607441870179,-2.49375130245784,5.62960259902177e-17,1.60877269907191e-13
"15",87776318,87777859,1542,"*",7.40102215617904,6.00886006515012,8.09613102357296,-1.96076613926849,6.39838428176194e-17,1.60877269907191e-13
"15",68515254,68516022,769,"*",7.53287071053225,6.16600348812394,8.22196203084896,-1.94071849789547,7.03989609162601e-17,1.60877269907191e-13
"6",53300554,53302152,1599,"*",7.56094061476326,6.21707390290273,8.24444544044381,-1.91593413302889,1.69996439041047e-16,3.49631676175722e-13
"7",116511445,116513018,1574,"*",6.59095550081478,4.74561653169475,7.37479765120027,-2.40032987271071,2.67391140513364e-16,4.99948507903487e-13
"19",9940386,9941378,993,"*",7.63947248514785,6.38448585509039,8.30031217948964,-1.80885012512601,3.59239891924859e-16,6.15707238101549e-13
"17",43456530,43458807,2278,"*",7.99919763198144,6.80713137819376,8.6428917093685,-1.74861414870353,7.26296880131909e-16,1.14905753335946e-12
"7",43693093,43695089,1997,"*",6.80001769492489,5.17602001761296,7.54466516454229,-2.18397755340738,1.67945177048864e-15,2.46723461168856e-12
"10",75530393,75532730,2338,"*",7.52230991960697,6.24484801569209,8.18904778363265,-1.82814966645013,1.97127091242711e-15,2.64273126343146e-12
"7",94643105,94645136,2032,"*",6.19904124679978,3.97877856249037,7.03528673467036,-2.6949263354225,2.19736480760279e-15,2.64273126343146e-12
"11",96278279,96279839,1561,"*",6.39560168496058,4.4749952771328,7.19124940651059,-2.44663103081867,2.20033144594392e-15,2.64273126343146e-12
"11",102551319,102554105,2787,"*",7.08842822461119,5.54478156623993,7.81698674462247,-2.1114948553452,2.31288776884165e-15,2.64273126343146e-12
"7",55132542,55134247,1706,"*",8.93609744328854,8.03927301767663,9.4849605569747,-1.39702255885761,2.59990005014266e-15,2.81432338585705e-12
"10",94298614,94300213,1600,"*",6.69067429732276,5.01480182427124,7.44515412902915,-2.21971702470802,2.74741870448833e-15,2.82530802476058e-12
"6",150723182,150725226,2045,"*",7.51399796272682,6.11599008321996,8.21047905658465,-1.96752789524483,3.48865524802599e-15,3.41672249934051e-12
"3",188272082,188273252,1171,"*",7.23497617061564,5.8640011770426,7.92505362163466,-1.93298468544496,3.65898527548978e-15,3.42065228004538e-12
"3",190003535,190004099,565,"*",6.15905875370542,3.93225970216718,6.99608791368872,-2.69623809038276,4.5396954150975e-15,4.0594745914048e-12
"1",218584548,218586537,1990,"*",6.72277953326719,5.11485034136047,7.46429491573302,-2.16336179480124,6.00035444135512e-15,5.11745655113936e-12
"1",116537302,116539416,2115,"*",7.81395310175771,6.58598072751303,8.46754786553276,-1.78314352743436,6.22047035437759e-15,5.11745655113936e-12
"4",22202390,22203678,1289,"*",5.78593150790973,2.48258212586096,6.71094644041173,-3.32920033079908,9.68734633235152e-15,7.6630635391336e-12
"7",47762916,47763909,994,"*",6.89930595307408,5.3995268527348,7.61861424258794,-2.06083452207892,1.03499331961677e-14,7.88396577946596e-12
"10",59360411,59363477,3067,"*",7.36199536119589,6.06181659070989,8.03457831473288,-1.85668109296444,1.14305788297829e-14,8.39616838543374e-12
"7",94620747,94621653,907,"*",6.22556073446522,4.20962689782782,7.03517762080105,-2.51565692002335,1.31845403604081e-14,9.35056695146601e-12
"6",113351570,113353086,1517,"*",6.20268752905235,4.15116421960815,7.01725498244769,-2.53750258950826,1.36850147317806e-14,9.38198993295107e-12
"2",101751226,101753058,1833,"*",7.15317116691404,5.77144709190683,7.84581268784837,-1.94122167388865,1.43897092757089e-14,9.5468758281776e-12
"5",68343265,68345045,1781,"*",7.44124943587868,6.18534825489691,8.10233140744488,-1.80735982035815,1.50662375106156e-14,9.68335334002597e-12
"2",205754738,205755353,616,"*",6.49996679945657,4.75817328580273,7.26635185700065,-2.2847000160018,1.84626569977123e-14,1.13654946543276e-11
"1",14346047,14347431,1385,"*",6.73367554340376,5.16537563043689,7.46728540132078,-2.12218998941098,1.87886817837866e-14,1.13654946543276e-11
"11",47523307,47524804,1498,"*",6.76222572863115,5.19922848618081,7.49475785316522,-2.12009320284675,2.23197716640983e-14,1.3115735537586e-11
"5",14190104,14190971,868,"*",6.39161229936679,4.59043400421731,7.16818786436112,-2.33073183937925,2.29762316354853e-14,1.31264487790841e-11
"8",58800334,58802224,1891,"*",6.97739996265194,5.58339498115521,7.67294216705113,-1.94611454973884,2.54802863982254e-14,1.41635959554676e-11
"16",65966498,65967976,1479,"*",7.13325864499464,5.8091424855688,7.81187704811454,-1.86509367329294,4.16062339220431e-14,2.25188266598595e-11
"3",188196167,188198585,2419,"*",8.36084144635471,7.40159511014966,8.93195948731814,-1.46653718045187,4.57094643324396e-14,2.41052962288535e-11
"15",55915574,55917297,1724,"*",6.40825172699658,4.65093533994913,7.17734817854407,-2.26950900710104,5.10564669395505e-14,2.62519588886434e-11
"4",54081871,54082833,963,"*",7.13557422945356,5.8271322813828,7.8102548074205,-1.85288530619043,6.2279250272878e-14,3.12413985454215e-11
"16",47572633,47575158,2526,"*",6.88715801783449,5.4749952771328,7.58693351586863,-1.95722351925609,8.69311200370436e-14,4.25693415667113e-11
"16",53744587,53746314,1728,"*",7.48239499005543,6.32214673238576,8.1170481632215,-1.69298622558236,9.16641015389262e-14,4.38431529383976e-11
"10",52453171,52455577,2407,"*",6.74336989465333,5.26698350439421,7.45760409745607,-2.02148767750211,9.67959212401179e-14,4.52454934578524e-11
"14",22780236,22782145,1910,"*",7.12979510897043,5.83465981637612,7.80109033843084,-1.82780188022767,1.86316377502647e-13,8.50185681698099e-11
"17",61444420,61445127,708,"*",6.96586484037756,7.66089042826775,5.57405658655902,1.92691847182809,1.90151900413831e-13,8.50185681698099e-11
"1",58754248,58756018,1771,"*",7.0469739367449,5.63036747151972,7.74777548176567,-1.96361787184409,2.01380121828945e-13,8.81230843756575e-11
"2",12005683,12007353,1671,"*",6.64537917349262,5.14639580239934,7.36451650125452,-2.03172232036089,2.26972299488764e-13,9.72529017413626e-11
"5",159163195,159163895,701,"*",5.80959797986301,3.36819553806155,6.67027908425795,-2.76624922267306,2.33428896856004e-13,9.79782065640295e-11
"1",218459188,218460783,1596,"*",6.47130989187722,4.86844659863474,7.21182914473526,-2.12527611059706,2.69064446507938e-13,1.10417331788337e-10
"6",145147534,145149071,1538,"*",6.5713498736205,4.94768679874039,7.31593254607794,-2.1341611990716,2.73801911859056e-13,1.10417331788337e-10
"11",128334294,128337001,2708,"*",7.70425328881652,6.59218840680135,8.32471638910297,-1.64068371193517,3.01855407057032e-13,1.1938961840273e-10
"8",130649283,130651355,2073,"*",7.11513376874696,5.86477485819261,7.77474453201903,-1.78481087088159,3.15076776382857e-13,1.22267623771061e-10
"20",3994909,3996662,1754,"*",6.19853471807152,4.39256255003387,6.9759117088279,-2.29998933083822,4.41998315577329e-13,1.68344062157017e-10
"5",109865384,109866493,1110,"*",6.3796547306614,4.73294952734866,7.12865799559999,-2.16163053529824,6.61128923760353e-13,2.47226155908712e-10
"4",57022444,57023593,1150,"*",6.02159809649467,4.06754462658211,6.82226812551666,-2.41944471872334,8.43561108647846e-13,3.09812880742147e-10
"5",139014508,139016031,1524,"*",6.17948968823356,4.38232621201715,6.95539167112246,-2.29797351071492,9.00499320449804e-13,3.24922272345458e-10
"1",118143566,118145008,1443,"*",6.78504467030066,5.42652220260856,7.47212195053887,-1.88529878982568,9.99355596343933e-13,3.54317425452091e-10
"1",119373403,119374840,1438,"*",7.54069634494689,6.45482444261015,8.15318334900287,-1.60300685981929,1.01642087332491e-12,3.54317425452091e-10
"7",116587841,116588813,973,"*",6.70754427733586,5.26581245571789,7.41407470708261,-1.98063403944417,1.07185503093447e-12,3.64884606456472e-10
"5",14177613,14179136,1524,"*",6.77882345192639,5.41255865473395,7.46776985821133,-1.90170322979898,1.0822171922908e-12,3.64884606456472e-10
"1",234611741,234613701,1961,"*",6.60929602558899,5.12942218225478,7.32429305570524,-2.01524468477877,1.14911944498621e-12,3.81192574597279e-10
"6",105318212,105319913,1702,"*",6.75579145229352,5.38745345972832,7.445236252783,-1.9000647007331,1.22973338977708e-12,4.01459152818177e-10
"5",35129010,35130630,1621,"*",7.03162574197257,5.7535804304608,7.69851517102855,-1.80259752262307,1.34587204291463e-12,4.3250859854102e-10
"6",45608403,45609891,1489,"*",6.63699709991782,5.22448266482303,7.33685394532028,-1.94132233727659,1.73543601716553e-12,5.45596522358972e-10
"11",124812575,124813609,1035,"*",6.52491458162012,5.00675866330133,7.24813943993451,-2.04684790801402,1.75083242454865e-12,5.45596522358972e-10
"4",106061690,106063140,1451,"*",5.96953105585332,3.97877856249037,6.77556005339748,-2.44176369290431,1.81618436654446e-12,5.57514386070446e-10
"8",125333782,125334678,897,"*",7.28311265462607,6.13681142398559,7.91372126086474,-1.66155989975108,1.90404221049054e-12,5.75888766811161e-10
"3",188672139,188674185,2047,"*",6.51240758737531,5.02002481820232,7.2301223549683,-2.00672572148517,1.98623029508505e-12,5.89575974682341e-10
"12",42790149,42791460,1312,"*",6.1720624785176,4.43436758878422,6.93772588583725,-2.22981055484167,2.02296809186923e-12,5.89575974682341e-10
"3",136955388,136956170,783,"*",6.19499756875778,4.45199236622799,6.96159550868799,-2.22619987013505,2.0434390030069e-12,5.89575974682341e-10
"9",4301556,4302981,1426,"*",6.9464200147766,5.65586629565041,7.61654054507363,-1.82236663008264,2.06396023616126e-12,5.89575974682341e-10
"7",135923768,135925496,1729,"*",6.24832156584922,4.56921305771213,7.00340094982666,-2.17719448355935,2.10809362944113e-12,5.93933721598846e-10
"2",54482549,54483984,1436,"*",7.03346712656712,5.82116057315161,7.68278085036042,-1.73508042134585,2.23387913628425e-12,6.14402102777107e-10
"9",108093743,108094548,806,"*",5.93463679341995,3.85252873602725,6.75334907256616,-2.47527645004123,2.24048999408193e-12,6.14402102777107e-10
"6",17907291,17909136,1846,"*",6.62035458539304,5.20504815033205,7.32085635851889,-1.94338339283423,2.36664209401372e-12,6.40456946678686e-10
"11",57778040,57779743,1704,"*",6.80808085607458,5.30599114591249,7.52788492945238,-2.03739341821741,2.46117584724074e-12,6.5738965779481e-10
"2",174835801,174836898,1098,"*",5.91952703087553,3.76150060851407,6.74810778327846,-2.53824606031838,2.55047540846469e-12,6.66719922242444e-10
"3",189936509,189938390,1882,"*",7.6297966624314,6.46098370711059,8.26690869807893,-1.69771169452036,2.56094101508013e-12,6.66719922242444e-10
"1",84252961,84255107,2147,"*",6.91189885573524,5.63218618986503,7.57922102588581,-1.80069741714953,2.76472637597085e-12,7.06634026348871e-10
"1",169311974,169312991,1018,"*",6.18400259448083,4.4673683196463,6.94591952814763,-2.20751985522878,2.81094635389193e-12,7.06634026348871e-10
"2",19911242,19912577,1336,"*",6.80759357682029,5.40672003041612,7.50474484775724,-1.91087359740437,2.84995391362917e-12,7.06634026348871e-10
"17",35432333,35434771,2439,"*",6.97511010083236,5.74960397631423,7.62803482417474,-1.74792814433862,2.85168591369457e-12,7.06634026348871e-10
"6",124927909,124929472,1564,"*",6.41807108284365,4.89142711053212,7.14308464763661,-2.0467039498954,3.18780041854792e-12,7.80517752479465e-10
"1",115251105,115252260,1156,"*",6.15007978658689,4.38448585509039,6.92060814455209,-2.24111544884419,3.33518457396785e-12,7.86072014779156e-10
"5",56211083,56211734,652,"*",6.30267390361125,4.69252514700964,7.04462441203117,-2.11054200783256,3.34810928392426e-12,7.86072014779156e-10
"6",111477439,111479119,1681,"*",6.06040779661617,4.17008182761681,6.85139154937294,-2.35797142084483,3.35273098289159e-12,7.86072014779156e-10
"5",113058811,113059951,1141,"*",6.9061806375349,5.61065277213599,7.57757630346411,-1.81369155790003,3.36336545439616e-12,7.86072014779156e-10
"8",8610619,8612042,1424,"*",6.47245519705253,4.9680089530312,7.19276391592903,-2.02501379091621,3.46538347062196e-12,8.00815076857099e-10
"5",169296273,169296901,629,"*",6.906447980403,5.57182432461135,7.58767639604302,-1.86287929171051,3.66185382672952e-12,8.2925027688235e-10
"6",85498388,85499515,1128,"*",5.67141315857357,3.27457951456305,6.52749781957547,-2.71710108947282,3.66907060807575e-12,8.2925027688235e-10
"2",229455034,229456643,1610,"*",6.10243583290619,4.24574295605807,6.88810482185708,-2.34058136494385,3.95498614632228e-12,8.84154348602285e-10
"1",115727538,115728305,768,"*",6.27630874419218,4.67099571242539,7.01731022240339,-2.1079145665216,4.23716842938956e-12,9.27769257808791e-10
"8",128390313,128391585,1273,"*",6.81514927882589,5.53484150099165,7.48262575042318,-1.79887128554723,4.24030292381127e-12,9.27769257808791e-10
"15",29697202,29698803,1602,"*",6.11889359127434,4.35778421010141,6.88864737728803,-2.24072371804824,4.74931246204815e-12,1.02820115165205e-09
"4",74428001,74429104,1104,"*",6.18498434087883,4.47702065484365,6.94534002973559,-2.18239670244681,5.0009969371285e-12,1.07141150006169e-09
"10",62071600,62073020,1421,"*",6.49079257915519,5.04072973469448,7.19919572397649,-1.96952251251498,5.13408061245468e-12,1.08858387583872e-09
"10",61923203,61924269,1067,"*",6.77852249426942,5.46634918810106,7.45414536145931,-1.83691689916233,5.23356803495168e-12,1.09835503851889e-09
