## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/3_alignment/GFP_2.sorted.rg.bam] OUTPUT=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/3_alignment/GFP_2.dedup.bam METRICS_FILE=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/3_alignment/qc/GFP_2_dup_metrics.txt REMOVE_DUPLICATES=false OPTICAL_DUPLICATE_PIXEL_DISTANCE=2500 VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 25 10:54:33 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	72549927	0	0	0	57041603	1132276	0.786239	15672822

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000739	5326929	0	5511877
2.0	1.010511	2082843	926494	2029848
3.0	1.010606	1367069	85319	1329067
4.0	1.010607	1068281	9528	1049840
5.0	1.010607	892028	1350	883390
6.0	1.010607	762071	189	757493
7.0	1.010607	653325	30	649817
8.0	1.010607	559786	5	556607
9.0	1.010607	477423	0	473596
10.0	1.010607	406274	0	403062
11.0	1.010607	345514	0	341713
12.0	1.010607	294258	0	290174
13.0	1.010607	248339	0	243991
14.0	1.010607	209709	0	205543
15.0	1.010607	174736	0	170630
16.0	1.010607	144019	0	140447
17.0	1.010607	117667	0	113899
18.0	1.010607	93650	0	89724
19.0	1.010607	73262	0	70208
20.0	1.010607	56898	0	54265
21.0	1.010607	43203	0	40814
22.0	1.010607	32617	0	30579
23.0	1.010607	23764	0	22039
24.0	1.010607	16940	0	15704
25.0	1.010607	11886	0	10980
26.0	1.010607	8438	0	7529
27.0	1.010607	5809	0	5230
28.0	1.010607	3747	0	3346
29.0	1.010607	2480	0	2199
30.0	1.010607	1702	0	1483
31.0	1.010607	1166	0	1027
32.0	1.010607	783	0	678
33.0	1.010607	490	0	449
34.0	1.010607	340	0	311
35.0	1.010607	242	0	187
36.0	1.010607	152	0	136
37.0	1.010607	113	0	108
38.0	1.010607	76	0	60
39.0	1.010607	59	0	65
40.0	1.010607	49	0	47
41.0	1.010607	50	0	35
42.0	1.010607	24	0	24
43.0	1.010607	22	0	20
44.0	1.010607	20	0	15
45.0	1.010607	13	0	11
46.0	1.010607	10	0	12
47.0	1.010607	7	0	8
48.0	1.010607	6	0	5
49.0	1.010607	8	0	8
50.0	1.010607	5	0	5
51.0	1.010607	4	0	2
52.0	1.010607	3	0	2
53.0	1.010607	2	0	2
54.0	1.010607	0	0	0
55.0	1.010607	1	0	2
56.0	1.010607	1	0	2
57.0	1.010607	2	0	1
58.0	1.010607	3	0	2
59.0	1.010607	0	0	0
60.0	1.010607	1	0	1
61.0	1.010607	0	0	1
62.0	1.010607	1	0	0
63.0	1.010607	0	0	0
64.0	1.010607	0	0	0
65.0	1.010607	0	0	0
66.0	1.010607	1	0	1
67.0	1.010607	0	0	0
68.0	1.010607	0	0	1
69.0	1.010607	2	0	1
70.0	1.010607	0	0	0
71.0	1.010607	0	0	0
72.0	1.010607	1	0	1
73.0	1.010607	0	0	0
74.0	1.010607	0	0	0
75.0	1.010607	0	0	0
76.0	1.010607	0	0	0
77.0	1.010607	0	0	0
78.0	1.010607	0	0	0
79.0	1.010607	0	0	0
80.0	1.010607	0	0	0
81.0	1.010607	0	0	0
82.0	1.010607	0	0	0
83.0	1.010607	0	0	0
84.0	1.010607	0	0	0
85.0	1.010607	0	0	0
86.0	1.010607	0	0	0
87.0	1.010607	0	0	0
88.0	1.010607	0	0	0
89.0	1.010607	0	0	0
