"seqnames","start","end","width","strand","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",69135,69840,706,"*",438.187506158263,-2.27533648344754,0.236014279429388,-9.64067296668924,5.38338815254154e-22,3.48095261331489e-17,"Exon (ENST00000641515.2/79501, exon 3 of 3)",1,65419,71585,6167,1,"79501","ENST00000641515.2",3716
"chr1",79071,79770,700,"*",141.137846901787,3.53882043058177,0.415157090583774,8.52405152373926,1.54067040481347e-17,4.98106445228219e-13,"Distal Intergenic",1,65419,71585,6167,1,"79501","ENST00000641515.2",13652
"chr1",171959,172907,949,"*",448.967115173118,-2.22096137847666,0.262549129933602,-8.45922200937528,2.69167177552694e-17,5.80153962257824e-13,"Promoter (<=1kb)",1,146386,173862,27477,2,"124900384","ENST00000466557.6",955
"chr1",529045,531481,2437,"*",189.13093789006,-2.66970863706992,0.338159843086299,-7.89481273915958,2.90751450346036e-15,4.70006988270627e-11,"Distal Intergenic",1,516376,516479,104,2,"124904706","ENST00000614007.1",-12566
"chr1",668416,670044,1629,"*",345.288231227854,-2.08769472924005,0.266819390007023,-7.8243741175823,5.10188750131107e-15,5.49821912870458e-11,"Intron (ENST00000419394.2/81399, intron 3 of 3)",1,685716,686654,939,2,"81399","ENST00000332831.5",16610
"chr1",778775,779418,644,"*",112.875240275064,3.19400891564104,0.407243797131749,7.84298972295392,4.39944009388842e-15,5.49821912870458e-11,"Promoter (<=1kb)",1,778782,782191,3410,1,"105378580","ENST00000457084.1",0
"chr1",810965,811739,775,"*",66.9989747184615,4.51837999840131,0.585692965504612,7.71458812811323,1.21373544734773e-14,1.12116211087074e-10,"Intron (ENST00000635509.2/105378947, intron 1 of 3)",1,817371,819837,2467,1,"400728","ENST00000326734.2",-5632
"chr1",828823,830311,1489,"*",152.781169100106,2.80315818186931,0.36962533133212,7.58378266924186,3.35623174444885e-14,2.71271626034759e-10,"Promoter (1-2kb)",1,827821,852515,24695,1,"643837","ENST00000622921.1",1002
"chr1",1030206,1031148,943,"*",343.805769201849,1.94177933257607,0.261095758557868,7.43703897490048,1.02967178828709e-13,7.39773416693687e-10,"Promoter (2-3kb)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",-2958
"chr1",1135414,1136189,776,"*",92.7940960530619,2.99923253393835,0.408824124104674,7.33624156966441,2.19675370159598e-13,1.42044291098897e-09,"Promoter (<=1kb)",1,1137017,1144056,7040,1,"254099","ENST00000416774.1",-828
"chr1",1289639,1290394,756,"*",292.928350483453,-2.03271110698649,0.279408133618036,-7.27506060995812,3.46264950237296e-13,2.03543981339035e-09,"Promoter (2-3kb)",1,1287109,1290943,3835,1,"6339","ENST00000379099.3",2530
"chr1",1371358,1372447,1090,"*",98.2567820230326,3.13234321661922,0.444387034485041,7.0486827327197,1.80619445124872e-12,9.73252828434946e-09,"Promoter (2-3kb)",1,1374244,1375144,901,2,"54998","ENST00000489799.1",2697
"chr1",1381673,1382781,1109,"*",64.2183589378425,3.79619379884113,0.547712918268671,6.93099189780106,4.17899988884723e-12,2.07860239855962e-08,"Distal Intergenic",1,1386495,1388713,2219,2,"81669","ENST00000463260.5",5932
"chr1",1496647,1497462,816,"*",84.6899905000099,2.92864601821206,0.423249905911698,6.91942508977914,4.53480203314092e-12,2.09446310189232e-08,"3' UTR",1,1503250,1509452,6203,1,"83858","ENST00000641974.1",-5788
"chr1",1504903,1505587,685,"*",177.107268305712,-2.1465512275412,0.312952923865602,-6.85902275980343,6.93331935136881e-12,2.98876908385906e-08,"Promoter (<=1kb)",1,1505671,1509466,3796,1,"83858","ENST00000692936.1",-84
"chr1",1594645,1595572,928,"*",79.413899130176,2.88368964604729,0.428153219477438,6.73518150714092,1.63725421973382e-11,6.61665594388801e-08,"Distal Intergenic",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",4563
"chr1",1651381,1652160,780,"*",81.1326154584211,2.79601863576289,0.415820690289828,6.72409695105373,1.76684765245771e-11,6.65992421959204e-08,"Intron (ENST00000341832.11/984, intron 4 of 19)",1,1641772,1658972,17201,2,"984","ENST00000341028.8",6812
"chr1",1658062,1658589,528,"*",225.961468712435,-1.87653991517293,0.279368187140652,-6.71708519992707,1.85395579951836e-11,6.65992421959204e-08,"Promoter (<=1kb)",1,1641772,1658972,17201,2,"984","ENST00000341028.8",383
"chr1",1664660,1665198,539,"*",50.1654919527897,-4.21981555225202,0.629576786937589,-6.70262252326393,2.0471179882242e-11,6.96677348613501e-08,"3' UTR",1,1663782,1670139,6358,2,"728661","ENST00000480991.1",4941
"chr1",1683220,1684078,859,"*",107.081501771687,2.645570969383,0.398270698458736,6.64264526519543,3.08102753337865e-11,9.96111606678983e-08,"Intron (ENST00000614300.4/728661, intron 2 of 6)",1,1670425,1692709,22285,2,"728661","ENST00000481276.1",8631
"chr1",1696882,1697943,1062,"*",151.580269136024,2.20044637826475,0.331728136128071,6.63328231348824,3.28303020419701e-11,1.01087626682658e-07,"Promoter (1-2kb)",1,1699942,1701782,1841,1,"8511","ENST00000234610.5",-1999
"chr1",1717726,1719107,1382,"*",77.1096303786139,3.86408428262781,0.587185603336244,6.58068634631543,4.68281516769058e-11,1.21118204623216e-07,"Promoter (2-3kb)",1,1702881,1721655,18775,2,"728642","ENST00000356937.7",2548
"chr1",1779991,1780826,836,"*",124.731942866228,2.63756305068106,0.399902369049888,6.59551744328881,4.23775205528372e-11,1.21118204623216e-07,"Promoter (<=1kb)",1,1751232,1780069,28838,2,"65220","ENST00000378625.5",0
"chr1",1906307,1907264,958,"*",262.681751012795,1.91217497667494,0.290337265357824,6.58604734848037,4.51689831453151e-11,1.21118204623216e-07,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-7844
"chr1",2014921,2015577,657,"*",311.360916064348,-1.66002137056668,0.251989482772697,-6.58766132737404,4.4680838472762e-11,1.21118204623216e-07,"Promoter (<=1kb)",1,2013213,2015530,2318,2,"105378589","ENST00000443930.1",0
"chr1",2224392,2225136,745,"*",51.0650725354904,4.58495258336052,0.698624465591464,6.56282854262603,5.27965441707688e-11,1.31302974716388e-07,"Promoter (2-3kb)",1,2227388,2303908,76521,1,"6497","ENST00000704337.1",-2252
"chr1",2231017,2232245,1229,"*",73.3706144082655,2.94852451504258,0.449949550769296,6.55301135427601,5.63882271917251e-11,1.35041450312746e-07,"Promoter (<=1kb)",1,2232479,2303038,70560,1,"6497","ENST00000508416.1",-234
"chr1",2652199,2656010,3812,"*",247.169236391978,2.00287541694012,0.305964020572114,6.54611419079603,5.90534336067342e-11,1.35079174178786e-07,"Intron (ENST00000401095.9/100287898, intron 6 of 8)",1,2590639,2633016,42378,2,"79258","ENST00000378412.8",-19183
"chr1",2758596,2759667,1072,"*",54.8865771863719,3.37603437893508,0.516432403267009,6.53722415088191,6.26710880648856e-11,1.35079174178786e-07,"Intron (ENST00000401095.9/100287898, intron 6 of 8)",1,2768091,2784733,16643,1,"105378598","ENST00000648684.1",-8424
"chr1",2851960,2852697,738,"*",184.72194933592,-2.02044492135327,0.308857343257507,-6.54167681442738,6.0832854402615e-11,1.35079174178786e-07,"Distal Intergenic",1,2814056,2817767,3712,1,"124903825","ENST00000664694.1",37904
"chr1",2926529,2927313,785,"*",207.972460114585,2.15684954339835,0.332085992594263,6.49485251259469,8.31147953987021e-11,1.73364057589531e-07,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-94154
"chr1",3060180,3061182,1003,"*",125.106194252669,2.83698059573742,0.437208000476913,6.48885791806829,8.64894810210006e-11,1.74765510384341e-07,"Promoter (<=1kb)",1,3059617,3061751,2135,2,"124903827","ENST00000413472.5",569
"chr1",3162898,3163683,786,"*",105.187564542747,-2.48045338176807,0.383925991672797,-6.46075919726229,1.0417898480973e-10,2.04130828387331e-07,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",34923
"chr1",3180942,3181935,994,"*",152.637713705427,-2.42077230739574,0.376259372300325,-6.43378606782853,1.24464008872267e-10,2.30355310482316e-07,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",52967
"chr1",3250980,3251530,551,"*",125.388078818936,-2.09838025804687,0.326163978569574,-6.43351318943781,1.24687769550132e-10,2.30355310482316e-07,"Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3244132,3386918,142787,1,"63976","ENST00000463591.1",6848
"chr1",3320110,3321074,965,"*",93.6511424668207,2.38519999941341,0.37125208525107,6.4247450564496,1.3209070749365e-10,2.37253256590192e-07,"Promoter (2-3kb)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",2075
"chr1",3347904,3348491,588,"*",47.3001304387612,5.11907744878295,0.800442077711466,6.39531277943164,1.60219045158981e-10,2.79997937270943e-07,"Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",-24755
"chr1",3418460,3419873,1414,"*",451.541606839526,-2.16653403168705,0.339953336602394,-6.37303358555063,1.85325279828458e-10,3.07264562025332e-07,"Exon (ENST00000511072.5/63976, exon 12 of 16)",1,3424919,3434095,9177,1,"63976","ENST00000378389.5",-5046
"chr1",3811184,3811777,594,"*",36.8509436377131,5.59796804711196,0.878075346628667,6.37527071976809,1.82640038523758e-10,3.07264562025332e-07,"Distal Intergenic",1,3815239,3816458,1220,2,"9731","ENST00000484420.1",4681
"chr1",3886329,3887020,692,"*",304.995273727104,-1.87533717014788,0.29564834542036,-6.34313433238222,2.25136954692107e-10,3.63939515683658e-07,"Promoter (2-3kb)",1,3883507,3885429,1923,1,"1677","ENST00000461150.1",2822
"chr1",4033312,4034805,1494,"*",172.096560234232,2.4402868666702,0.385773884418389,6.3256922389894,2.52099831474917e-10,3.97586029341454e-07,"Distal Intergenic",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-84288
"chr1",4077275,4078431,1157,"*",110.182542805182,2.74978048113565,0.436066630727433,6.30587228504174,2.86575276767023e-10,4.41196285024583e-07,"Distal Intergenic",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-128251
"chr1",4217531,4218101,571,"*",195.310251091511,-1.85810723258134,0.294837566079959,-6.30213869041851,2.93566292558766e-10,4.41448605654473e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-193926
"chr1",4231034,4231882,849,"*",89.2590087730185,2.55418979496326,0.405976549992904,6.29147125617946,3.14471052197014e-10,4.62136652411616e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-180145
"chr1",4254541,4255331,791,"*",66.8961496219513,3.03690196649915,0.484084550540579,6.27349491552216,3.53032461628379e-10,5.07276266696725e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-156696
