"","seqnames","start","end","width","strand","GFP_1","GFP_3","YAF_2","YAF_3"
"1","1",897255,908496,11242,"*",865,851,781,451
"2","1",910202,934091,23890,"*",3395,3072,2091,1174
"3","1",935051,957905,22855,"*",2068,2072,1370,812
"4","1",958810,976630,17821,"*",1644,1489,991,526
"5","1",978117,986822,8706,"*",918,837,554,377
"6","1",992864,1007378,14515,"*",978,993,742,455
"7","1",1013222,1015802,2581,"*",257,250,276,185
"8","1",1016770,1029405,12636,"*",913,922,634,384
"9","1",1031262,1075791,44530,"*",3263,3158,2161,1227
"10","1",1079393,1094040,14648,"*",1284,1236,824,447
"11","1",1115907,1139059,23153,"*",1801,1725,1214,678
"12","1",1140700,1152276,11577,"*",939,926,498,354
"13","1",1155399,1186030,30632,"*",2749,2543,1573,986
"14","1",1196240,1219983,23744,"*",1925,1903,1110,700
"15","1",1229797,1248247,18451,"*",1348,1268,854,480
"16","1",1279478,1288255,8778,"*",856,764,484,304
"17","1",1290088,1315731,25644,"*",2087,2118,1425,883
"18","1",1324578,1350154,25577,"*",1565,1608,1194,695
"19","1",1351545,1362553,11009,"*",893,841,737,440
"20","1",1370865,1375615,4751,"*",242,267,245,144
"21","1",1418146,1446049,27904,"*",2270,2246,1582,866
"22","1",1553941,1555757,1817,"*",78,96,133,79
"23","1",1582677,1584070,1394,"*",124,118,101,54
"24","1",1593136,1595069,1934,"*",176,158,156,126
"25","1",1596245,1605557,9313,"*",914,825,577,402
"26","1",1614339,1615610,1272,"*",61,72,91,70
"27","1",1775868,1783753,7886,"*",322,361,624,363
"28","1",1906116,1909521,3406,"*",250,236,257,142
"29","1",1910597,1912050,1454,"*",114,110,85,64
"30","1",1913410,1930721,17312,"*",1536,1464,977,601
"31","1",1935862,1950208,14347,"*",950,956,736,455
"32","1",1954015,1978984,24970,"*",1818,1843,1459,936
"33","1",1982411,1990356,7946,"*",469,395,302,169
"34","1",2007755,2050094,42340,"*",3377,3206,2337,1632
"35","1",2051235,2058130,6896,"*",417,403,279,200
"36","1",2059309,2063441,4133,"*",293,262,218,135
"37","1",2067186,2078296,11111,"*",691,664,504,313
"38","1",2079593,2117213,37621,"*",2307,2298,1833,1112
"39","1",2124423,2141383,16961,"*",1005,1004,1070,677
"40","1",2141827,2146999,5173,"*",302,315,303,229
"41","1",2156128,2186885,30758,"*",1838,1741,1507,858
"42","1",2189478,2211275,21798,"*",1597,1413,1119,661
"43","1",2224201,2241076,16876,"*",766,793,822,474
"44","1",2286088,2306454,20367,"*",1203,1187,1010,603
"45","1",2308498,2349453,40956,"*",3505,3278,2179,1330
"46","1",2350522,2360793,10272,"*",668,661,557,342
"47","1",2372024,2387327,15304,"*",900,876,970,552
"48","1",2412514,2420914,8401,"*",806,795,591,364
"49","1",2553710,2567959,14250,"*",1259,1200,744,548
"50","1",2580832,2598758,17927,"*",1227,1088,861,535
"51","1",2601878,2613726,11849,"*",790,781,558,337
"52","1",2627927,2635899,7973,"*",416,461,350,191
"53","1",2799580,2811893,12314,"*",861,782,429,297
"54","1",2845322,2848815,3494,"*",195,141,139,89
"55","1",2965827,2976535,10709,"*",588,580,346,202
"56","1",2978274,2985664,7391,"*",506,484,282,161
"57","1",2998112,3006230,8119,"*",520,533,264,194
"58","1",3008857,3045531,36675,"*",2618,2474,1533,1009
"59","1",3060066,3087818,27753,"*",1866,1892,1204,735
"60","1",3168608,3176105,7498,"*",818,758,735,509
"61","1",3211754,3239596,27843,"*",1493,1615,1312,862
"62","1",3301585,3317929,16345,"*",873,926,959,575
"63","1",3319004,3325825,6822,"*",378,434,418,257
"64","1",3345077,3379164,34088,"*",2514,2367,1732,1130
"65","1",3449242,3474971,25730,"*",3079,3133,2558,1554
"66","1",3475866,3486213,10348,"*",1339,1391,1083,677
"67","1",3573067,3582588,9522,"*",693,704,725,438
"68","1",3584047,3626154,42108,"*",3215,3233,3190,1942
"69","1",3666182,3693713,27532,"*",1969,1960,1522,1005
"70","1",3695049,3725398,30350,"*",2163,2216,1512,932
"71","1",3760906,3779989,19084,"*",1253,1262,1030,616
"72","1",3855542,3859997,4456,"*",235,231,251,198
"73","1",3899677,3901691,2015,"*",76,99,137,93
"74","1",3902704,3916981,14278,"*",675,713,804,443
"75","1",4598815,4604580,5766,"*",285,273,324,264
"76","1",5421509,5425866,4358,"*",257,232,374,282
"77","1",5501338,5516762,15425,"*",755,773,861,558
"78","1",5741500,5759878,18379,"*",1003,1068,902,561
"79","1",6012765,6018527,5763,"*",307,334,311,208
"80","1",6089209,6106864,17656,"*",1159,1092,643,413
"81","1",6108400,6113722,5323,"*",373,368,231,157
"82","1",6150624,6174406,23783,"*",1786,1644,1431,930
"83","1",6204771,6214236,9466,"*",636,516,461,296
"84","1",6237872,6283063,45192,"*",3322,3161,2912,1803
"85","1",6342154,6352689,10536,"*",518,511,682,451
"86","1",6410893,6442238,31346,"*",2553,2349,1954,1276
"87","1",6443218,6457808,14591,"*",1033,962,608,394
"88","1",6459369,6477925,18557,"*",972,926,820,515
"89","1",6481049,6493647,12599,"*",760,768,867,573
"90","1",6494669,6514362,19694,"*",1592,1553,1257,751
"91","1",6517382,6520739,3358,"*",186,180,282,244
"92","1",6584305,6589883,5579,"*",282,302,363,245
"93","1",6599099,6603545,4447,"*",196,186,318,236
"94","1",6612735,6613908,1174,"*",64,59,99,49
"95","1",6624111,6626403,2293,"*",68,82,157,94
"96","1",6770688,6772328,1641,"*",63,76,113,105
"97","1",6784674,6786940,2267,"*",82,75,124,94
"98","1",7046380,7054133,7754,"*",440,410,524,333
"99","1",7115879,7124507,8629,"*",348,370,658,536
"100","1",7207239,7209134,1896,"*",47,41,137,71
"101","1",7264104,7268571,4468,"*",122,125,306,232
"102","1",7297805,7304164,6360,"*",146,110,456,320
"103","1",7382057,7391466,9410,"*",412,404,593,387
"104","1",7620365,7654070,33706,"*",1955,1793,2011,1375
"105","1",7655639,7692743,37105,"*",2674,2498,2427,1562
"106","1",7700706,7706407,5702,"*",365,359,453,281
"107","1",7893637,7894783,1147,"*",43,36,102,103
"108","1",8004127,8006806,2680,"*",147,140,273,196
"109","1",8021676,8028687,7012,"*",240,203,649,422
"110","1",8075672,8079381,3710,"*",73,68,302,203
"111","1",8089436,8091763,2328,"*",57,53,198,154
"112","1",8137027,8138310,1284,"*",42,45,146,112
"113","1",8154112,8156973,2862,"*",80,86,226,185
"114","1",8210671,8213738,3068,"*",149,149,240,194
"115","1",8312427,8319311,6885,"*",429,506,510,361
"116","1",8342298,8352484,10187,"*",627,623,759,492
"117","1",8396250,8398972,2723,"*",39,27,214,157
"118","1",8407849,8410561,2713,"*",44,40,168,177
"119","1",8524889,8526721,1833,"*",35,37,174,117
"120","1",8843175,8849828,6654,"*",357,314,506,301
"121","1",8873553,8875871,2319,"*",33,36,169,124
"122","1",8889223,8890617,1395,"*",68,66,155,118
"123","1",8985158,8986986,1829,"*",64,59,173,107
"124","1",9025013,9026567,1555,"*",113,82,115,59
"125","1",9037350,9043569,6220,"*",364,383,295,188
"126","1",9084512,9086327,1816,"*",81,77,147,115
"127","1",9107789,9115295,7507,"*",310,344,399,261
"128","1",9127476,9129476,2001,"*",164,128,157,109
"129","1",9141491,9147228,5738,"*",256,235,362,219
"130","1",9172876,9175404,2529,"*",85,73,96,52
