"","CHR","START","END","GFP_1","GFP_3","YAF_2","YAF_3"
"1",1,897255,908496,865,851,781,451
"2",1,910202,934091,3395,3072,2091,1174
"3",1,935051,957905,2068,2072,1370,812
"4",1,958810,976630,1644,1489,991,526
"5",1,978117,986822,918,837,554,377
"6",1,992864,1007378,978,993,742,455
"7",1,1013222,1015802,257,250,276,185
"8",1,1016770,1029405,913,922,634,384
"9",1,1031262,1075791,3263,3158,2161,1227
"10",1,1079393,1094040,1284,1236,824,447
"11",1,1115907,1139059,1801,1725,1214,678
"12",1,1140700,1152276,939,926,498,354
"13",1,1155399,1186030,2749,2543,1573,986
"14",1,1196240,1219983,1925,1903,1110,700
"15",1,1229797,1248247,1348,1268,854,480
"16",1,1279478,1288255,856,764,484,304
"17",1,1290088,1315731,2087,2118,1425,883
"18",1,1324578,1350154,1565,1608,1194,695
"19",1,1351545,1362553,893,841,737,440
"20",1,1370865,1375615,242,267,245,144
"21",1,1418146,1446049,2270,2246,1582,866
"22",1,1553941,1555757,78,96,133,79
"23",1,1582677,1584070,124,118,101,54
"24",1,1593136,1595069,176,158,156,126
"25",1,1596245,1605557,914,825,577,402
"26",1,1614339,1615610,61,72,91,70
"27",1,1775868,1783753,322,361,624,363
"28",1,1906116,1909521,250,236,257,142
"29",1,1910597,1912050,114,110,85,64
"30",1,1913410,1930721,1536,1464,977,601
"31",1,1935862,1950208,950,956,736,455
"32",1,1954015,1978984,1818,1843,1459,936
"33",1,1982411,1990356,469,395,302,169
"34",1,2007755,2050094,3377,3206,2337,1632
"35",1,2051235,2058130,417,403,279,200
"36",1,2059309,2063441,293,262,218,135
"37",1,2067186,2078296,691,664,504,313
"38",1,2079593,2117213,2307,2298,1833,1112
"39",1,2124423,2141383,1005,1004,1070,677
"40",1,2141827,2146999,302,315,303,229
"41",1,2156128,2186885,1838,1741,1507,858
"42",1,2189478,2211275,1597,1413,1119,661
"43",1,2224201,2241076,766,793,822,474
"44",1,2286088,2306454,1203,1187,1010,603
"45",1,2308498,2349453,3505,3278,2179,1330
"46",1,2350522,2360793,668,661,557,342
"47",1,2372024,2387327,900,876,970,552
"48",1,2412514,2420914,806,795,591,364
"49",1,2553710,2567959,1259,1200,744,548
"50",1,2580832,2598758,1227,1088,861,535
