"CHR","START","END","GFP_1","GFP_3","YAF_2","YAF_3"
"1",897255,908496,865,851,781,451
"1",910202,934091,3395,3072,2091,1174
"1",935051,957905,2068,2072,1370,812
"1",958810,976630,1644,1489,991,526
"1",978117,986822,918,837,554,377
"1",992864,1007378,978,993,742,455
"1",1013222,1015802,257,250,276,185
"1",1016770,1029405,913,922,634,384
"1",1031262,1075791,3263,3158,2161,1227
"1",1079393,1094040,1284,1236,824,447
"1",1115907,1139059,1801,1725,1214,678
"1",1140700,1152276,939,926,498,354
"1",1155399,1186030,2749,2543,1573,986
"1",1196240,1219983,1925,1903,1110,700
"1",1229797,1248247,1348,1268,854,480
"1",1279478,1288255,856,764,484,304
"1",1290088,1315731,2087,2118,1425,883
"1",1324578,1350154,1565,1608,1194,695
"1",1351545,1362553,893,841,737,440
"1",1370865,1375615,242,267,245,144
"1",1418146,1446049,2270,2246,1582,866
"1",1553941,1555757,78,96,133,79
"1",1582677,1584070,124,118,101,54
"1",1593136,1595069,176,158,156,126
"1",1596245,1605557,914,825,577,402
"1",1614339,1615610,61,72,91,70
"1",1775868,1783753,322,361,624,363
"1",1906116,1909521,250,236,257,142
"1",1910597,1912050,114,110,85,64
"1",1913410,1930721,1536,1464,977,601
"1",1935862,1950208,950,956,736,455
"1",1954015,1978984,1818,1843,1459,936
"1",1982411,1990356,469,395,302,169
"1",2007755,2050094,3377,3206,2337,1632
"1",2051235,2058130,417,403,279,200
"1",2059309,2063441,293,262,218,135
"1",2067186,2078296,691,664,504,313
"1",2079593,2117213,2307,2298,1833,1112
"1",2124423,2141383,1005,1004,1070,677
"1",2141827,2146999,302,315,303,229
"1",2156128,2186885,1838,1741,1507,858
"1",2189478,2211275,1597,1413,1119,661
"1",2224201,2241076,766,793,822,474
"1",2286088,2306454,1203,1187,1010,603
"1",2308498,2349453,3505,3278,2179,1330
"1",2350522,2360793,668,661,557,342
"1",2372024,2387327,900,876,970,552
"1",2412514,2420914,806,795,591,364
"1",2553710,2567959,1259,1200,744,548
"1",2580832,2598758,1227,1088,861,535
"1",2601878,2613726,790,781,558,337
"1",2627927,2635899,416,461,350,191
"1",2799580,2811893,861,782,429,297
"1",2845322,2848815,195,141,139,89
"1",2965827,2976535,588,580,346,202
"1",2978274,2985664,506,484,282,161
"1",2998112,3006230,520,533,264,194
"1",3008857,3045531,2618,2474,1533,1009
"1",3060066,3087818,1866,1892,1204,735
"1",3168608,3176105,818,758,735,509
"1",3211754,3239596,1493,1615,1312,862
"1",3301585,3317929,873,926,959,575
"1",3319004,3325825,378,434,418,257
"1",3345077,3379164,2514,2367,1732,1130
"1",3449242,3474971,3079,3133,2558,1554
"1",3475866,3486213,1339,1391,1083,677
"1",3573067,3582588,693,704,725,438
"1",3584047,3626154,3215,3233,3190,1942
"1",3666182,3693713,1969,1960,1522,1005
"1",3695049,3725398,2163,2216,1512,932
"1",3760906,3779989,1253,1262,1030,616
"1",3855542,3859997,235,231,251,198
"1",3899677,3901691,76,99,137,93
"1",3902704,3916981,675,713,804,443
"1",4598815,4604580,285,273,324,264
"1",5421509,5425866,257,232,374,282
"1",5501338,5516762,755,773,861,558
"1",5741500,5759878,1003,1068,902,561
"1",6012765,6018527,307,334,311,208
"1",6089209,6106864,1159,1092,643,413
"1",6108400,6113722,373,368,231,157
"1",6150624,6174406,1786,1644,1431,930
"1",6204771,6214236,636,516,461,296
"1",6237872,6283063,3322,3161,2912,1803
"1",6342154,6352689,518,511,682,451
"1",6410893,6442238,2553,2349,1954,1276
"1",6443218,6457808,1033,962,608,394
"1",6459369,6477925,972,926,820,515
"1",6481049,6493647,760,768,867,573
"1",6494669,6514362,1592,1553,1257,751
"1",6517382,6520739,186,180,282,244
"1",6584305,6589883,282,302,363,245
"1",6599099,6603545,196,186,318,236
"1",6612735,6613908,64,59,99,49
"1",6624111,6626403,68,82,157,94
"1",6770688,6772328,63,76,113,105
"1",6784674,6786940,82,75,124,94
"1",7046380,7054133,440,410,524,333
"1",7115879,7124507,348,370,658,536
"1",7207239,7209134,47,41,137,71
"1",7264104,7268571,122,125,306,232
"1",7297805,7304164,146,110,456,320
"1",7382057,7391466,412,404,593,387
"1",7620365,7654070,1955,1793,2011,1375
"1",7655639,7692743,2674,2498,2427,1562
"1",7700706,7706407,365,359,453,281
"1",7893637,7894783,43,36,102,103
"1",8004127,8006806,147,140,273,196
"1",8021676,8028687,240,203,649,422
"1",8075672,8079381,73,68,302,203
"1",8089436,8091763,57,53,198,154
"1",8137027,8138310,42,45,146,112
"1",8154112,8156973,80,86,226,185
"1",8210671,8213738,149,149,240,194
"1",8312427,8319311,429,506,510,361
"1",8342298,8352484,627,623,759,492
"1",8396250,8398972,39,27,214,157
"1",8407849,8410561,44,40,168,177
"1",8524889,8526721,35,37,174,117
"1",8843175,8849828,357,314,506,301
"1",8873553,8875871,33,36,169,124
"1",8889223,8890617,68,66,155,118
"1",8985158,8986986,64,59,173,107
"1",9025013,9026567,113,82,115,59
"1",9037350,9043569,364,383,295,188
"1",9084512,9086327,81,77,147,115
"1",9107789,9115295,310,344,399,261
"1",9127476,9129476,164,128,157,109
"1",9141491,9147228,256,235,362,219
"1",9172876,9175404,85,73,96,52
"1",9195722,9204677,700,687,706,545
"1",9239586,9245595,281,260,418,312
"1",9274959,9277200,136,163,292,223
"1",9278630,9284496,384,352,633,396
"1",9285464,9297175,530,460,760,463
"1",9300444,9306786,275,274,440,295
"1",9380444,9389263,547,499,767,462
"1",9396919,9403285,322,321,486,303
"1",9409838,9414221,133,107,345,233
"1",9437322,9441923,163,147,330,241
"1",9451853,9457991,310,257,397,251
"1",9470669,9481367,445,399,680,452
"1",9538205,9541014,93,82,167,124
"1",9625850,9632794,510,472,416,302
"1",9662079,9663505,60,74,90,64
"1",9714474,9725423,640,609,606,343
"1",9765837,9768294,55,49,157,142
"1",9822354,9827804,242,259,515,316
"1",9838761,9849913,694,649,713,446
"1",9869601,9887405,1393,1325,1529,1093
"1",9888339,9894952,371,379,560,440
"1",9900266,9911316,529,472,730,514
"1",10063616,10067369,58,48,216,166
"1",10073154,10075790,67,55,265,238
"1",10209812,10212457,62,53,199,159
"1",10398285,10400491,168,136,297,193
"1",10507196,10515214,219,235,494,353
"1",10673558,10693165,1251,1263,920,615
"1",10694758,10730170,2236,2096,1815,1146
"1",10785440,10791803,476,471,481,257
"1",10793316,10801925,532,472,487,320
"1",10822546,10842991,1062,1117,1226,752
"1",10853791,10882024,1636,1566,1367,917
"1",10888510,10892568,230,228,208,121
"1",10896829,10905032,587,492,511,353
"1",10905916,10918795,816,781,741,467
"1",10933303,10951100,1371,1336,1065,699
"1",10978569,10982542,156,165,237,183
"1",11037668,11040129,152,140,170,140
"1",11042172,11047500,329,324,240,178
"1",11052069,11064376,539,532,540,341
"1",11157914,11159185,25,33,84,83
"1",11272662,11273873,71,95,88,67
"1",11514484,11532528,953,864,696,414
"1",11645634,11659026,995,988,949,572
"1",11660075,11665020,279,261,267,163
"1",11687576,11717464,2083,2066,2033,1226
"1",11734550,11756165,1192,1135,1271,905
"1",11760033,11769666,624,588,504,322
"1",11774538,11797904,1259,1199,1149,765
"1",11802241,11807525,204,184,295,215
"1",11835497,11842278,358,303,353,244
"1",11854443,11883965,1545,1420,1436,981
"1",11885375,11895499,576,556,575,369
"1",11918111,11921546,133,109,220,149
"1",11933583,11935358,68,72,140,102
"1",12019158,12020716,75,112,196,111
"1",12027366,12032877,278,290,256,161
"1",12044236,12050279,315,312,314,227
"1",12062988,12066201,158,191,160,133
"1",12117602,12118968,42,39,74,64
"1",12121172,12149177,1620,1516,1550,1088
"1",12160918,12195626,2507,2408,2397,1595
"1",12229896,12231506,65,75,133,88
"1",12432822,12439468,87,84,598,460
"1",12453490,12458946,113,82,533,370
"1",12463787,12465311,37,16,143,96
"1",12475155,12487154,245,287,1191,808
