"gene_id","gene_name","YAF_1","YAF_2","YAF_3","GFP_1","GFP_2","GFP_3","YAF_avg","GFP_avg","log2FC_binding","seqnames","start","end","strand"
"ENSG00000172382.10","PRSS27",57.2422637939453,6.32785911560059,6.52453823523088,0,0,0,23.3648870482589,0,7.8743597055294,"chr16",2712419,2720551,"-"
"ENSG00000102901.13","CENPT",59.5254001617432,0.625958260148764,1.15757974982262,0,0,0,20.4363127239048,0,7.68203336011271,"chr16",67828157,67847811,"-"
"ENSG00000212482.1","RNU6-530P",53.1272815068563,0.682861261069775,4.11583891179827,0,0,0,19.3086605599081,0,7.60055674727727,"chr7",79343266,79343372,"-"
"ENSG00000232096.1","YPEL5P1",41.6261412075588,5.69052082300186,0,0,0,0,15.7722206768535,0,7.3103601790288,"chr1",182182730,182183096,"-"
"ENSG00000258903.2","ENSG00000258903",38.3423175811768,2.73145008087158,0.257239997386932,0,0,0,13.7770025531451,0,7.1165521677257,"chr14",62103122,62117175,"-"
"ENSG00000258904.1","ENSG00000258904",38.3423175811768,2.73145008087158,0.257239997386932,0,0,0,13.7770025531451,0,7.1165521677257,"chr14",100263781,100265405,"+"
"ENSG00000273177.1","ENSG00000273177",38.2961006164551,2.57970333099365,0.257239997386932,0,0,0,13.7110146482786,0,7.10967550316266,"chr3",168928169,168928598,"+"
"ENSG00000288797.1","ENSG00000288797",32.5724620819092,0,6.17375326156616,0,0,0,12.9154051144918,0,7.02407640720806,"chr14",73592139,73595766,"+"
"ENSG00000230821.1","ENSG00000230821",38.6660502751668,0,0,0,0,0,12.8886834250556,0,7.02111139173793,"chr22",22446686,22448336,"+"
"ENSG00000239533.7","GOLGA2P2Y",33.6131056547165,3.38179574693952,1.02895998954773,0,0,0,12.6746204637346,0,6.99713661884589,"chrY",24209567,24215581,"-"
"ENSG00000226535.1","ENSG00000226535",26.9182548522949,5.37535152068505,5.65927441914876,0,0,0,12.6509602640429,0,6.99446208909461,"chr9",107169569,107171148,"-"
"ENSG00000251513.2","LIX1-AS1",33.8559362888336,2.60138135651747,0.661474278994969,0,0,0,12.3729306414487,0,6.96265667059086,"chr5",97089075,97437217,"+"
"ENSG00000250909.1","ENSG00000250909",31.6359004974365,2.18515861034393,3.0868800163269,0,0,0,12.3026463747025,0,6.95450417363795,"chr5",176347941,176353584,"+"
"ENSG00000254815.6","LMNTD2-AS1",33.855932659573,1.13810388105256,0,0,0,0,11.6646788468752,0,6.87831812807222,"chr11",557595,560107,"+"
"ENSG00000240084.1","MTND4LP10",33.11590433783,1.75593072601727,0,0,0,0,11.6239450212824,0,6.87331429750121,"chr3",166160414,166160704,"-"
"ENSG00000287934.1","ENSG00000287934",31.8024005889893,2.6631639957428,0,0,0,0,11.488521528244,0,6.85655270780777,"chr11",67252336,67261545,"-"
"ENSG00000231039.2","ENSG00000231039",30.5952246189117,1.23565502677645,1.9844228880746,0,0,0,11.2717675112543,0,6.82931269919746,"chr10",5234358,5263408,"+"
"ENSG00000132676.16","DAP3",25.8082193374634,4.80532773335775,2.09007500112057,0,0,0,10.9012073573139,0,6.78151805469047,"chr1",155687960,155739010,"+"
"ENSG00000240915.2","ENSG00000240915",31.6359004974365,0,0,0,0,0,10.5453001658122,0,6.73407281984894,"chr8",63013068,63014681,"+"
"ENSG00000258817.1","OR4C13",26.2707112630208,1.33320787549019,2.65814661979675,0,0,0,10.0873552527693,0,6.67063575070416,"chr11",49952391,49953419,"+"
"ENSG00000223169.1","RNA5SP209",13.8198729276657,9.65319453586232,6.37955203056335,0,0,0,9.95087316469713,0,6.65117703005042,"chr6",75865239,75865335,"-"
"ENSG00000134007.5","ADAM20",23.9627906322479,2.4326972044073,1.35969713756016,0,0,0,9.25172832473846,0,6.54716111390945,"chr14",70522358,70535015,"-"
"ENSG00000199373.1","RNA5SP453",19.3614976956294,4.04026874899864,3.36249279975891,0,0,0,8.92141974812899,0,6.49528259071875,"chr18",32176050,32176168,"-"
"ENSG00000148481.14","MINDY3",10.0943375825882,6.77804221047295,9.82656698226929,0,0,0,8.89964892511015,0,6.49179681812061,"chr10",15778170,15860507,"-"
"ENSG00000198954.9","KIFBP",19.2669429779053,2.93511069605225,4.44657500301089,0,0,0,8.88287622565614,0,6.48910555011026,"chr10",68988803,69043544,"+"
"ENSG00000230343.1","ENSG00000230343",26.5713248252869,0,0,0,0,0,8.85710827509562,0,6.48496114072672,"chr2",97034442,97034706,"+"
"ENSG00000263167.1","ENSG00000263167",18.3155072954568,2.3399411469698,5.65927753845851,0,0,0,8.7715753269617,0,6.47111840173616,"chr17",81135771,81136256,"+"
"ENSG00000230342.2","FANCD2P2",23.9845572880336,0.455241670211156,1.54343998432159,0,0,0,8.66107964752212,0,6.45303676221937,"chr3",11859674,11891172,"+"
"ENSG00000215256.6","DHRS4-AS1",18.3155002593994,4.09717573438372,3.08687996864319,0,0,0,8.49985198747544,0,6.42623992461224,"chr14",23938219,24052555,"-"
"ENSG00000170471.15","RALGAPB",19.6683474183083,4.66622499624888,0.771719992160797,0,0,0,8.36876413557265,0,6.4040795443066,"chr20",38472816,38578859,"+"
"ENSG00000253474.2","ENSG00000253474",23.3106498718262,0.796671343346437,0.771719992160797,0,0,0,8.2930137357778,0,6.39111703677446,"chr8",49086301,49229174,"+"
"ENSG00000217776.1","ENSG00000217776",14.6523955821991,2.47243277831324,7.55182137659618,0,0,0,8.22554991236951,0,6.37947366192373,"chr6",87070156,87070461,"-"
"ENSG00000199700.1","RNU6-223P",22.2402718407767,0.630333545116278,1.71493335564931,0,0,0,8.1951795805141,0,6.37420130899348,"chr7",135960703,135960809,"+"
"ENSG00000174827.14","PDZK1",7.61164635419846,7.65003138456656,9.13201257089774,0,0,0,8.13123010322092,0,6.36303614293452,"chr1",145670852,145708148,"-"
"ENSG00000249479.1","ENSG00000249479",42.1811669667562,1.41124841570854,2.31516000628471,0.263182491064072,0,0,15.3025251295831,0.0877274970213572,6.35838309761336,"chr4",156642580,156643569,"+"
"ENSG00000074582.15","BCS1L",19.0555337270101,1.36572443842888,3.85859648386637,0,0,0,8.09328488310178,0,6.35637007354582,"chr2",218658764,218663443,"+"
"ENSG00000184809.13","B3GALT5-AS1",21.8537244796753,1.24798901995708,0.771719992160797,0,0,0,7.95781116393106,0,6.33231609098539,"chr21",39597147,39612910,"-"
"ENSG00000177640.16","CASC2",20.6941283089774,2.30465962861975,0.771719992160797,0,0,0,7.92350264325265,0,6.32616027457231,"chr10",118046279,118210158,"+"
"ENSG00000255483.1","ENSG00000255483",22.4781000614166,1.02429134647052,0,0,0,0,7.83413046929571,0,6.31000021632547,"chr11",107600379,107600868,"-"
"ENSG00000266875.2","RN7SL408P",18.7424384630643,1.82096667587757,2.82963996463352,0,0,0,7.79768170119181,0,6.30335731918529,"chr6",134133573,134133868,"+"
"ENSG00000249368.1","ENSG00000249368",19.4255496263504,2.02013626694679,1.54343998432159,0,0,0,7.66304195920626,0,6.27855018022576,"chr8",15325296,15325569,"+"
