,gene_id,gene_name,gene_id_base,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_diff,dysregulation
0,ENSG00000202198.1,7SK,ENSG00000202198,,,,,,,,Not in differential expression data
1,ENSG00000291076.1,AADACP1,ENSG00000291076,,,,,,,,Not in differential expression data
2,ENSG00000240602.10,AADACP1,ENSG00000240602,,,,,,,,Not in differential expression data
3,ENSG00000087884.16,AAMDC,ENSG00000087884,158.019807382116,0.0643704046183464,0.262469218135905,0.245249348001699,0.806263368639003,0.910883171645166,ENSG00000087884.16,Not significantly dysregulated
4,ENSG00000157426.14,AASDH,ENSG00000157426,1750.73910374931,-0.0097476412197834,0.170721504841478,-0.0570967390946706,0.954468134013176,0.980909180885978,ENSG00000157426.14,Not significantly dysregulated
5,ENSG00000275700.6,AATF,ENSG00000275700,3426.9491261621,0.210474524337385,0.202274002296206,1.04054165116667,0.298088323652483,0.53226039254519,ENSG00000275700.6,Not significantly dysregulated
6,ENSG00000281376.1,ABALON,ENSG00000281376,54.3076151928738,0.741761308179902,0.348447206126281,2.12876239251889,0.0332739238437328,0.115013124776708,ENSG00000281376.1,Not significantly dysregulated
7,ENSG00000165029.17,ABCA1,ENSG00000165029,4000.26100243316,-1.18696876538894,0.144170418795497,-8.23309507807307,1.82437280705736e-16,6.734854654532941e-15,ENSG00000165029.17,Down-regulated
8,ENSG00000251595.7,ABCA11P,ENSG00000251595,391.951106428451,0.0944552498337063,0.193484517390336,0.48817988698885,0.625422429627742,0.806711894204673,ENSG00000251595.7,Not significantly dysregulated
9,ENSG00000179869.15,ABCA13,ENSG00000179869,7191.25004884947,-3.49614077901689,0.469050173413637,-7.45366056166827,9.07853919313389e-14,2.7380992880206797e-12,ENSG00000179869.15,Down-regulated
10,ENSG00000189149.12,ABCA15P,ENSG00000189149,16.7008250334865,-0.467935306211741,0.600740935166222,-0.778930282289262,0.436020784412038,0.662681873429988,ENSG00000189149.12,Not significantly dysregulated
11,ENSG00000154265.16,ABCA5,ENSG00000154265,575.539585064036,0.199131616200993,0.169781535475098,1.17286968599834,0.240848067588054,0.467049600467254,ENSG00000154265.16,Not significantly dysregulated
12,ENSG00000154262.13,ABCA6,ENSG00000154262,27.338390677616,0.0411193972009353,0.552855252122249,0.0743764250101452,0.940710866953304,0.97548545967551,ENSG00000154262.13,Not significantly dysregulated
13,ENSG00000005471.19,ABCB4,ENSG00000005471,23.5591121737561,-1.00765150779358,0.49398257917395,-2.03985231519419,0.0413650373806893,0.135603562733818,ENSG00000005471.19,Not significantly dysregulated
14,ENSG00000197150.13,ABCB8,ENSG00000197150,2641.05206142504,0.49622046754131,0.136260898748717,3.64169378081386,0.0002708501340921,0.0020256692767715,ENSG00000197150.13,Minimally changed
15,ENSG00000114770.17,ABCC5,ENSG00000114770,3624.0243706961,0.530400440034567,0.151720192246768,3.49591199549687,0.0004724444881651,0.0032832757389129,ENSG00000114770.17,Minimally changed
16,ENSG00000117528.14,ABCD3,ENSG00000117528,4060.78237023253,-0.0519924899818089,0.202969889842024,-0.256158635264944,0.797828347488819,0.906792834849053,ENSG00000117528.14,Not significantly dysregulated
17,ENSG00000033050.9,ABCF2,ENSG00000033050,1047.73723750133,-0.160420766417744,0.18605425947659,-0.862225712375739,0.38856332308551,0.621757131604071,ENSG00000033050.9,Not significantly dysregulated
18,ENSG00000285292.1,ABCF2-H2BK1,ENSG00000285292,,,,,,,,Not in differential expression data
19,ENSG00000106077.19,ABHD11,ENSG00000106077,1035.80670629506,-0.0084481756675123,0.163584290325809,-0.0516441746984765,0.958812219963312,0.982560062650641,ENSG00000106077.19,Not significantly dysregulated
