Started analysis of YAF2_R1_trimmed.fastq.gz
Started analysis of YAF2_R2_trimmed.fastq.gz
Approx 5% complete for YAF2_R1_trimmed.fastq.gz
Approx 5% complete for YAF2_R2_trimmed.fastq.gz
Approx 10% complete for YAF2_R1_trimmed.fastq.gz
Approx 10% complete for YAF2_R2_trimmed.fastq.gz
Approx 15% complete for YAF2_R1_trimmed.fastq.gz
Approx 15% complete for YAF2_R2_trimmed.fastq.gz
Approx 20% complete for YAF2_R1_trimmed.fastq.gz
Approx 20% complete for YAF2_R2_trimmed.fastq.gz
Approx 25% complete for YAF2_R1_trimmed.fastq.gz
Approx 25% complete for YAF2_R2_trimmed.fastq.gz
Approx 30% complete for YAF2_R1_trimmed.fastq.gz
Approx 30% complete for YAF2_R2_trimmed.fastq.gz
Approx 35% complete for YAF2_R1_trimmed.fastq.gz
Approx 35% complete for YAF2_R2_trimmed.fastq.gz
Approx 40% complete for YAF2_R1_trimmed.fastq.gz
Approx 40% complete for YAF2_R2_trimmed.fastq.gz
Approx 45% complete for YAF2_R1_trimmed.fastq.gz
Approx 45% complete for YAF2_R2_trimmed.fastq.gz
Approx 50% complete for YAF2_R1_trimmed.fastq.gz
Approx 50% complete for YAF2_R2_trimmed.fastq.gz
Approx 55% complete for YAF2_R1_trimmed.fastq.gz
Approx 55% complete for YAF2_R2_trimmed.fastq.gz
Approx 60% complete for YAF2_R1_trimmed.fastq.gz
Approx 60% complete for YAF2_R2_trimmed.fastq.gz
Approx 65% complete for YAF2_R1_trimmed.fastq.gz
Approx 65% complete for YAF2_R2_trimmed.fastq.gz
Approx 70% complete for YAF2_R1_trimmed.fastq.gz
Approx 70% complete for YAF2_R2_trimmed.fastq.gz
Approx 75% complete for YAF2_R1_trimmed.fastq.gz
Approx 75% complete for YAF2_R2_trimmed.fastq.gz
Approx 80% complete for YAF2_R1_trimmed.fastq.gz
Approx 80% complete for YAF2_R2_trimmed.fastq.gz
Approx 85% complete for YAF2_R1_trimmed.fastq.gz
Approx 85% complete for YAF2_R2_trimmed.fastq.gz
Approx 90% complete for YAF2_R1_trimmed.fastq.gz
Approx 90% complete for YAF2_R2_trimmed.fastq.gz
Approx 95% complete for YAF2_R1_trimmed.fastq.gz
Approx 95% complete for YAF2_R2_trimmed.fastq.gz
