seqnames,start,end,width,strand,Conc,Conc_YAF,Conc_GFP,Fold,p.value,FDR,YAF_1,YAF_2,YAF_3,GFP_1,GFP_2,GFP_3
15,60368597,60378350,9754,*,8.70435241882994,9.35257818658222,7.49599277287811,1.80684663681718,1.76032103600637e-39,2.8630741490125597e-34,614.47,661.59,685.16,166.04,196.75,178.76
10,123196657,123206156,9500,*,8.72399510835093,7.4743325792814,9.38342050916802,-1.81695482989995,4.84523510042723e-39,3.94026631454493e-34,160.07,199.95,173.46,668.97,628.89,705.74
2,205691210,205704960,13751,*,8.22735726622864,8.88364407638398,6.98942178771869,1.83970247932707,8.307876150027241e-38,4.5041150547372696e-33,456.98,491.66,468.34,113.26,138.78,129.16
10,62042248,62053476,11229,*,8.33262394290458,8.97497111477278,7.14535536627914,1.77175591928942,3.1888648620128197e-36,1.2966323137051898e-31,464.73,498.46,546.4,140.13,144.05,140.53
5,88659613,88668871,9259,*,7.55931053072598,8.27244577681088,6.08793029184759,2.08832410264963,2.63451654224505e-34,8.569818860268929e-30,296.91,287.75,342.98,52.79,73.78,77.5
1,12432817,12440298,7482,*,7.79479014781443,8.44422022542536,6.58206066745937,1.80829089801235,1.0715288880107901e-32,2.9046469331752497e-28,325.31,350.62,369,88.3,107.16,91.96
11,122093273,122109520,16248,*,8.5021357274543,9.10442282182678,7.44887758416321,1.59114541825903,7.187248561236599e-32,1.66995720320332e-27,526.69,558.5,566.11,181.4,159.86,182.89
6,158400776,158410510,9735,*,7.82920389754126,8.48925925193569,6.57717298224076,1.80350343966141,1.5126835698033398e-31,3.07538024013329e-27,395.02,317.2,365.84,96.94,91.35,98.16
3,98890440,98896272,5833,*,7.10269034683762,7.81946211434417,5.61466289447083,2.08036966992635,5.501847655462149e-31,9.94275568802934e-27,219.45,216.94,241.27,45.11,49.19,52.7
1,12446862,12458964,12103,*,8.31987000701238,8.92309955554712,7.2636387035792,1.61152532214223,1.1866101147335198e-30,1.92996202110833e-26,477.64,480.33,498.3,150.69,173.91,136.4
8,76675422,76688663,13242,*,8.16154693232416,8.78126161671139,7.05196632307891,1.67116657937859,4.7250700024344696e-30,6.98644555041776e-26,469.89,424.26,425.76,118.05,158.1,121.93
4,41141104,41149586,8483,*,7.16160187740565,7.86051649864549,5.75315456465504,1.9787875426269,2.17681727233126e-29,2.85028368495188e-25,232.36,218.08,246.79,59.51,52.7,49.6
11,35155157,35172150,16994,*,8.43638343701621,9.04307250653882,7.36916874389174,1.61349963441447,2.27819409784343e-29,2.85028368495188e-25,469.89,556.8,555.86,152.61,156.34,187.03
5,88669684,88676424,6741,*,6.96416577987193,7.6912972573441,5.42739279752247,2.10434088839251,1.5751298706141199e-28,1.82990712718595e-24,224.62,192.02,203.42,34.55,43.92,50.63
5,14177070,14187239,10170,*,7.71165774244345,8.33790429935153,6.58020562144844,1.70889546332272,1.98304130481195e-28,2.1502116868076e-24,317.56,325.13,328,86.38,115.94,84.73
