Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GFP-1_R1_paired	51.567427975661666	53.0	149.99999935961915	150	36.36363636363637	85.886392
GFP-1_R2_paired	60.844366294246434	53.0	150.45612327037793	150	36.36363636363637	85.886392
GFP-2_R1_paired	66.94296577161879	48.0	149.99999931769298	150	36.36363636363637	90.868183
GFP-2_R2_paired	78.02571727485591	48.0	150.45521721833043	150	36.36363636363637	90.868183
GFP-3_R1_paired	51.73709484793831	54.0	149.9999991455471	150	36.36363636363637	76.072069
GFP-3_R2_paired	57.13944513024959	53.0	150.45301784154182	150	36.36363636363637	76.072069
GFP_1_R1_paired	49.16458248679682	52.0	141.38110114051375	150	27.27272727272727	85.132423
GFP_1_R2_paired	59.371453688792535	53.0	148.98848325977988	150	36.36363636363637	85.132423
GFP_2_R1_paired	64.36788495356225	47.0	144.67624647694797	150	36.36363636363637	90.00754099999999
GFP_2_R2_paired	76.68974358031201	48.0	149.37951687848022	150	36.36363636363637	90.00754099999999
GFP_3_R1_paired	49.137884650349626	52.0	139.24818469341156	150	27.27272727272727	75.30022799999999
GFP_3_R2_paired	55.47243902370626	53.0	148.77972694850274	150	36.36363636363637	75.30022799999999
YAF-1_R1_paired	71.70919831468211	45.0	149.99999926034124	150	36.36363636363637	90.582312
YAF-1_R2_paired	84.01140901433754	45.0	150.45468700335226	150	36.36363636363637	90.582312
YAF-2_R1_paired	44.40474196053825	55.0	149.99999905214997	150	36.36363636363637	132.932421
YAF-2_R2_paired	47.68395433645486	54.0	150.45028314424516	150	36.36363636363637	132.932421
YAF-3_R1_paired	47.50986809259179	51.0	149.99999942716562	150	27.27272727272727	94.268086
YAF-3_R2_paired	54.05356340631713	50.0	150.45207697332478	150	36.36363636363637	94.268086
YAF_1_R1_paired	69.24709302632056	44.0	142.68794446978404	150	36.36363636363637	89.688324
YAF_1_R2_paired	82.66362768930001	45.0	149.33984487768998	150	36.36363636363637	89.688324
YAF_2_R1_paired	41.943605807407444	51.0	127.58856936113483	127	36.36363636363637	131.961898
YAF_2_R2_paired	46.15349897025756	54.0	148.9532389455326	150	36.36363636363637	131.961898
YAF_3_R1_paired	45.10198088563217	49.0	137.8486167886156	150	27.27272727272727	93.38854599999999
YAF_3_R2_paired	52.47120178326388	50.0	149.03454630292669	150	36.36363636363637	93.38854599999999
