Sample	featurecounts-Assigned	featurecounts-percent_assigned	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
C1	61.792918	38.2439542205527	76.634076	70.03938099999999	91.4	66.56240799999999	86.86	3.4769729999999996						
C1_L001_R1_001									44.51971311017756	47.0	150.0	150	18.181818181818183	78.86220999999999
C1_L001_R2_001									43.07056030324162	47.0	150.0	150	18.181818181818183	78.86220999999999
C1_R1									44.60023282771449	47.0	147.68167600141743	150	18.181818181818183	76.634076
C1_R2									43.630154256262834	47.0	147.3114519251201	150	18.181818181818183	76.634076
C2	47.801477	35.26412128759581	61.296138	54.197063	88.42	50.18815	81.88	4.008913						
C2_L001_R1_001									40.25478222380984	49.0	150.0	150	18.181818181818183	62.815338999999994
C2_L001_R2_001									39.17953975797257	49.0	150.0	150	18.181818181818183	62.815338999999994
C2_R1									40.23643399254876	48.0	147.54422666074004	150	18.181818181818183	61.296138
C2_R2									39.65535971880425	49.0	147.67260602127985	150	18.181818181818183	61.296138
C3	34.327535999999995	35.295476681839396	45.665971	40.569972	88.84	38.081609	83.39	2.488363						
C3_L001_R1_001									35.61195321625516	48.0	150.0	150	18.181818181818183	46.750335
C3_L001_R2_001									34.57483628591757	48.0	150.0	150	18.181818181818183	46.750335
C3_R1									35.60986208832634	47.0	147.25584213461704	150	18.181818181818183	45.665971
C3_R2									34.964847916179394	48.0	147.78371646800196	150	18.181818181818183	45.665971
GFP1	37.965742	37.332929432987555	47.798815999999995	42.138456	88.16	39.405473	82.44	2.732983						
GFP1_L001_R1_001									38.23367413589788	48.0	150.0	150	18.181818181818183	48.966612
GFP1_L001_R2_001									37.05005496629408	48.0	150.0	150	18.181818181818183	48.966612
GFP1_R1									38.27662002258037	48.0	147.69873174264401	150	18.181818181818183	47.798815999999995
GFP1_R2									37.47878951049286	48.0	147.9040262210679	150	18.181818181818183	47.798815999999995
GFP2	38.246950999999996	35.727173476363525	48.577853999999995	42.777049999999996	88.06	39.596897999999996	81.51	3.1801519999999996						
GFP2_L001_R1_001									39.79648914057354	49.0	150.0	150	18.181818181818183	49.700714
GFP2_L001_R2_001									38.90636103045547	49.0	150.0	150	18.181818181818183	49.700714
GFP2_R1									39.7348639599536	49.0	147.7304880120888	150	18.181818181818183	48.577853999999995
GFP2_R2									39.24523313595968	49.0	147.8499697928196	150	18.181818181818183	48.577853999999995
GFP3	28.902583999999997	35.62847209407186	36.919499	33.928986	91.9	31.899908	86.4	2.0290779999999997						
GFP3_L001_R1_001									34.17864527145014	48.0	150.0	150	18.181818181818183	37.80373
GFP3_L001_R2_001									33.14078643248776	48.0	150.0	150	18.181818181818183	37.80373
GFP3_R1									34.17582369570283	47.0	147.95869219406254	150	18.181818181818183	36.919499
GFP3_R2									33.53811446221154	47.0	147.82910515660032	150	18.181818181818183	36.919499
YAF1	52.728069	35.53253118654805	69.529175	60.373889999999996	86.83	56.187867999999995	80.81	4.1860219999999995						
YAF1_L001_R1_001									39.77520318471288	49.0	150.0	150	18.181818181818183	71.534044
YAF1_L001_R2_001									37.99350832569795	49.0	150.0	150	18.181818181818183	71.534044
YAF1_R1									39.80159673756434	49.0	147.50471734347488	150	18.181818181818183	69.529175
YAF1_R2									38.52140449620287	49.0	147.31576822247638	150	18.181818181818183	69.529175
YAF2	51.428864999999995	32.28739555255324	70.67339	62.46376	88.39	57.574383	81.47	4.889377						
YAF2_L001_R1_001									38.21102773703839	50.0	150.0	150	18.181818181818183	72.771812
YAF2_L001_R2_001									36.39980941649005	49.0	150.0	150	18.181818181818183	72.771812
YAF2_R1									38.16270223551093	49.0	147.01764039477942	150	18.181818181818183	70.67339
YAF2_R2									36.936947969542	49.0	147.08346715079043	150	18.181818181818183	70.67339
YAF3	26.411275	23.79165787096435	41.394954	35.182749	84.99000000000001	29.795872	71.98	5.386877						
YAF3_L001_R1_001									42.51009942612004	54.0	150.0	150	18.181818181818183	42.298614
YAF3_L001_R2_001									42.07724652909396	54.0	150.0	150	18.181818181818183	42.298614
YAF3_R1									42.47372466983648	53.0	146.1798638790612	150	18.181818181818183	41.394954
YAF3_R2									42.34283163189906	53.0	147.8073619915123	150	18.181818181818183	41.394954
