.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
C1_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.5	1	0.25
C1_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
C1_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
C1_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
C2_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
C2_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
C2_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
C2_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
C3_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
C3_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
C3_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
C3_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
GFP1_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
GFP1_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
GFP1_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
GFP1_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
GFP2_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
GFP2_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
GFP2_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
GFP2_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
GFP3_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.5	1	0.5
GFP3_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.5	1	0.5
GFP3_R1	1	1	1	1	0.25	0.25	1	0.5	0.5	1	0.5
GFP3_R2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	0.5
YAF1_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
YAF1_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
YAF1_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
YAF1_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
YAF2_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
YAF2_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
YAF2_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
YAF2_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
YAF3_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
YAF3_L001_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
YAF3_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
YAF3_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.25
