,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,rhodopsin mediated signaling pathway (GO:0016056),8/11,0.0025156423572859,0.9999963264057792,0,0,6.934197886647454,41.50274909121699,GNGT1;GRK1;PDE6G;GNB1;RHO;PDE6B;GNAT1;CNGB1
1,GO_Biological_Process_2021,regulation of postsynaptic density organization (GO:1905874),4/5,0.0232074841778435,0.9999963264057792,0,0,10.39524838012959,39.120235089774674,ABI3;CRIPT;LILRB2;LRRC4B
2,GO_Biological_Process_2021,morphogenesis of a polarized epithelium (GO:0001738),7/12,0.0256242837825301,0.9999963264057792,0,0,3.639294075274626,13.335155182565083,RAB10;AHI1;LAMA5;ZDHHC7;CELSR1;ACTB;ACTG1
3,GO_Biological_Process_2021,"phototransduction, visible light (GO:0007603)",8/15,0.0324053699694639,0.9999963264057792,0,0,2.9709757101687937,10.188756587279984,GNGT1;GRK1;PDE6G;GNB1;RHO;PDE6B;GNAT1;CNGB1
4,GO_Biological_Process_2021,regulation of cell-substrate junction assembly (GO:0090109),10/21,0.0418140111891694,0.9999963264057792,0,0,2.3634725634725635,7.502899902690793,CAMSAP3;MACF1;SLK;LIMCH1;ROCK2;PTPRA;GPM6B;VCL;ACTG1;CORO1C
5,GO_Biological_Process_2021,positive regulation of cell-cell adhesion mediated by integrin (GO:0033634),4/6,0.0543302935297919,0.9999963264057792,0,0,5.197264218862491,15.137932804990935,CCL5;PIEZO1;CXCL13;SKAP1
6,GO_Biological_Process_2021,postsynaptic density assembly (GO:0097107),4/6,0.0543302935297919,0.9999963264057792,0,0,5.197264218862491,15.137932804990935,NLGN2;ZDHHC12;NRXN2;SHANK3
7,GO_Biological_Process_2021,regulation of rhodopsin mediated signaling pathway (GO:0022400),11/25,0.060639136215796,0.9999963264057792,0,0,2.042658908941122,5.72519458499709,GRK1;GUCY2D;PDE6G;RHO;NMT1;NMT2;PDE6B;GNAT1;GUCY2F;CAMKMT;CNGB1
8,GO_Biological_Process_2021,regulation of protein localization to cell periphery (GO:1904375),9/20,0.0752193858388938,0.9999963264057792,0,0,2.126742110348668,5.502618310779094,ABCA2;AR;STX7;VPS4A;ZDHHC7;LDLRAP1;GBP1;MISP;ACTB
9,GO_Biological_Process_2021,positive regulation of protein maturation (GO:1903319),6/12,0.0860153237667616,0.9999963264057792,0,0,2.598847677349658,6.375570607411459,ASTL;TFR2;RHBDD1;ANGPTL8;ADAM8;SOX4
10,GO_Biological_Process_2021,"regulation of synaptic transmission, GABAergic (GO:0032228)",7/15,0.0933528075094608,0.9999963264057792,0,0,2.2740860795966142,5.392697992847395,USP46;NLGN2;ZDHHC12;HAP1;SYN3;DRD2;BAIAP3
11,GO_Biological_Process_2021,inhibitory postsynaptic potential (GO:0060080),4/7,0.0992789441804202,0.9999963264057792,0,0,3.4646028317734583,8.0026150553106,GLRA1;CHRNA4;INSYN1;INSYN2A
12,GO_Biological_Process_2021,maintenance of protein location in extracellular region (GO:0071694),4/7,0.0992789441804202,0.9999963264057792,0,0,3.4646028317734583,8.0026150553106,FBN2;NRROS;NBL1;FBN1
13,GO_Biological_Process_2021,positive regulation of potassium ion import across plasma membrane (GO:1903288),4/7,0.0992789441804202,0.9999963264057792,0,0,3.4646028317734583,8.0026150553106,WNK2;WNK4;ATP1B3;ATP1B2
14,GO_Biological_Process_2021,adherens junction assembly (GO:0034333),5/10,0.1150862040555726,0.9999963264057792,0,0,2.5985598559855987,5.618278262772664,RAMP2;TBCD;PAK2;ACTB;VCL
15,GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase III (GO:0045945),5/10,0.1150862040555726,0.9999963264057792,0,0,2.5985598559855987,5.618278262772664,RPTOR;AR;CEBPA;ELL;ICE1
16,GO_Biological_Process_2021,regulation of cell-cell adhesion mediated by integrin (GO:0033632),5/10,0.1150862040555726,0.9999963264057792,0,0,2.5985598559855987,5.618278262772664,CCL5;PIEZO1;CXCL13;SKAP1;FERMT3
17,GO_Biological_Process_2021,Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953),5/10,0.1150862040555726,0.9999963264057792,0,0,2.5985598559855987,5.618278262772664,RYK;WNT3A;WNT9B;WNT1;LRP6
18,GO_Biological_Process_2021,positive regulation of protein acetylation (GO:1901985),6/13,0.1233956866496241,0.9999963264057792,0,0,2.2274293945161787,4.660582212981397,DDX3X;PRKAA2;KAT5;TAOK1;DIP2A;RAPGEF3
19,GO_Biological_Process_2021,UDP-N-acetylglucosamine metabolic process (GO:0006047),6/13,0.1233956866496241,0.9999963264057792,0,0,2.2274293945161787,4.660582212981397,GNPDA1;GFPT1;UAP1L1;PGM3;UAP1;B4GALNT2
