,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Cellular_Component_2021,Cul4B-RING E3 ubiquitin ligase complex (GO:0031465),4/5,0.0232074841778435,0.9999958572708796,0,0,10.39524838012959,39.120235089774674,DDB1;DTL;DDB2;RBX1
1,GO_Cellular_Component_2021,acrosomal membrane (GO:0002080),7/13,0.0424049210230414,0.9999958572708796,0,0,3.0325349660843988,9.584299047836774,CCDC136;SPACA1;TMEM190;TMEM95;SPACA3;TEKT3;PCSK4
2,GO_Cellular_Component_2021,platelet dense granule lumen (GO:0031089),7/14,0.0649106604178159,0.9999958572708796,0,0,2.599135602377093,7.107968959327265,LGALS3BP;ITIH4;CLEC3B;RARRES2;SELENOP;SPP2;TIMP3
3,GO_Cellular_Component_2021,chloride channel complex (GO:0034707),3/5,0.1351926533048312,0.9999958572708796,0,0,3.897246715853878,7.7986029081029,GLRB;BEST2;BEST1
4,GO_Cellular_Component_2021,endoplasmic reticulum tubular network membrane (GO:0098826),3/5,0.1351926533048312,0.9999958572708796,0,0,3.897246715853878,7.7986029081029,ATL3;ATL2;LNPK
5,GO_Cellular_Component_2021,intrinsic component of presynaptic membrane (GO:0098889),3/5,0.1351926533048312,0.9999958572708796,0,0,3.897246715853878,7.7986029081029,SLC1A2;ATP2B3;DRD2
6,GO_Cellular_Component_2021,integral component of synaptic membrane (GO:0099699),4/8,0.1560796827678288,0.9999958572708796,0,0,2.5982721382289418,4.826001088651013,NLGN2;SLC1A2;ATP2B3;DRD2
7,GO_Cellular_Component_2021,NMDA selective glutamate receptor complex (GO:0017146),4/8,0.1560796827678288,0.9999958572708796,0,0,2.5982721382289418,4.826001088651013,GRIN3B;GRIN2C;GRIN1;GRIN2D
8,GO_Cellular_Component_2021,microfibril (GO:0001527),5/11,0.164474895448714,0.9999958572708796,0,0,2.1653165316531653,3.9083905618700823,FBN2;EFEMP2;ADAMTSL5;LTBP4;FBN1
9,GO_Cellular_Component_2021,ATP-binding cassette (ABC) transporter complex (GO:0043190),3/6,0.2160550255661208,0.9999958572708796,0,0,2.597984524023754,3.980689448003337,ABCA2;ABCG8;ABCG5
10,GO_Cellular_Component_2021,uniplex complex (GO:1990246),3/6,0.2160550255661208,0.9999958572708796,0,0,2.597984524023754,3.980689448003337,MCUB;MICU2;MICU1
11,GO_Cellular_Component_2021,outer dynein arm (GO:0036157),4/9,0.2217039937313047,0.9999958572708796,0,0,2.078473722102232,3.131038065100937,ODAD1;DNAI2;DNAH5;DNAI1
12,GO_Cellular_Component_2021,sodium:potassium-exchanging ATPase complex (GO:0005890),4/10,0.2927825131939778,0.9999958572708796,0,0,1.7319414446844252,2.1273873584533307,ATP4B;FXYD2;ATP1B3;ATP1B2
13,GO_Cellular_Component_2021,G protein-coupled receptor dimeric complex (GO:0038037),3/7,0.3036370755183235,0.9999958572708796,0,0,1.948353428108692,2.3222855510560696,RAMP2;GPR156;GRM1
14,GO_Cellular_Component_2021,integral component of presynaptic membrane (GO:0099056),3/7,0.3036370755183235,0.9999958572708796,0,0,1.948353428108692,2.3222855510560696,SLC1A2;ATP2B3;DRD2
15,GO_Cellular_Component_2021,multivesicular body lumen (GO:0097486),3/7,0.3036370755183235,0.9999958572708796,0,0,1.948353428108692,2.3222855510560696,SFTPC;PGA3;PGA4
16,GO_Cellular_Component_2021,9+2 motile cilium (GO:0097729),18/57,0.306492888521733,0.9999958572708796,0,0,1.1993171029619965,1.4182653040884825,DNAI2;DNAH11;SPEF2;DNAH2;ABHD2;DNAH5;DNAJB13;ATP1B3;TACR1;CABCOCO1;IQCG;ENKUR;CFAP251;TEKT3;SPACA3;TEKT4;SAXO1;CFAP65
17,GO_Cellular_Component_2021,septin cytoskeleton (GO:0032156),5/14,0.3445291383035402,0.9999958572708796,0,0,1.443244324432443,1.5378873956011945,SEPTIN5;SEPTIN3;SEPTIN9;TMEM250;SEPTIN10
18,GO_Cellular_Component_2021,septin ring (GO:0005940),5/14,0.3445291383035402,0.9999958572708796,0,0,1.443244324432443,1.5378873956011945,SEPTIN5;SEPTIN3;SEPTIN9;TMEM250;SEPTIN10
19,GO_Cellular_Component_2021,platelet dense granule (GO:0042827),7/21,0.3615907109962197,0.9999958572708796,0,0,1.298937511255177,1.3213342326975588,LGALS3BP;ITIH4;CLEC3B;RARRES2;SELENOP;SPP2;TIMP3
20,GO_Cellular_Component_2021,integral component of postsynaptic density membrane (GO:0099061),4/11,0.3661011331735908,0.9999958572708796,0,0,1.484418389385992,1.4916113815481449,LRFN2;LRRC4;SORCS3;LRRC4B
21,GO_Cellular_Component_2021,intrinsic component of postsynaptic density membrane (GO:0099146),4/11,0.3661011331735908,0.9999958572708796,0,0,1.484418389385992,1.4916113815481449,LRFN2;LRRC4;SORCS3;LRRC4B
22,GO_Cellular_Component_2021,excitatory synapse (GO:0060076),8/25,0.3911504029433486,0.9999958572708796,0,0,1.222495338192914,1.1475113014156946,SRPX2;ATP2B3;SLC17A7;ADCY8;ELFN1;SHISA7;GRIN1;SHANK1
23,GO_Cellular_Component_2021,astrocyte projection (GO:0097449),3/8,0.392171482864853,0.9999958572708796,0,0,1.5585747705596544,1.4589133878724507,KCNJ10;SLC1A2;ATP1B2
24,GO_Cellular_Component_2021,dendritic spine membrane (GO:0032591),3/8,0.392171482864853,0.9999958572708796,0,0,1.5585747705596544,1.4589133878724507,DAGLA;SHISA8;SHISA7
25,GO_Cellular_Component_2021,extrinsic component of external side of plasma membrane (GO:0031232),3/8,0.392171482864853,0.9999958572708796,0,0,1.5585747705596544,1.4589133878724507,CUBN;SERPINE2;PLG
26,GO_Cellular_Component_2021,spectrin-associated cytoskeleton (GO:0014731),3/8,0.392171482864853,0.9999958572708796,0,0,1.5585747705596544,1.4589133878724507,ANK1;RHBG;SPTB
27,GO_Cellular_Component_2021,germ plasm (GO:0060293),5/15,0.4085283977567735,0.9999958572708796,0,0,1.298829882988299,1.1627045233770008,PIWIL2;PIWIL4;DDX3X;MAEL;MOV10L1
28,GO_Cellular_Component_2021,secretory vesicle (GO:0099503),9/29,0.4163840098179681,0.9999958572708796,0,0,1.1689785624211857,1.024197462649126,RAB10;SYT2;SYT12;SYTL1;RAB27A;SYTL5;BICD1;UNC13D;SYT6
29,GO_Cellular_Component_2021,cytoplasmic side of lysosomal membrane (GO:0098574),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,EEF1A2;CDIP1
30,GO_Cellular_Component_2021,elastic fiber (GO:0071953),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,EFEMP2;ELN
31,GO_Cellular_Component_2021,flotillin complex (GO:0016600),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,SLC6A3;CORO1C
32,GO_Cellular_Component_2021,mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,BCKDHB;DBT
33,GO_Cellular_Component_2021,phagolysosome (GO:0032010),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,NCF4;ADAM8
34,GO_Cellular_Component_2021,piP-body (GO:0071547),2/5,0.4260966460981182,0.9999958572708796,0,0,1.7316780616528726,1.4772756612146565,PIWIL4;MAEL
35,GO_Cellular_Component_2021,motile cilium (GO:0031514),20/68,0.4282162657018744,0.9999958572708796,0,0,1.082430806257521,0.918038702925822,DYNC2H1;DNAH11;DNAH2;CFAP73;DNAH5;DNAJB13;DNAAF5;PKD1;IQCG;ENKUR;CAMSAP3;CFAP251;IFT74;ADCY10;IFT81;ARL13A;CATSPERG;NPHP1;SAXO1;ROPN1
36,GO_Cellular_Component_2021,H4/H2A histone acetyltransferase complex (GO:0043189),6/19,0.4406085991207601,0.9999958572708796,0,0,1.198886457438852,0.9826053359331068,ING3;MRGBP;ACTL6B;ACTBL2;KAT5;ACTB
37,GO_Cellular_Component_2021,supramolecular fiber (GO:0099512),6/19,0.4406085991207601,0.9999958572708796,0,0,1.198886457438852,0.9826053359331068,FBN2;EFEMP2;ADAMTSL5;ELN;LTBP4;FBN1
38,GO_Cellular_Component_2021,exocytic vesicle (GO:0070382),9/30,0.4619537003967424,0.9999958572708796,0,0,1.113235710425406,0.8597414842237102,RAB10;SYT2;SYT12;SYTL1;RAB27A;RAB3IL1;SYTL5;UNC13D;SYT6
39,GO_Cellular_Component_2021,dense core granule (GO:0031045),5/16,0.471542201887585,0.9999958572708796,0,0,1.1806726127158171,0.8875667112504719,SYT2;SLC6A9;ADAM8;KIF1A;BAIAP3
40,GO_Cellular_Component_2021,nuclear outer membrane (GO:0005640),5/16,0.471542201887585,0.9999958572708796,0,0,1.1806726127158171,0.8875667112504719,GUCY2D;KASH5;LTC4S;GUCY2F;SYNE3
