"seqnames","start","end","width","strand","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr15",60368597,60378350,9754,"*",1.80684663681718,1.76032103600637e-39,2.86307414901256e-34,"Promoter (<=1kb)",15,60351192,60374505,23314,2,"302","ENST00000559176.5",0
"chr10",123196657,123206156,9500,"*",-1.81695482989995,4.84523510042723e-39,3.94026631454493e-34,"Distal Intergenic",10,123162254,123163241,988,1,"9184","ENST00000481952.1",34403
"chr2",205691210,205704960,13751,"*",1.83970247932707,8.30787615002724e-38,4.50411505473727e-33,"Exon (ENST00000464003.1/8828, exon 3 of 4)",2,205685793,205697734,11942,1,"8828","ENST00000483917.1",5417
"chr10",62042248,62053476,11229,"*",1.77175591928942,3.18886486201282e-36,1.29663231370519e-31,"Promoter (<=1kb)",10,62046662,62057268,10607,1,"84159","ENST00000647323.1",0
"chr5",88659613,88668871,9259,"*",2.08832410264963,2.63451654224505e-34,8.56981886026893e-30,"Promoter (<=1kb)",5,88666853,88666939,87,2,"407047","ENST00000384838.1",0
"chr1",12432817,12440298,7482,"*",1.80829089801235,1.07152888801079e-32,2.90464693317525e-28,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",22979
"chr11",122093273,122109520,16248,"*",1.59114541825903,7.1872485612366e-32,1.66995720320332e-27,"Promoter (<=1kb)",11,122028325,122100448,72124,2,"399959","ENST00000669306.2",0
"chr6",158400776,158410510,9735,"*",1.80350343966141,1.51268356980334e-31,3.07538024013329e-27,"Intron (ENST00000619713.1/ENST00000619713.1, intron 1 of 1)",6,158461650,158498693,37044,1,"56995","ENST00000613390.1",-51140
"chr3",98890440,98896272,5833,"*",2.08036966992635,5.50184765546215e-31,9.94275568802934e-27,"Promoter (<=1kb)",3,98825334,98895412,70079,2,"131566","ENST00000486004.1",0
"chr1",12446862,12458964,12103,"*",1.61152532214223,1.18661011473352e-30,1.92996202110833e-26,"3' UTR",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-5976
