gene_id,gene_name
ENSG00000202198.1,7SK
ENSG00000129673.10,AANAT
ENSG00000281376.1,ABALON
ENSG00000251595.7,ABCA11P
ENSG00000189149.12,ABCA15P
ENSG00000117528.14,ABCD3
ENSG00000100997.20,ABHD12
ENSG00000107362.14,ABHD17B
ENSG00000127220.6,ABHD8
ENSG00000119328.12,ABITRAM
ENSG00000240303.8,ACAD11
ENSG00000114331.16,ACAP2
ENSG00000075239.14,ACAT1
ENSG00000153086.14,ACMSD
ENSG00000161533.12,ACOX1
ENSG00000234193.1,ACSL3-AS1
ENSG00000169067.4,ACTBL2
ENSG00000178631.7,ACTG1P1
ENSG00000136518.17,ACTL6A
ENSG00000189007.16,ADAT2
ENSG00000112414.15,ADGRG6
ENSG00000006831.10,ADIPOR2
ENSG00000156110.15,ADK
ENSG00000259456.4,ADNP-AS1
ENSG00000236136.1,ADORA2BP1
ENSG00000139154.16,AEBP2
ENSG00000196526.11,AFAP1
ENSG00000130396.22,AFDN
ENSG00000272023.1,AFF4-DT
ENSG00000261011.1,AGAP11
ENSG00000106351.13,AGFG2
ENSG00000204310.13,AGPAT1
ENSG00000158467.17,AHCYL2
ENSG00000106546.14,AHR
ENSG00000227177.1,AIMP1P2
ENSG00000085231.14,AK6
ENSG00000011243.19,AKAP8L
ENSG00000059573.9,ALDH18A1
ENSG00000136010.14,ALDH1L2
ENSG00000119711.13,ALDH6A1
ENSG00000088035.18,ALG6
ENSG00000171094.18,ALK
ENSG00000244926.7,ALKBH3-AS1
ENSG00000237801.6,AMD1P2
ENSG00000167772.12,ANGPTL4
ENSG00000151687.15,ANKAR
ENSG00000185722.18,ANKFY1
ENSG00000131503.21,ANKHD1
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000148677.7,ANKRD1
ENSG00000118454.13,ANKRD13C
ENSG00000132466.20,ANKRD17
ENSG00000230453.11,ANKRD18B
ENSG00000225979.1,ANKRD44-DT
ENSG00000186106.11,ANKRD46
ENSG00000143401.15,ANP32E
ENSG00000169604.21,ANTXR1
ENSG00000163297.18,ANTXR2
ENSG00000274209.6,ANTXRL
ENSG00000164111.15,ANXA5
ENSG00000230539.1,AOAH-IT1
ENSG00000148120.18,AOPEP
ENSG00000182287.15,AP1S2
ENSG00000196961.13,AP2A1
ENSG00000132842.15,AP3B1
ENSG00000185009.13,AP3M1
ENSG00000120868.14,APAF1
ENSG00000128394.17,APOBEC3F
ENSG00000221963.6,APOL6
ENSG00000274823.1,APONP
ENSG00000164144.16,ARFIP1
ENSG00000075884.14,ARHGAP15
ENSG00000146376.11,ARHGAP18
ENSG00000226835.4,ARHGAP29-AS1
ENSG00000147799.12,ARHGAP39
ENSG00000243069.9,ARHGEF26-AS1
ENSG00000129675.16,ARHGEF6
ENSG00000032219.19,ARID4A
ENSG00000054267.22,ARID4B
ENSG00000152219.5,ARL14EP
ENSG00000254532.2,ARL14EP-DT
ENSG00000185305.12,ARL15
ENSG00000102931.8,ARL2BP
ENSG00000249312.1,ARL2BPP4
ENSG00000162980.17,ARL5A
ENSG00000198520.12,ARMH1
ENSG00000139971.15,ARMH4
ENSG00000143437.21,ARNT
ENSG00000140450.9,ARRDC4
ENSG00000153317.15,ASAP1
ENSG00000161664.7,ASB16
ENSG00000183475.13,ASB7
ENSG00000143970.18,ASXL2
ENSG00000156802.13,ATAD2
ENSG00000137343.18,ATAT1
ENSG00000115966.18,ATF2
ENSG00000267281.3,ATF7-NPFF
ENSG00000175224.17,ATG13
ENSG00000085978.22,ATG16L1
ENSG00000198513.14,ATL1
ENSG00000184743.13,ATL3
ENSG00000047346.13,ATOSA
ENSG00000017260.20,ATP2C1
ENSG00000110955.9,ATP5F1B
ENSG00000267376.1,ATP5MGP6
ENSG00000241837.7,ATP5PO
ENSG00000230201.5,ATP6V0CP1
ENSG00000136888.8,ATP6V1G1
ENSG00000165240.22,ATP7A
ENSG00000115307.17,AUP1
ENSG00000182240.16,BACE2
ENSG00000224388.1,BACE2-IT1
ENSG00000030110.14,BAK1
ENSG00000163930.10,BAP1
ENSG00000076108.12,BAZ2A
ENSG00000214413.9,BBIP1
ENSG00000179941.9,BBS10
ENSG00000181004.10,BBS12
ENSG00000138686.10,BBS7
ENSG00000261501.1,BBS7-DT
ENSG00000132692.19,BCAN
ENSG00000083123.15,BCKDHB
ENSG00000291031.1,BCORP1
ENSG00000245573.9,BDNF-AS
ENSG00000023445.16,BIRC3
ENSG00000197299.13,BLM
ENSG00000196072.12,BLOC1S2
ENSG00000090013.11,BLVRB
ENSG00000029153.15,BMAL2
ENSG00000249599.2,BMPR1B-DT
ENSG00000164603.12,BMT2
ENSG00000104765.16,BNIP3L
ENSG00000172331.12,BPGM
ENSG00000104331.9,BPNT2
ENSG00000012048.24,BRCA1
ENSG00000267595.1,BRCA1P1
ENSG00000113460.13,BRIX1
ENSG00000100916.14,BRMS1L
ENSG00000274973.1,BSNDP2
ENSG00000188909.5,BSX
ENSG00000064726.10,BTBD1
ENSG00000174808.12,BTC
ENSG00000245904.6,BTG1-DT
ENSG00000233791.7,BTG2-DT
ENSG00000112763.17,BTN2A1
ENSG00000124508.17,BTN2A2
ENSG00000124549.17,BTN2A3P
ENSG00000154473.18,BUB3
ENSG00000182993.5,C12orf60
ENSG00000235162.9,C12orf75
ENSG00000169609.14,C15orf40
ENSG00000171155.8,C1GALT1C1
ENSG00000271387.1,C1orf21-DT
ENSG00000162642.14,C1orf52
ENSG00000258713.3,C20orf141
ENSG00000124237.6,C20orf85
ENSG00000154642.11,C21orf91
ENSG00000287151.1,C2orf27A
ENSG00000171860.5,C3AR1
ENSG00000154274.15,C4orf19
ENSG00000151470.13,C4orf33
ENSG00000248503.3,C4orf46P2
ENSG00000237136.8,C4orf51
ENSG00000181904.9,C5orf24
ENSG00000178776.5,C5orf46
ENSG00000197261.12,C6orf141
ENSG00000204542.3,C6orf15
ENSG00000112308.13,C6orf62
ENSG00000136197.14,C7orf25
ENSG00000164746.14,C7orf57
ENSG00000288596.2,C8orf44
ENSG00000288602.1,C8orf44-SGK3
ENSG00000155621.15,C9orf85
ENSG00000185015.8,CA13
ENSG00000290746.1,CA5BP1
ENSG00000154040.21,CABYR
ENSG00000219188.1,CACYBPP3
ENSG00000164304.16,CAGE1
ENSG00000136436.15,CALCOCO2
