## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/3_alignment/GFP_1.dedup.bam] OUTPUT=/beegfs/scratch/ric.broccoli/kubacki.michal/SRF_H2AK119Ub_cross_V5/SRF_H2AK119Ub/1_iterative_processing/analysis/6_bigwig/GFP_1_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 07 10:32:14 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	63224158	0	0	0	33580462	1031900	0.531133	36080651

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	15212953
2	6074025
3	3489819
4	2100543
5	1245030
6	713689
7	392215
8	206900
9	105641
10	52717
11	25461
12	12401
13	5871
14	2904
15	1506
16	756
17	457
18	241
19	155
20	101
21	75
22	44
23	49
24	21
25	20
26	21
27	19
28	8
29	9
30	6
31	4
32	6
33	2
35	3
36	2
37	7
38	3
39	2
40	1
42	1
43	1
46	2
48	2
49	2
51	1
52	1
53	1
56	2
65	1
66	1
67	1
74	1
77	1
86	2
92	1
94	1

