## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/GFP_2.dedup.bam] OUTPUT=analysis/qc/GFP_2_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 10 04:38:18 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	72432408	0	0	0	55376353	1059356	0.764525	17338731

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	6866398
2	2202165
3	1403271
4	1078490
5	890409
6	754183
7	641597
8	545423
9	463721
10	393183
11	333146
12	283241
13	238329
14	200705
15	166416
16	136730
17	110975
18	87758
19	68629
20	52702
21	39771
22	29907
23	21385
24	15195
25	10670
26	7395
27	4916
28	3186
29	2137
30	1404
31	941
32	581
33	377
34	222
35	161
36	96
37	69
38	42
39	27
40	25
41	27
42	14
43	11
44	7
45	3
46	5
47	1
48	4
49	4
50	2
51	1
52	1
54	1
55	1
62	1

