## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[analysis/aligned/GFP_3.sorted.rg.bam] OUTPUT=analysis/aligned/GFP_3.dedup.bam METRICS_FILE=analysis/qc/GFP_3_dup_metrics.txt REMOVE_DUPLICATES=false OPTICAL_DUPLICATE_PIXEL_DISTANCE=2500 VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 07:05:27 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	51080904	0	0	0	24715857	837249	0.483857	34282281

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007245	14426557	0	14865578
2.0	1.234248	5803554	698894	5559946
3.0	1.285408	2924103	53632	2822690
4.0	1.296938	1541403	7886	1496931
5.0	1.299537	813815	1403	791360
6.0	1.300122	422436	277	410369
7.0	1.300254	215719	51	208762
8.0	1.300284	107537	14	103724
9.0	1.300291	53501	4	51470
10.0	1.300292	26395	0	25310
11.0	1.300293	13084	0	12613
12.0	1.300293	6693	0	6383
13.0	1.300293	3626	0	3476
14.0	1.300293	2023	0	1950
15.0	1.300293	1262	0	1234
16.0	1.300293	819	0	774
17.0	1.300293	524	0	520
18.0	1.300293	392	0	383
19.0	1.300293	318	0	304
20.0	1.300293	209	0	204
21.0	1.300293	160	0	163
22.0	1.300293	140	0	133
23.0	1.300293	118	0	116
24.0	1.300293	80	0	78
25.0	1.300293	72	0	73
26.0	1.300293	68	0	70
27.0	1.300293	63	0	58
28.0	1.300293	36	0	38
29.0	1.300293	34	0	33
30.0	1.300293	29	0	28
31.0	1.300293	31	0	30
32.0	1.300293	20	0	20
33.0	1.300293	12	0	14
34.0	1.300293	12	0	10
35.0	1.300293	14	0	15
36.0	1.300293	20	0	20
37.0	1.300293	11	0	10
38.0	1.300293	11	0	12
39.0	1.300293	17	0	17
40.0	1.300293	8	0	8
41.0	1.300293	11	0	11
42.0	1.300293	10	0	9
43.0	1.300293	6	0	6
44.0	1.300293	4	0	5
45.0	1.300293	6	0	6
46.0	1.300293	4	0	3
47.0	1.300293	6	0	7
48.0	1.300293	1	0	1
49.0	1.300293	3	0	3
50.0	1.300293	5	0	6
51.0	1.300293	5	0	4
52.0	1.300293	4	0	5
53.0	1.300293	4	0	4
54.0	1.300293	5	0	3
55.0	1.300293	1	0	2
56.0	1.300293	2	0	1
57.0	1.300293	2	0	2
58.0	1.300293	3	0	3
59.0	1.300293	1	0	1
60.0	1.300293	0	0	0
61.0	1.300293	0	0	0
62.0	1.300293	2	0	2
63.0	1.300293	3	0	3
64.0	1.300293	2	0	2
65.0	1.300293	1	0	2
66.0	1.300293	1	0	0
67.0	1.300293	0	0	0
68.0	1.300293	0	0	1
69.0	1.300293	3	0	2
70.0	1.300293	0	0	0
71.0	1.300293	1	0	1
72.0	1.300293	1	0	1
73.0	1.300293	0	0	0
74.0	1.300293	1	0	1
75.0	1.300293	1	0	1
76.0	1.300293	2	0	2
77.0	1.300293	1	0	1
