## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/GFP_3.dedup.bam] OUTPUT=analysis/qc/GFP_3_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 10 04:38:54 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	50996035	0	0	0	23550953	778936	0.461819	36918691

## HISTOGRAM	java.lang.Integer
duplication_group_count	lib1
1	15764319
2	5799182
3	2871902
4	1489130
5	768315
6	386893
7	191370
8	91453
9	43214
10	20266
11	9371
12	4475
13	2182
14	1092
15	610
16	367
17	255
18	170
19	115
20	69
21	59
22	42
23	37
24	36
25	23
26	26
27	10
28	4
29	16
30	12
31	5
32	7
33	5
34	4
35	4
36	5
37	7
38	5
39	3
40	1
41	4
42	2
43	6
44	1
46	3
47	3
48	1
49	1
50	1
52	1
57	1
60	1
61	1
64	1
65	1
67	1
69	1
70	1
71	1
72	2
73	2
77	1
78	1
81	1
90	1
91	1
102	1

