"seqnames","start","end","width","strand","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr2",205691269,205704753,13485,"*",1.84142880141155,1.96810945784984e-32,3.80494601486109e-28,"Exon (ENST00000464003.1/8828, exon 3 of 4)",2,205685793,205697734,11942,1,"8828","ENST00000483917.1",5476
"chr15",60368599,60378341,9743,"*",1.78824141984549,6.85658380321068e-32,6.62791673337361e-28,"Promoter (<=1kb)",15,60351192,60374505,23314,2,"302","ENST00000559176.5",0
"chr10",123196661,123206105,9445,"*",-1.80277155558989,1.31027991828969e-31,8.44388055343155e-28,"Distal Intergenic",10,123162254,123163241,988,1,"9184","ENST00000481952.1",34407
"chr10",62042352,62051520,9169,"*",1.77089860094205,8.60513473476956e-30,4.1590767456825e-26,"Promoter (<=1kb)",10,62046662,62057268,10607,1,"84159","ENST00000647323.1",0
"chr1",12432822,12439468,6647,"*",1.82655443597976,1.5019308936757e-29,5.80736599348645e-26,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",22984
"chr2",205750783,205758980,8198,"*",1.80767255104972,4.63573077244223e-28,1.49370971706043e-24,"Promoter (<=1kb)",2,205752468,205763806,11339,1,"8828","ENST00000468256.1",0
"chr9",95005614,95010989,5376,"*",2.25842988166235,1.58113340258829e-27,4.36686458174848e-24,"Promoter (<=1kb)",9,95005097,95087052,81956,1,"84909","ENST00000463372.5",517
"chr15",60386053,60395728,9676,"*",1.72035215585644,2.5852140007533e-26,6.24749278457044e-23,"Promoter (<=1kb)",15,60347337,60387097,39761,2,"302","ENST00000560014.5",0
"chr10",76350490,76354399,3910,"*",1.92799303804535,1.22472410830672e-25,2.63084346509931e-22,"Intron (ENST00000611255.5/83938, intron 6 of 6)",10,76324401,76557366,232966,1,"83938","ENST00000598708.1",26089
"chr11",128496383,128505202,8820,"*",1.66346494053819,6.92789383628532e-25,1.33936971536904e-21,"Promoter (<=1kb)",11,128489470,128505394,15925,2,"2113","ENST00000608978.1",192
"chr5",72138938,72142482,3545,"*",1.97977134622375,3.28517256652481e-24,5.77384011169311e-21,"Intron (ENST00000512974.5/4131, intron 3 of 3)",5,72169467,72169540,74,1,"100616377","ENST00000583015.1",-26985
"chr1",85444434,85452139,7706,"*",1.67432517349687,4.90592327411617e-24,7.90385122154066e-21,"Exon (ENST00000426125.1/ENST00000426125.1, exon 3 of 3)",1,85318485,85465159,146675,2,"23576","ENST00000284031.13",13020
"chr11",35164695,35168804,4110,"*",2.03268975342931,5.58859311670484e-24,8.31109774809652e-21,"Intron (ENST00000526025.2/960, intron 1 of 1)",11,35176575,35214861,38287,1,"960","ENST00000526000.6",-7771
"chr17",61442227,61449148,6922,"*",-1.61798937791905,7.53581585224746e-24,1.04064234193929e-20,"Distal Intergenic",17,61452404,61478740,26337,1,"9496","ENST00000589003.5",-3256
"chr2",36452765,36461775,9011,"*",1.55407011084984,3.44301840359839e-23,4.36960678103487e-20,"Intron (ENST00000280527.7/51232, intron 4 of 16)",2,36479543,36499412,19870,1,"51232","ENST00000481321.1",-17768
