"seqnames","start","end","width","strand","Conc","Conc_GFP","Conc_YAF","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr7",151000405,151000805,401,"*",6.19946037130543,6.89845576577332,4.79066495284644,1.79242033860457,1.77776918116888e-14,1.75540484486978e-09,"Promoter (1-2kb)",7,151001867,151002963,1097,1,"4846","ENST00000460603.1",-1062
"chr1",12478413,12478813,401,"*",5.76437802276731,4.27351402869189,6.48176434292912,-1.81080580373568,6.00346193902787e-14,2.17595322869562e-09,"Promoter (<=1kb)",1,12478549,12506972,28424,1,"55187","ENST00000645148.1",0
"chr17",61444813,61445213,401,"*",5.59013832987885,6.33074350647597,3.98683890239863,1.87563941035936,6.61102639817592e-14,2.17595322869562e-09,"Distal Intergenic",17,61452404,61478740,26337,1,"9496","ENST00000589003.5",-7191
"chr8",139863812,139864212,401,"*",5.50768330354915,6.23180984163695,3.98525614869186,1.78572370790105,1.11010493231968e-12,2.67525335865794e-08,"Intron (ENST00000438773.4/83696, intron 21 of 22)",8,139730996,139881295,150300,2,"83696","ENST00000522504.5",17083
"chr10",77163951,77164351,401,"*",4.89243323323869,2.7078636020754,5.72432840218489,-2.08499717295157,1.65779198026186e-12,2.67525335865794e-08,"Intron (ENST00000604624.6/3778, intron 4 of 27)",10,77148292,77150100,1809,1,"101929310","ENST00000430464.1",15659
"chr10",123202511,123202911,401,"*",6.08618676077796,6.74644856926286,4.83337858448568,1.57967346064809,1.68132267965065e-12,2.67525335865794e-08,"Distal Intergenic",10,123162254,123163241,988,1,"9184","ENST00000481952.1",40257
"chr8",143945181,143945581,401,"*",5.85990788322292,6.53736867593049,4.54042165262451,1.66230203826091,1.8965357710605e-12,2.67525335865794e-08,"Promoter (<=1kb)",8,143945191,143945279,89,2,"724031","ENST00000384842.1",0
"chr20",62643746,62644146,401,"*",5.75713893796631,6.4623983625579,4.32102795477891,1.6447217794773,1.20095317172751e-11,1.34301968350518e-07,"Promoter (1-2kb)",20,62642520,62672293,29774,1,"28231","ENST00000497209.5",1226
"chr20",62828204,62828604,401,"*",5.80282287024242,6.49000650089299,4.44386125732505,1.68052899763309,1.22411710837805e-11,1.34301968350518e-07,"Promoter (2-3kb)",20,62831140,62841144,10005,1,"1299","ENST00000466192.5",-2536
"chr19",9940847,9941247,401,"*",6.24871012916039,5.18864921500119,6.85314985412194,-1.43419294402689,1.47613006029528e-11,1.45756034413676e-07,"Distal Intergenic",19,9853718,9936515,82798,2,"93145","ENST00000264833.9",-4332
"chr3",190003549,190003949,401,"*",4.9643258019614,3.1305520477738,5.74628986460475,-1.88040727954827,2.04858547459255e-11,1.83892206302016e-07,"Intron (ENST00000319332.10/55214, intron 1 of 14)",3,189974568,189987765,13198,2,"55214","ENST00000470925.1",-15784
"chr17",81161221,81161621,401,"*",5.5798672822242,6.31624745317558,3.99782833953561,1.73936455876854,3.21858484592939e-11,2.49613427705043e-07,"Intron (ENST00000326724.9/9625, intron 1 of 13)",17,81165507,81183164,17658,1,"388428","ENST00000414089.5",-3886
